axis,dt_ps,fraction,harmonic,even_amplitude_A,odd_amplitude_A,individual_max_amplitude_A,observed_null_envelope_A,expected_parity_amplitude_A,expected_parity_to_null_ratio,confidence_interval
0,0.0025,0.5,2,8.343361053761439e-05,5.283239256316709e-05,0.00010366670513128368,0.00016547614098736803,8.343361053761439e-05,0.5042032648318978,False
0,0.0025,0.5,3,6.205597367459916e-06,4.645977432037533e-05,4.82210159658729e-05,9.272719943638831e-05,4.645977432037533e-05,0.501037177902123,False
0,0.0025,1.0,2,0.00014669847943270448,6.440677713809656e-05,0.00021019444727386332,0.00016547614098736803,0.00014669847943270448,0.8865234501927564,False
0,0.0025,1.0,3,4.727281533505938e-05,3.4314268479664035e-05,5.843253402320293e-05,9.272719943638831e-05,3.4314268479664035e-05,0.37005612903476,False
0,0.00125,1.0,2,0.0001270027523853489,4.709966537452827e-05,0.00016889388382873715,0.00016547614098736803,0.0001270027523853489,0.7674988770438146,False
0,0.00125,1.0,3,4.293556087472168e-06,5.236223216836714e-06,7.222287610732536e-06,9.272719943638831e-05,5.236223216836714e-06,0.05646911853979597,False
1,0.0025,0.5,2,0.0005507847978455184,0.0004592050905240542,0.0010078420200820319,0.0009124150965641949,0.0005507847978455184,0.6036559455444814,False
1,0.0025,0.5,3,0.00019507895925650797,8.386191331061612e-05,0.0002782665445441757,0.0005490834821745872,8.386191331061612e-05,0.15273071588037918,False
1,0.0025,1.0,2,0.0004035603946733001,0.00038764406243089957,0.0007901163927753846,0.0009124150965641949,0.0004035603946733001,0.4422991204255099,False
1,0.0025,1.0,3,0.00016569555737013908,7.518108677251875e-05,0.0002088338937942171,0.0005490834821745872,7.518108677251875e-05,0.13692104973686695,False
1,0.00125,1.0,2,8.67485968078895e-05,0.00017893648180208703,0.00021817765836023784,0.0009124150965641949,8.67485968078895e-05,0.09507580172067673,False
1,0.00125,1.0,3,2.1169510546519348e-05,2.6168951476933443e-05,4.6610137380034766e-05,0.0005490834821745872,2.6168951476933443e-05,0.04765933109714769,False
