name,axis,dt_ps,frequency_per_ps,fraction,sign,force_eV_A,harmonic,real_A,imag_A
axis0_dt0.0025_fraction0.5_sign-1,0,0.0025,2.0,0.5,-1,-1.6530435542637767,2,9.30813897194923e-05,9.691608622581694e-06
axis0_dt0.0025_fraction0.5_sign-1,0,0.0025,2.0,0.5,-1,-1.6530435542637767,3,4.518729883130424e-05,5.184764288172314e-06
axis0_dt0.0025_fraction0.5_sign+1,0,0.0025,2.0,0.5,1,1.6530435542637767,2,5.401149338819245e-05,-8.848471243527755e-05
axis0_dt0.0025_fraction0.5_sign+1,0,0.0025,2.0,0.5,1,1.6530435542637767,3,-4.489730326733303e-05,-1.7592570593921077e-05
axis0_dt0.0025_fraction1_sign-1,0,0.0025,2.0,1.0,-1,-3.3060871085275534,2,0.0001220935245515499,0.00017109902666977676
axis0_dt0.0025_fraction1_sign-1,0,0.0025,2.0,1.0,-1,-3.3060871085275534,3,-2.3668017861223816e-05,-5.338389345244689e-05
axis0_dt0.0025_fraction1_sign+1,0,0.0025,2.0,1.0,1,3.3060871085275534,2,6.267967077510934e-05,5.680586963621903e-05
axis0_dt0.0025_fraction1_sign+1,0,0.0025,2.0,1.0,1,3.3060871085275534,3,4.345095067670083e-05,-3.9068861228140235e-05
axis0_dt0.00125_fraction1_sign-1,0,0.00125,2.0,1.0,-1,-3.3060871085275534,2,8.702240244734091e-05,-2.445634194297346e-05
axis0_dt0.00125_fraction1_sign-1,0,0.00125,2.0,1.0,-1,-3.3060871085275534,3,3.850276066182554e-06,-4.97184581294104e-06
axis0_dt0.00125_fraction1_sign+1,0,0.00125,2.0,1.0,1,3.3060871085275534,2,0.00012933343621136383,-0.00010861862764975463
axis0_dt0.00125_fraction1_sign+1,0,0.00125,2.0,1.0,1,3.3060871085275534,3,4.722709738982987e-06,5.4641972011866425e-06
axis1_dt0.0025_fraction0.5_sign-1,1,0.0025,1.0,0.5,-1,-0.7351730255153137,2,0.000962200971219916,-0.0002998580137773227
axis1_dt0.0025_fraction0.5_sign-1,1,0.0025,1.0,0.5,-1,-0.7351730255153137,3,-6.608951428677628e-05,9.15267610386244e-05
axis1_dt0.0025_fraction0.5_sign+1,1,0.0025,1.0,0.5,1,0.7351730255153137,2,6.811272801670131e-05,-8.989736503902065e-05
axis1_dt0.0025_fraction0.5_sign+1,1,0.0025,1.0,0.5,1,0.7351730255153137,3,-0.00019637831535615323,0.00019714925074784066
axis1_dt0.0025_fraction1_sign-1,1,0.0025,1.0,1.0,-1,-1.4703460510306274,2,0.0003932506130964993,0.0006853012982853696
axis1_dt0.0025_fraction1_sign-1,1,0.0025,1.0,1.0,-1,-1.4703460510306274,3,-9.77982356891344e-05,0.00018451856354672518
axis1_dt0.0025_fraction1_sign+1,1,0.0025,1.0,1.0,1,1.4703460510306274,2,-2.8037270666481283e-05,3.44647630891392e-05
axis1_dt0.0025_fraction1_sign+1,1,0.0025,1.0,1.0,1,1.4703460510306274,3,-0.00014447661743686007,4.158532070027758e-05
axis1_dt0.00125_fraction1_sign-1,1,0.00125,1.0,1.0,-1,-1.4703460510306274,2,-9.25148860759002e-05,-0.00015141556189011537
axis1_dt0.00125_fraction1_sign-1,1,0.00125,1.0,1.0,-1,-1.4703460510306274,3,-8.376998231853374e-06,4.821347363589651e-06
axis1_dt0.00125_fraction1_sign+1,1,0.00125,1.0,1.0,1,1.4703460510306274,2,-7.221153087359577e-05,0.00020588099819179132
axis1_dt0.00125_fraction1_sign+1,1,0.00125,1.0,1.0,1,1.4703460510306274,3,4.100565179364371e-05,2.2159454586342123e-05
