run,parameter,value,units
tied_control,shape_1,6.276933465571603,see definition.json: reduced exponential decay or declared extension shape
tied_control,shape_2,12.0,see definition.json: reduced exponential decay or declared extension shape
tied_control,shape_3,458.710781847525,see definition.json: reduced exponential decay or declared extension shape
tied_free_pair,u,0.016824340729883137,eV per normalized site basis
tied_free_pair,v,0.09577498617666746,eV per normalized site basis
tied_free_pair,A,1.4076392762971481,eV per normalized site basis
tied_free_pair,B,1.5435470984579958,eV per normalized site basis
tied_free_pair,C,2.905801221139607,eV per normalized site basis
tied_free_pair,D3,38.61016166799857,eV per normalized site basis
tied_free_pair,D1,4.684480978851039,eV per normalized site basis
tied_free_pair,D2,1.9680545977905195,eV per normalized site basis
tied_free_pair,D_E,1.578861665420545,eV per normalized site basis
tied_free_pair,K3,31326.06575783025,eV per normalized site basis
tied_free_pair,shape_0,2.3141605533261544,see definition.json: reduced exponential decay or declared extension shape
tied_free_pair,shape_1,6.276933465571603,see definition.json: reduced exponential decay or declared extension shape
tied_free_pair,shape_2,12.0,see definition.json: reduced exponential decay or declared extension shape
tied_free_pair,shape_3,458.710781847525,see definition.json: reduced exponential decay or declared extension shape
