run,start_index,start,success,message,backend,nfev,njev,optimality,shape_optimization_performed,final_decays,final_loss,rejected_profiles
even_bound_probe,0,"[2.317200161027302, 6.271955678357825, 15.0, 436.65760955292114, 6.280114065024814]",True,coefficient profile verified; shape not optimized,coefficient-profile-only,1,0,,False,"[2.317200161027302, 6.271955678357825, 15.0, 436.65760955292114, 6.280114065024814]",1293.022045427851,
even_bound_probe,1,"[2.317200161027302, 6.271955678357825, 18.0, 436.65760955292114, 6.280114065024814]",True,coefficient profile verified; shape not optimized,coefficient-profile-only,1,0,,False,"[2.317200161027302, 6.271955678357825, 17.999999999999996, 436.65760955292114, 6.280114065024814]",1401.7799630229397,
nested_free_pair,0,"[2.317200161027302, 6.271955678357825, 11.999999999999995, 436.65760955292114, 6.280114065024814]",True,coefficient profile verified; shape not optimized,coefficient-profile-only,1,0,,False,"[2.317200161027302, 6.271955678357825, 11.999999999999995, 436.65760955292114, 6.280114065024814]",1254.6575056231463,
nested_range,0,"[2.612878645738997, 6.42710026911652, 11.957043235970591, 425.060826360985, 6.42710026911652]",False,The maximum number of function evaluations is exceeded.,least-squares,12,12,0.178524031420115,,"[2.3173330608058698, 6.272007511120165, 11.999999999999995, 436.89551163147564, 6.280278348811505]",1256.821967594135,[]
separate_free_pair,0,"[2.48414976579741, 6.309982474983895, 11.982353106638238, 485.2569646247867, 6.331001989463463]",True,coefficient profile verified; shape not optimized,coefficient-profile-only,1,0,,False,"[2.48414976579741, 6.309982474983895, 11.982353106638238, 485.2569646247867, 6.331001989463463]",1258.2938948149902,
separate_range,0,"[2.612878645738997, 6.42710026911652, 11.957043235970591, 425.060826360985, 3.0]",False,Maximum number of function evaluations has been exceeded.,feasible-simplex,96,,,,"[3.777576948841339, 6.341929745487509, 11.360817993221186, 539.5861784968739, 5.992820792189095]",1420.854530703159,[]
separate_range,1,"[2.612878645738997, 6.42710026911652, 11.957043235970591, 425.060826360985, 9.0]",False,Maximum number of function evaluations has been exceeded.,feasible-simplex,96,,,,"[2.5786797990741355, 6.280054058224414, 12.0, 493.4747226957811, 6.2279582716486335]",1271.1313187579228,[]
tied_control,0,"[2.612878645738997, 6.42710026911652, 11.957043235970591, 425.060826360985]",False,Maximum number of function evaluations has been exceeded.,feasible-simplex,96,,,,"[2.3141605533261544, 6.276933465571603, 12.0, 458.710781847525]",1256.9468355849278,[]
tied_free_pair,0,"[2.3141605533261544, 6.276933465571603, 12.0, 458.710781847525]",True,coefficient profile verified; shape not optimized,coefficient-profile-only,1,0,,False,"[2.3141605533261544, 6.276933465571603, 12.0, 458.710781847525]",1255.4173853908783,
