run,runner_completed,profiles,optimizer_starts,successful_stopping_criteria,numerical_stops,failed_profile_evaluations,nonpositive_LJ_profiles,stability_wavepoint_count,derivative_scheme,derivative_step,exact_bulk,target_generation,quadrupole_saturation,rank_one_range,inherited_pair_control,fit_loss,profile_heldout_normalized_rms,best_strictly_positive_LJ,C11_GPa,C12_GPa,C44_GPa,independent_validation,full_material_accepted,physical_time_calibrated,admissible_solution_found,fit_count,fit_normalized_rms,fit_normalized_max,exact_count,exact_normalized_rms,exact_normalized_max,interface_heldout_count,interface_heldout_normalized_rms,interface_heldout_normalized_max,bloch_heldout_count,bloch_heldout_normalized_rms,bloch_heldout_normalized_max,replayed_fit_loss,finite_q_sample_positive,continuous_q_search_positive,exact_tangent_rank,exact_matrix_rank,exact_tangent_condition,exact_derivative_residual
even_bound_probe,True,2,2,2,0,0,0,158,2-point,0.0002,True,v17,True,True,True,1293.022045427851,4.939927262622586,True,113.99999999999996,61.99999999999979,32.00000000000005,False,False,False,True,,,,,,,,,,,,,,,,,,,
nested_free_pair,True,1,1,1,0,0,0,158,2-point,0.0002,True,v17,True,True,False,1254.6575056231463,5.004517677878437,True,113.99999999999991,62.00000000000007,31.99999999999985,False,False,False,True,,,,,,,,,,,,,,,,,,,
nested_range,True,72,1,0,0,0,0,158,2-point,0.0002,True,v17,True,True,True,1256.8219412157046,5.00890045320046,True,114.00000000000023,62.00000000000048,31.99999999999964,True,False,False,True,104,3.4763236842738503,12.03744167883103,7,1.1641522432485252e-13,2.2426505097428162e-13,48,5.00890045320046,15.610669287453046,0,,,1256.8219412157046,True,True,8,7,119.67005096799359,3.302913498259841e-14
separate_free_pair,True,1,1,1,0,0,0,158,2-point,0.0002,True,v17,True,True,False,1258.2938948149902,4.982405489771672,True,113.99999999999982,62.00000000000014,31.999999999999886,False,False,False,True,,,,,,,,,,,,,,,,,,,
separate_range,True,192,2,0,0,0,0,158,2-point,0.0002,True,v17,True,True,True,1263.2421027892008,4.95701110945284,True,113.99999999999983,61.999999999999915,32.00000000000022,True,False,False,True,104,3.485191340610353,12.590150015543733,7,5.579804728936156e-14,1.376676550535194e-13,48,4.95701110945284,15.488169792726701,0,,,1263.2421027892008,True,True,8,7,122.82204887806945,5.235578052969161e-14
tied_control,True,96,1,0,0,0,0,158,2-point,0.0002,True,v17,True,False,True,1256.9468355849278,4.999087774392228,True,114.00000000000227,61.99999999999916,32.00000000000097,True,False,False,True,104,3.4764964066197015,12.074040583741416,7,3.0197616755461703e-13,6.084022174945858e-13,48,4.999087774392228,15.650815059654004,0,,,1256.9468355849278,True,True,7,7,125.84038326594984,3.965082230804131e-14
tied_free_pair,True,1,1,1,0,0,0,158,2-point,0.0002,True,v17,True,False,False,1255.4173853908783,4.996998130579069,True,113.99999999999983,62.0,31.999999999999858,False,False,False,True,,,,,,,,,,,,,,,,,,,
