radius_set,group,coordination_label,Si_O_radius_A,Si_Si_radius_A,Si_H_radius_A,frames,atoms,force_component_RMSE_eV_A,force_component_MAE_eV_A,force_component_max_error_eV_A
0,small_O,O,1.8,2.6,1.7,58,115,4.1137389584200195,0.6805352696875197,46.65428727308927
1,small_O,O,2.0,2.8,1.9,58,115,4.1137389584200195,0.6805352696875197,46.65428727308927
2,small_O,O,2.2,3.0,2.1,58,115,4.1137389584200195,0.6805352696875197,46.65428727308927
0,small_Si,Si_O0_Si0_H0,1.8,2.6,1.7,55,109,0.19843315691760707,0.08458997889740986,0.6055901853985557
1,small_Si,Si_O0_Si0_H0,2.0,2.8,1.9,50,99,0.2064728016047802,0.08874611506365565,0.6055901853985557
2,small_Si,Si_O0_Si0_H0,2.2,3.0,2.1,44,87,0.19979440770326237,0.08136806939579831,0.6055901853985557
0,small_H,H,1.8,2.6,1.7,1,1,0.0,0.0,0.0
1,small_H,H,2.0,2.8,1.9,1,1,0.0,0.0,0.0
2,small_H,H,2.2,3.0,2.1,1,1,0.0,0.0,0.0
0,small_Si_H,H,1.8,2.6,1.7,52,52,3.116464513016482,0.7963714507100617,27.321556966156663
0,small_Si_H,Si_O0_Si0_H1,1.8,2.6,1.7,17,17,5.3926316734202695,1.9184816859478593,27.321546176156666
1,small_Si_H,H,2.0,2.8,1.9,52,52,3.116464513016482,0.7963714507100617,27.321556966156663
1,small_Si_H,Si_O0_Si0_H1,2.0,2.8,1.9,21,21,4.878319662171266,1.6791944591410628,27.321546176156666
2,small_Si_H,H,2.2,3.0,2.1,52,52,3.116464513016482,0.7963714507100617,27.321556966156663
2,small_Si_H,Si_O0_Si0_H1,2.2,3.0,2.1,24,24,4.566879498082499,1.5046916194847888,27.321546176156666
0,small_Si_H,Si_O0_Si0_H0,1.8,2.6,1.7,35,35,0.552258616654935,0.25134705216598874,2.363372715620214
1,small_Si_H,Si_O0_Si0_H0,2.0,2.8,1.9,31,31,0.41288427823246643,0.19833070467615785,1.186028694284297
2,small_Si_H,Si_O0_Si0_H0,2.2,3.0,2.1,28,28,0.4004200070046924,0.18924059354601022,1.1596039394923348
0,small_Si,Si_O0_Si1_H0,1.8,2.6,1.7,43,86,8.981880911652903,3.007851706608357,41.34758205459514
1,small_Si,Si_O0_Si1_H0,2.0,2.8,1.9,48,96,8.501256872534181,2.6990592612170254,41.34758205459514
2,small_Si,Si_O0_Si1_H0,2.2,3.0,2.1,54,108,8.015493671013825,2.4149678928768696,41.34758205459514
0,small_Si_O,O,1.8,2.6,1.7,23,23,1.6589007054342666,0.4427249924641354,11.126847447407194
0,small_Si_O,Si_O0_Si0_H0,1.8,2.6,1.7,12,12,0.3370346283396744,0.19204494820211607,0.7176955978087918
1,small_Si_O,O,2.0,2.8,1.9,23,23,1.6589007054342666,0.4427249924641354,11.126847447407194
1,small_Si_O,Si_O0_Si0_H0,2.0,2.8,1.9,8,8,0.3458832653125415,0.19633117186374438,0.7176955978087918
2,small_Si_O,O,2.2,3.0,2.1,23,23,1.6589007054342666,0.4427249924641354,11.126847447407194
2,small_Si_O,Si_O0_Si0_H0,2.2,3.0,2.1,3,3,0.4091810061715061,0.2362151395910568,0.7176955978087918
2,small_Si_O,Si_O1_Si0_H0,2.2,3.0,2.1,20,20,1.7792474377169485,0.47391230985149624,11.224983927407195
1,small_Si_O,Si_O1_Si0_H0,2.0,2.8,1.9,15,15,2.047105832048341,0.574416149392876,11.224983927407195
0,small_Si_O,Si_O1_Si0_H0,1.8,2.6,1.7,11,11,2.382771649904607,0.7165774761252457,11.224983927407195
0,Si_vacuum0,Si_O0_Si4_H0,1.8,2.6,1.7,201,36787,0.19493952935373113,0.1545473342300941,0.8746222512531237
1,Si_vacuum0,Si_O0_Si4_H0,2.0,2.8,1.9,201,38586,0.19665268280989814,0.15592967788547202,0.8746222512531237
2,Si_vacuum0,Si_O0_Si4_H0,2.2,3.0,2.1,201,38592,0.1966615592482744,0.15593879411274345,0.8746222512531237
0,Si_vacuum0,Si_O0_Si3_H0,1.8,2.6,1.7,197,1782,0.22855917957630242,0.1840417895942506,0.8421742921390116
0,Si_vacuum0,Si_O0_Si2_H0,1.8,2.6,1.7,21,23,0.2576314698507018,0.2041169138941695,0.5575195696088611
1,Si_vacuum0,Si_O0_Si3_H0,2.0,2.8,1.9,3,6,0.24724050366038422,0.21456525169544582,0.49852945853192043
0,Si_O_vacuum0,O,1.8,2.6,1.7,64,9216,0.15127755620603028,0.11042785096252868,1.2391529962686045
0,Si_O_vacuum0,Si_O4_Si0_H0,1.8,2.6,1.7,64,2942,0.19554101646925126,0.1440223657532867,1.2084163255115887
1,Si_O_vacuum0,O,2.0,2.8,1.9,64,9216,0.15127755620603028,0.11042785096252868,1.2391529962686045
1,Si_O_vacuum0,Si_O4_Si0_H0,2.0,2.8,1.9,64,3072,0.21186728565137236,0.1553159551210006,1.1964161347901134
2,Si_O_vacuum0,O,2.2,3.0,2.1,64,9216,0.15127755620603028,0.11042785096252868,1.2391529962686045
2,Si_O_vacuum0,Si_O4_Si0_H0,2.2,3.0,2.1,64,870,0.2027012900066427,0.14335446884476782,1.1964161347901134
0,Si_O_vacuum0,Si_O1_Si0_H0,1.8,2.6,1.7,10,25,0.41032914928958675,0.338178948018813,0.9190737141683538
0,Si_O_vacuum0,Si_O2_Si0_H0,1.8,2.6,1.7,41,264,0.33037962011078287,0.2486337584178443,1.2906691185548902
