source_frame,atoms,observed_group,source_total_force_eV_A,predicted_total_force_eV_A,raw_force_component_RMSE_eV_A,centered_error_RMSE_eV_A,uniform_error_RMS_eV_A,zero_total_force_model_error_lower_bound_eV_A,uniform_fraction_of_squared_error
0,1,small_O,0.0,0.0,0.0,0.0,0.0,0.0,
1,1,small_Si,0.0,0.0,0.0,0.0,0.0,0.0,
2,1,small_H,0.0,0.0,0.0,0.0,0.0,0.0,
3,2,small_Si_H,1.0789999997484756e-05,0.0,15.77410515429372,15.77410515429341,3.1148047015519426e-06,3.1148047015519426e-06,3.899170084938316e-14
4,2,small_Si_H,2.5800000003073364e-06,0.0,11.711275856834542,11.711275856834519,7.447818473433377e-07,7.447818473433377e-07,4.044359421835872e-15
5,2,small_Si_H,6.680000002035058e-06,0.0,7.770464641551663,7.770464641551423,1.9283498996808206e-06,1.928349899680821e-06,6.158539084852233e-14
6,2,small_Si_H,9.925000000166051e-05,0.0,4.835314055345299,4.835314055260416,2.8651007109014526e-05,2.865100710901453e-05,3.510996617042136e-11
7,2,small_Si_H,3.5999999994373866e-06,0.0,2.876842162633135,2.8768421626329475,1.0392304843789138e-06,1.039230484378914e-06,1.3049434301182038e-13
8,2,small_Si_H,3.079999999044958e-06,0.0,1.6986389647632476,1.6986389647630151,8.891194142763267e-07,8.891194142763268e-07,2.7397947084649346e-13
9,2,small_Si_H,1.2850000000952377e-05,0.0,1.1073233556963782,1.1073233556901652,3.709475479818273e-06,3.7094754798182735e-06,1.1222150507859571e-11
10,2,small_Si_H,5.660000000240473e-06,0.0,0.836773892972928,0.8367738929713328,1.6339012618760592e-06,1.6339012618760595e-06,3.812724038240818e-12
11,2,small_Si_H,5.149999999787269e-06,0.0,0.7183724153750852,0.7183724153735469,1.4866769431018762e-06,1.4866769431018762e-06,4.282860380428607e-12
12,2,small_Si_H,3.5999999994373866e-06,0.0,0.7204837962111984,0.7204837962104489,1.0392304843789138e-06,1.039230484378914e-06,2.080536405453543e-12
13,2,small_Si_H,6.680000000258701e-06,0.0,0.8231332932497292,0.8231332932474703,1.9283498991680307e-06,1.9283498991680307e-06,5.488217863594707e-12
14,2,small_Si_H,8.739999999951564e-06,0.0,0.9773465718700893,0.9773465718668327,2.5230206764087813e-06,2.5230206763446825e-06,6.6641448972846176e-12
15,2,small_Si_H,3.599999999992498e-06,0.0,1.1386527073611896,1.1386527073607153,1.0392304845712102e-06,1.0392304845391608e-06,8.329926882323425e-13
16,2,small_Si_H,8.740000000000137e-06,0.0,1.276163334125996,1.2761633341235017,2.5230206762805838e-06,2.5230206763587043e-06,3.908670796362171e-12
17,2,small_Si_H,2.5700000000350443e-06,0.0,1.3746522487224975,1.3746522487222972,7.418950958867361e-07,7.418950959187856e-07,2.912723816302436e-13
