source_frame,atoms,observed_group,source_total_force_eV_A,predicted_total_force_eV_A,raw_force_component_RMSE_eV_A,centered_error_RMSE_eV_A,uniform_error_RMS_eV_A,zero_total_force_model_error_lower_bound_eV_A,uniform_fraction_of_squared_error
18,2,small_Si_H,1.233999999983304e-05,0.0,1.4258847470058418,1.425884747001392,3.562251160787695e-06,3.562251160851794e-06,6.2413742768343055e-12
19,2,small_Si_H,3.5999999998814758e-06,0.0,1.4238309411197823,1.423830941119403,1.0392304843789138e-06,1.0392304845071114e-06,5.327296915259492e-13
20,2,small_Si_H,8.230000000164495e-06,0.0,1.364496249357495,1.3644962493554267,2.375796357890993e-06,2.3757963577627955e-06,3.0316127991929377e-12
21,2,small_Si_H,3.5999999998814758e-06,0.0,1.248595642652583,1.2485956426521507,1.0392304845071114e-06,1.0392304845071114e-06,6.927557280987458e-13
22,2,small_Si_H,1.0800000000088517e-05,0.0,1.0848201769443555,1.0848201769398755,3.1176914536495316e-06,3.117691453649532e-06,8.259442927320214e-12
23,2,small_Si_H,1.1320000000036856e-05,0.0,0.8901009112916232,0.8901009112856247,3.2678025236239213e-06,3.2678025236239213e-06,1.3478237857311983e-11
24,2,small_Si_H,3.5999999998814758e-06,0.0,0.6847550251432538,0.6847550251424652,1.0392304845071114e-06,1.0392304845071114e-06,2.3033148062761814e-12
25,2,small_Si_H,9.250000000182723e-06,0.0,0.48545397742716423,0.4854539774198203,2.6702449950547667e-06,2.6702449950547667e-06,3.025562244456018e-11
26,2,small_Si_H,4.119999999829815e-06,0.0,0.30118339597009125,0.30118339596774296,1.189341554481501e-06,1.1893415544815011e-06,1.5593770358822064e-11
27,2,small_Si_H,1.2340000000055085e-05,0.0,0.13409093808670883,0.13409093803939157,3.5622511609158925e-06,3.562251160915893e-06,7.057489086116182e-10
28,2,small_Si_H,3.0900000003164507e-06,0.0,0.01693319585896672,0.01693319583547219,8.920061659893233e-07,8.920061659893233e-07,2.774967170232143e-09
29,2,small_Si_H,9.769999999686974e-06,0.0,0.1533515896869994,0.1533515896610642,2.820356064900959e-06,2.820356064900959e-06,3.3824494636741105e-10
30,2,small_Si_H,5.150000000231358e-06,0.0,0.2756751142612422,0.27567511425723346,1.4866769432300738e-06,1.4866769432300738e-06,2.9082925150379274e-11
31,2,small_Si_H,1.0280000000140177e-05,0.0,0.3834739359250004,0.3834739359135178,2.9675803836751423e-06,2.9675803836751423e-06,5.988709973918248e-11
32,2,small_Si_H,9.769999999686974e-06,0.0,0.47588552591162775,0.47588552590327027,2.820356064900959e-06,2.820356064900959e-06,3.512391274054184e-11
33,2,small_Si_H,7.709999999772066e-06,0.0,0.5519779572914394,0.5519779572869522,2.225685287660208e-06,2.2256852876602086e-06,1.6258633454419143e-11
34,2,small_Si_H,8.229999999720405e-06,0.0,0.610747939882479,0.6107479398778581,2.375796357634598e-06,2.3757963576345984e-06,1.5131932763231326e-11
35,2,small_Si_H,1.0290000000079402e-05,0.0,0.6507363953863905,0.6507363953796107,2.970467135003546e-06,2.970467135003546e-06,2.0837197537532306e-11
36,2,small_Si_H,1.2339999999610995e-05,0.0,0.6695012088925909,0.669501208883114,3.562251160787695e-06,3.5622511607876954e-06,2.8310421945436874e-11
37,2,small_Si_H,0.0,0.0,0.6641281746869845,0.6641281746869845,0.0,0.0,0.0
38,2,small_Si_H,1.3370000000012539e-05,0.0,0.6352289760283437,0.6352289760166185,3.859586549536268e-06,3.859586549536268e-06,3.691653812370533e-11
39,2,small_Si_H,4.619999999899704e-06,0.0,0.5897747201189767,0.5897747201174688,1.3336791217990826e-06,1.3336791217990826e-06,5.113642922797647e-12
40,2,small_Si_H,1.3370000000012539e-05,0.0,0.5364631105763948,0.536463110562511,3.859586549536268e-06,3.859586549536268e-06,5.1760902682617774e-11
41,2,small_Si_H,8.739999999951564e-06,0.0,0.4812245040465872,0.4812245040399732,2.5230206763446825e-06,2.5230206763446825e-06,2.7488190506520835e-11
42,2,small_Si_H,1.2340000000055085e-05,0.0,0.427104434253756,0.42710443423890054,3.5622511609158925e-06,3.562251160915893e-06,6.956341795568026e-11
43,2,small_Si_H,1.4910000000201151e-05,0.0,0.3756053067904234,0.37560530676576237,4.304146256866727e-06,4.304146256866727e-06,1.3131387025476114e-10
44,2,small_Si_H,7.199999999984996e-06,0.0,0.47261812249705987,0.4726181224924895,2.0784609690783216e-06,2.0784609690783216e-06,1.934029105767847e-11
45,2,small_Si_H,1.6970000000005037e-05,0.0,0.2828618542552655,0.28286185421284477,4.8988170340754285e-06,4.8988170340754285e-06,2.999395051325468e-10
46,2,small_Si_H,2.108000000000665e-05,0.0,0.2045862904668183,0.2045862903763173,6.085271837260575e-06,6.0852718372605755e-06,8.847221722054517e-10
47,2,small_Si_H,2.005999999998842e-05,0.0,0.20820426329636862,0.20820426321583801,5.790823199968604e-06,5.790823199968604e-06,7.735731281599104e-10
48,2,small_Si_H,2.108000000000665e-05,0.0,0.08766313718172468,0.08766313697051542,6.085271837260575e-06,6.0852718372605755e-06,4.818656292521776e-09
49,2,small_Si_H,1.748000000001415e-05,0.0,0.09025538991246358,0.09025538977140533,5.046041352721414e-06,5.046041352721414e-06,3.125757752978149e-09
50,2,small_Si_H,1.3880000000021653e-05,0.0,0.0486546932543746,0.048654693089390175,4.006810868182254e-06,4.006810868182254e-06,6.7818504460041885e-09
51,2,small_Si_H,0.0,0.0,0.011007438101091647,0.011007438101091647,0.0,0.0,0.0
52,2,small_Si_H,2.469000000000776e-05,0.0,0.04208569483555686,0.04208569423203023,7.127389073148171e-06,7.127389073148171e-06,2.8680844195115274e-08
53,2,small_Si_H,2.2635746066781314e-05,0.0,0.04894670823576556,0.04894670779959646,6.534377042482102e-06,6.534377042482102e-06,1.7822203595131775e-08
54,2,small_Si_H,8.793147900496153e-05,0.0,0.04882349263102343,0.04882348603247058,2.5383631536878234e-05,2.5383631536878234e-05,2.703023505746839e-07
55,2,small_Si,0.0,0.0,13.766676355152791,13.766676355152791,0.0,0.0,0.0
56,2,small_Si,5.099999995650251e-07,0.0,8.61372952575484,8.61372952575484,1.4722431851778813e-07,1.4722431851778813e-07,2.921303265280798e-16
57,2,small_Si,5.100000031177387e-07,0.0,4.331697339687073,4.33169733968707,1.472243195433682e-07,1.4722431954336824e-07,1.1551620230897112e-15
58,2,small_Si,0.0,0.0,1.6036705123155235,1.6036705123155235,0.0,0.0,0.0
59,2,small_Si,5.100000004532035e-07,0.0,1.0893401293311862,1.0893401293311762,1.4722431877418315e-07,1.4722431877418315e-07,1.8265522573217095e-14
60,2,small_Si,5.100000004532035e-07,0.0,0.4811687981064519,0.4811687981064294,1.4722431877418315e-07,1.4722431877418315e-07,9.361904191845666e-14
61,2,small_Si,1.622251522195256e-06,0.0,0.3848045186010969,0.3848045186008119,4.6830367651635554e-07,4.683036765163556e-07,1.4810673510091347e-12
62,2,small_Si,4.12000000005186e-06,0.0,0.33777689969533153,0.33777689969323765,1.1893415545455997e-06,1.1893415545456e-06,1.2398047493055408e-11
63,2,small_Si,5.200000000000001e-07,0.0,0.3133472454700158,0.31334724546997983,1.5011106998930272e-07,1.5011106998930274e-07,2.29495238096873e-13
64,2,small_Si,3.0799999999955863e-06,0.0,1.1131944050049332,1.1131944050045781,8.891194145327218e-07,8.891194145507496e-07,6.379375368327369e-13
65,2,small_Si,2.5700000000350443e-06,0.0,0.8887121191130067,0.8887121191126971,7.418950958867361e-07,7.418950959187856e-07,6.968876938067773e-13
66,2,small_Si,0.0,0.0,0.5698354942100032,0.5698354942100032,0.0,0.0,0.0
67,2,small_Si,4.12000000005186e-06,0.0,0.26782545684479214,0.26782545684215137,1.1893415545455997e-06,1.1893415545456e-06,1.9720116544328286e-11
68,2,small_Si,5.100000000091143e-07,0.0,0.03317894704500948,0.03317894704468284,1.4722431864598564e-07,1.4722431864598564e-07,1.9689464631728092e-11
69,2,small_Si,2.569999999924022e-06,0.0,0.12169176685358055,0.12169176685131906,7.418950958867361e-07,7.418950958867362e-07,3.7167436419099755e-11
70,2,small_Si,5.100000000091143e-07,0.0,0.21998817805060847,0.2199881780505592,1.4722431864598564e-07,1.4722431864598564e-07,4.478787117757044e-13
71,2,small_Si,2.828999999993087e-05,0.0,0.2853085254231945,0.2853085253063146,8.1666195576673e-06,8.166619557667301e-06,8.193230074824992e-10
72,2,small_Si,2.0499999999756824e-06,0.0,0.3264680814686097,0.3264680814680734,5.917840259123465e-07,5.917840259123466e-07,3.285829481717752e-12
73,2,small_Si,5.199999999483396e-07,0.0,0.34608215283977595,0.34608215283974336,1.5011106997438962e-07,1.5011106997438962e-07,1.8813388930222228e-13
74,2,small_Si,2.0599999999149077e-06,0.0,0.3496364672239761,0.3496364672234704,5.946707772407505e-07,5.946707772407506e-07,2.8928089191972673e-12
75,2,small_Si,0.0,0.0,0.3464301921661999,0.3464301921661999,0.0,0.0,0.0
76,2,small_Si,5.149999999787269e-06,0.0,0.34544326670315745,0.34544326669995834,1.4866769431018762e-06,1.4866769431018762e-06,1.8521653196670377e-11
77,2,small_Si,7.353910523974801e-07,0.0,0.1416612697949308,0.14166126979477173,2.1228911103066363e-07,2.1228911103066366e-07,2.2457074316854537e-12
78,2,small_Si,1.140394668541197e-06,0.0,0.04715931604800525,0.04715931604685623,3.2920358443233704e-07,3.292035844323371e-07,4.8729742303077505e-11
79,2,small_Si,2.9575834729808417e-06,0.0,0.0071271219252855055,0.0071271218741469355,8.537808071381387e-07,8.537808071381387e-07,1.435041294853422e-08
80,2,small_Si,9.095740761426376e-06,0.0,0.020511225772222762,0.020511225604159307,2.6257141885442847e-06,2.625714188544285e-06,1.638746102727297e-08
81,2,small_Si,1.829240279464447e-05,0.0,0.028488441832731724,0.028488441343334413,5.280561838806524e-06,5.280561838806524e-06,3.435760426838802e-08
82,2,small_Si,3.2890272117433323e-06,0.0,0.03151045396451555,0.031510453950211174,9.494603730360087e-07,9.494603730360087e-07,9.079132771716011e-10
83,2,small_Si,1.2615070352803176e-06,0.0,0.03227311309894806,0.032273113096893465,3.6416571320184903e-07,3.641657132018491e-07,1.2732579245253585e-10
84,2,small_Si,1.1493476410174403e-06,0.0,0.03384372425634911,0.03384372425472276,3.317880849669403e-07,3.317880849669403e-07,9.610926934925684e-11
85,2,small_Si,7.212489168167232e-07,0.0,0.03793777850360368,0.03793777850303234,2.0820662813843057e-07,2.0820662813843057e-07,3.0119330122881735e-11
86,2,small_Si,1.1493476410174403e-06,0.0,0.04409580820144889,0.04409580820020066,3.317880849669402e-07,3.317880849669403e-07,5.661440635275377e-11
87,2,small_Si,5.100000000091143e-07,0.0,0.050214243104993506,0.05021424310477767,1.4722431864598564e-07,1.4722431864598564e-07,8.596175322473275e-12
88,2,small_Si,8.949301648754525e-07,0.0,0.05388926638177053,0.05388926638115129,2.5834408579837934e-07,2.5834408579837934e-07,2.2982247896560046e-11
89,2,small_Si,5.200000000038507e-07,0.0,0.0537491298411511,0.053749129840941476,1.5011106999041432e-07,1.5011106999041432e-07,7.799783817668849e-12
90,2,small_Si,7.353910524367323e-07,0.0,0.04981605758523697,0.049816057584784634,2.1228911104199482e-07,2.1228911104199482e-07,1.8160036932044977e-11
91,2,small_Si,7.212489168102785e-07,0.0,0.04311848599235415,0.04311848599185147,2.0820662813657012e-07,2.0820662813657015e-07,2.331643212050213e-11
92,2,small_Si,1.030000000012965e-06,0.0,0.0349323740328289,0.03493237403156348,2.9733538863639993e-07,2.973353886364e-07,7.24497681617403e-11
93,2,small_Si,7.212489167970969e-07,0.0,0.026221353862887174,0.026221353862060554,2.0820662813276496e-07,2.0820662813276496e-07,6.304909815664038e-11
94,2,small_Si,0.0,0.0,0.09944885261107658,0.09944885261107658,0.0,0.0,0.0
95,2,small_O,0.004476290029066782,0.0,26.934573153347756,26.934573122351082,0.0012921936266262722,0.0012921936266262722,2.3016272699056738e-09
96,2,small_O,0.0028662600000046723,0.0,14.676812298706578,14.676812275383375,0.0008274179912850771,0.0008274179912850772,3.1782381737259204e-09
97,2,small_Si,2.298695282134374e-06,0.0,0.031820617476902076,0.03182061746998308,6.635761699626017e-07,6.635761699626017e-07,4.3487491534099957e-10
98,2,small_Si,4.0487652438670715e-06,0.0,0.03114825175224527,0.03114825173031721,1.1687778517161271e-06,1.1687778517161273e-06,1.407980350568569e-09
99,2,small_Si,7.1854992867355645e-06,0.0,0.029514797765093023,0.029514797692203876,2.0742749737293207e-06,2.074274973729321e-06,4.939159278926532e-09
100,2,small_Si,9.260000000010926e-06,0.0,0.0264640992068062,0.02646409907180003,2.6731317463511215e-06,2.6731317463511215e-06,1.0202967316370212e-08
101,2,small_Si,8.065345621867678e-06,0.0,0.021689223741150093,0.021689223616184423,2.3282647329463367e-06,2.328264732946337e-06,1.1523295577309458e-08
102,2,small_Si,6.197685051740256e-06,0.0,0.015139971421930201,0.015139971316218585,1.789117566487378e-06,1.7891175664873785e-06,1.3964572623199742e-08
103,2,small_Si,2.9523719277727014e-06,0.0,0.007125340818592829,0.007125340767621583,8.522763636237318e-07,8.522763636237318e-07,1.4307033821806692e-08
104,2,small_Si,1.1403946685411967e-06,0.0,0.019029053189981975,0.019029053187134354,3.29203584432337e-07,3.29203584432337e-07,2.992917532637056e-10
105,2,small_Si,1.2492397688343043e-06,0.0,0.05491443365103095,0.05491443364984683,3.606244584094357e-07,3.6062445840943575e-07,4.3125817293767404e-11
106,2,small_Si,1.1493476410174403e-06,0.0,0.10245226556744771,0.10245226556691048,3.317880849669402e-07,3.317880849669403e-07,1.0487656109774108e-11
107,2,small_Si,5.099999999999998e-07,0.0,0.1762555433956407,0.17625554339557922,1.4722431864335452e-07,1.4722431864335452e-07,6.977077330076505e-13
108,2,small_Si,1.0299999999574538e-06,0.0,0.32747591065610393,0.327475910655969,2.9733538862037523e-07,2.973353886203753e-07,8.24393362204982e-13
109,2,small_Si,0.0,0.0,0.34512324722801896,0.34512324722801896,0.0,0.0,0.0
110,2,small_Si,1.0299999999574538e-06,0.0,0.34607758970853436,0.34607758970840663,2.9733538862037523e-07,2.973353886203753e-07,7.381527609207521e-13
111,2,small_Si,8.740000000173609e-06,0.0,0.3480524642088299,0.3480524641996852,2.5230206764087813e-06,2.5230206764087813e-06,5.2547516281028296e-11
112,2,small_Si,2.0599999999149077e-06,0.0,0.34963706188842797,0.3496370618879222,5.946707772407505e-07,5.946707772407506e-07,2.892799078998073e-12
113,2,small_Si,1.5399999999665681e-06,0.0,0.349147888801847,0.34914788880156394,4.445597072663609e-07,4.445597072663609e-07,1.6212177684873412e-12
114,2,small_Si,0.0,0.0,0.3448388031847206,0.3448388031847206,0.0,0.0,0.0
115,2,small_Si,0.0,0.0,0.33523082654731207,0.33523082654731207,0.0,0.0,0.0
116,2,small_Si,1.5399999999665681e-06,0.0,0.3192780047153065,0.319278004714997,4.445597072663609e-07,4.445597072663609e-07,1.9387517113057505e-12
117,2,small_Si,2.569999999924022e-06,0.0,0.296431834242693,0.2964318342417646,7.418950958867361e-07,7.418950958867362e-07,6.263763012166309e-12
118,2,small_Si,1.5399999999665681e-06,0.0,0.2663941948049406,0.26639419480456966,4.445597072663609e-07,4.445597072663609e-07,2.784906908175702e-12
119,2,small_Si,5.100000000091143e-07,0.0,0.22859527043502664,0.2285952704349792,1.4722431864598564e-07,1.4722431864598564e-07,4.147865111469376e-13
120,2,small_Si,0.0,0.0,0.18144309939272332,0.18144309939272332,0.0,0.0,0.0
121,2,small_Si,2.569999999924022e-06,0.0,0.12169176686665743,0.12169176686439595,7.418950958867361e-07,7.418950958867362e-07,3.7167436411111794e-11
122,2,small_Si,3.0899999998723615e-06,0.0,0.04455440339116034,0.044554403382231086,8.920061658611258e-07,8.920061658611258e-07,4.0082467359574863e-10
123,2,small_Si,1.5499999999057934e-06,0.0,0.05511376685513365,0.05511376685331734,4.4744645859476485e-07,4.474464585947649e-07,6.591161617188896e-11
124,2,small_Si,0.0,0.0,0.18048990835927342,0.18048990835927342,0.0,0.0,0.0
125,2,small_Si,2.0600000001369523e-06,0.0,0.3305135643186363,0.33051356431810136,5.946707773048493e-07,5.946707773048493e-07,3.237237923214387e-12
126,2,small_Si,4.110000000112635e-06,0.0,0.49919169820909465,0.49919169820768466,1.1864548032171958e-06,1.1864548032171958e-06,5.6489494611685455e-12
127,2,small_Si,3.6000000001035204e-06,0.0,0.6770935600079161,0.6770935600071186,1.0392304845712102e-06,1.0392304845712102e-06,2.3557347546672794e-12
128,2,small_Si,0.0,0.0,0.8541694331380112,0.8541694331380112,0.0,0.0,0.0
129,2,small_Si,5.199999999483396e-07,0.0,1.0221088481440097,1.0221088481439986,1.5011106997438962e-07,1.5011106997438962e-07,2.1569056365366727e-14
130,2,small_Si,3.080000000002525e-06,0.0,1.113094055752114,1.113094055751759,8.891194145327218e-07,8.891194145527526e-07,6.380525665384328e-13
131,2,small_Si,7.283543093915877e-07,0.0,0.8017423914323013,0.8017423914322737,2.1025777829632857e-07,2.102577782963286e-07,6.877560950610704e-14
132,2,small_Si,1.5399999999665681e-06,0.0,0.3162887975942734,0.316288797593961,4.445597072663609e-07,4.445597072663609e-07,1.9755706941379893e-12
133,2,small_Si,1.0299999999852094e-06,0.0,0.3280235665081617,0.32802356650802694,2.973353886524246e-07,2.9733538862838763e-07,8.216429078110866e-13
134,2,small_Si,1.5400000001886127e-06,0.0,0.34951815977683365,0.34951815977655093,4.4455970733045964e-07,4.445597073304597e-07,1.6177846316428333e-12
135,2,small_Si,4.62999999983893e-06,0.0,0.4157632252273455,0.4157632252251972,1.3365658731274867e-06,1.3365658731274867e-06,1.0334479077220928e-11
136,2,small_Si,5.100000000091143e-07,0.0,0.30955988583128463,0.3095598858312497,1.4722431864598564e-07,1.4722431864598564e-07,2.2618809898093586e-13
137,2,small_Si,5.199999995042504e-07,0.0,0.4410511101763411,0.4410511101763156,1.501110698461921e-07,1.501110698461921e-07,1.1583707996005886e-13
138,2,small_Si,1.0299999999574538e-06,0.0,0.6926182759449898,0.692618275944926,2.9733538862037523e-07,2.973353886203753e-07,1.8429150189275234e-13
139,2,small_Si,5.100000004532035e-07,0.0,1.089332704606996,1.089332704606986,1.4722431877418315e-07,1.4722431877418315e-07,1.826577156405138e-14
140,2,small_Si,5.099999995650251e-07,0.0,0.8368498676742082,0.8368498676741952,1.4722431851778813e-07,1.4722431851778813e-07,3.0950238629213095e-14
141,2,small_Si,0.0,0.0,1.833670146739376,1.833670146739376,0.0,0.0,0.0
142,2,small_Si,0.0,0.0,3.2503829214729754,3.2503829214729754,0.0,0.0,0.0
143,2,small_Si,5.200000003924288e-07,0.0,5.152593772490992,5.15259377249099,1.5011107010258713e-07,1.5011107010258713e-07,8.487379732413718e-16
144,2,small_Si,5.100000031177387e-07,0.0,7.540292181837705,7.540292181837703,1.472243195433682e-07,1.4722431954336824e-07,3.812262189773659e-16
145,2,small_Si,5.200000003924288e-07,0.0,10.31424107983199,10.31424107983199,1.5011107010258713e-07,1.5011107010258713e-07,2.1181215828677714e-16
146,2,small_Si,0.0,0.0,13.210768587910763,13.210768587910763,0.0,0.0,0.0
147,2,small_Si,0.0,0.0,15.770901380407171,15.770901380407171,0.0,0.0,0.0
148,2,small_Si,4.7310000006461905e-05,0.0,17.56021907733085,17.56021907732554,1.3657220619545988e-05,1.365722061954599e-05,6.048738238347962e-13
149,2,small_Si,1.0299999999574538e-06,0.0,18.662858663853626,18.662858663853623,2.9733538862037523e-07,2.973353886203753e-07,2.538264460904527e-16
150,2,small_Si,0.0,0.0,19.74814605395546,19.74814605395546,0.0,0.0,0.0
151,2,small_Si,4.629999992289413e-06,0.0,21.060125727213578,21.060125727213535,1.336565870948129e-06,1.336565870948129e-06,4.027715769862642e-15
152,2,small_Si,2.8279999995106664e-05,0.0,22.02385671668304,22.023856716681525,8.163732804928724e-06,8.163732804928724e-06,1.374012925333669e-13
153,2,small_Si,3.1880000008754905e-05,0.0,23.872028426599268,23.872028426597495,9.202963293409958e-06,9.202963293409958e-06,1.4861982094744924e-13
154,2,small_Si_O,0.04556254000285403,0.0,0.4260477965146057,0.4258447246285806,0.013152772367805432,0.013152772367805434,0.0009530549928132662
155,2,small_Si_O,0.022091440000000517,0.0,0.4207873240427691,0.4207389960117415,0.006377249415393382,0.006377249415393383,0.0002296896935548161
156,2,small_Si_O,0.03580313999999962,0.0,0.39014752630337607,0.39001060269069,0.010335476258416819,0.01033547625841682,0.0007017836923249811
157,2,small_Si_O,0.038843729999999965,0.0,0.3570867523901371,0.35691065051705734,0.01121321898591456,0.011213218985914562,0.00098608222490617
158,2,small_Si_O,0.03488218000000032,0.0,0.3349708365925783,0.3348194500932342,0.010069618006460583,0.010069618006460583,0.0009036744340269329
159,2,small_Si_O,0.041706910000000263,0.0,0.2953654825115862,0.2951199971720369,0.012039747857783823,0.012039747857783825,0.0016615572211396037
160,2,small_Si_O,0.01803218000000051,0.0,0.25239030096341003,0.2523366152465882,0.0052054419885380395,0.00520544198853804,0.0004253729790440041
161,2,small_Si_O,0.05243356000000077,0.0,0.24485966835787892,0.24439138829032891,0.015136264990285418,0.01513626499028542,0.0038212278184157904
162,2,small_Si_O,0.00853400999999998,0.0,0.29254538651316303,0.2925350133908406,0.0024635564853834734,0.002463556485383474,7.091507092388372e-05
163,2,small_Si_O,0.05558006999999954,0.0,0.34765170144159324,0.34728126473143867,0.016044584188038988,0.016044584188038988,0.0021299441429330295
164,2,small_Si_O,0.007396550000000168,0.0,0.3497907985068252,0.3497842815804009,0.0021352000667873117,0.002135200066787312,3.726150455610352e-05
165,2,small_Si_O,0.05532657000235067,0.0,0.28664462214563247,0.28619932499220474,0.015971405042097916,0.015971405042097916,0.003104549944975685
166,2,small_Si_O,0.02929825000000008,0.0,0.17354950419654003,0.17334329557011904,0.0084576762621425,0.008457676262142501,0.002374954864315927
167,2,small_Si_O,0.05839440000000007,0.0,0.047441075487615565,0.044345200576180036,0.01685701127958336,0.01685701127958336,0.1262560223775496
168,2,small_Si_O,0.037684679999999915,0.0,0.06302875773173572,0.06208284552902386,0.010878630071162429,0.010878630071162429,0.029790028769968908
169,2,small_Si_O,0.04568544000000019,0.0,0.07336693136767909,0.0721718550819981,0.013188250541023303,0.013188250541023303,0.03231273124586874
170,2,small_Si_O,0.06112698000000005,0.0,0.02233819202167161,0.01369741517478289,0.01764583917887445,0.01764583917887445,0.6240057533689645
171,2,small_Si_O,0.04513470999999991,0.0,0.09830060945220753,0.09743330016705493,0.013029268484147821,0.013029268484147823,0.017568215330166965
172,2,small_Si_O,0.06896730000000062,0.0,0.050220969199621844,0.04610609187777531,0.019909144610141018,0.019909144610141018,0.1571574678125061
173,2,small_Si_O,0.022857119999999398,0.0,0.6757447834087594,0.6757125683130808,0.006598282192449616,0.006598282192449616,9.534465841798436e-05
174,2,small_Si_O,0.08738053000000079,0.0,1.9973872273291644,1.9972279429613848,0.025224586258716312,0.025224586258716312,0.00015948636741635867
175,2,small_Si_O,0.005880630022115031,0.0,4.006037137944234,4.006036778259902,0.001697591663136354,0.001697591663136354,1.7957113401624103e-07
176,2,small_Si_O,0.09813648000000086,0.0,6.4524801212232346,6.452417930568517,0.02832956157266141,0.02832956157266141,1.9276418940955572e-05
177,2,small_O,0.04319830318880361,0.0,0.025684390278304676,0.02245395557065515,0.012470275987295417,0.012470275987295418,0.23572932331164273
178,2,small_O,0.09976122019390099,0.0,0.0384475973541934,0.025472717191055858,0.02879858366681714,0.028798583666817135,0.5610529473949717
179,2,small_O,0.05844589109514713,0.0,0.02204442199148848,0.014187894797326503,0.016871875478405376,0.016871875478405376,0.5857729203703703
180,2,small_O,0.2023494925535567,0.0,0.07470735571032425,0.04657337475252098,0.058413266998090074,0.05841326699809007,0.6113589350018939
181,2,small_O,0.01151783769675541,0.0,0.014215657180670268,0.013821355227000792,0.0033249133473520777,0.0033249133473520777,0.054704969400334064
182,2,small_O,0.1976516101153469,0.0,0.10119332233863462,0.08357377122936589,0.05705710515292924,0.05705710515292925,0.3179184684688302
183,2,small_O,0.020690064090816637,0.0,0.0400461319719976,0.039598225422087706,0.005972707036191798,0.005972707036191798,0.02224442977972441
184,2,small_O,0.050426110135260285,0.0,0.03251922778038098,0.029079215833383798,0.01455676413038912,0.014556764130389121,0.20037763290314312
185,2,small_O,0.03717545302394444,0.0,0.044133516873148274,0.042808871190807764,0.010731628905310304,0.010731628905310306,0.059128140346052044
186,2,small_O,0.050125932966221184,0.0,0.0769013747714827,0.07552772567364159,0.014470110445714474,0.01447011044571447,0.03540588744076554
187,2,small_O,0.04057989787799989,0.0,0.08702127841957301,0.08622920360949514,0.011714407481775378,0.011714407481775381,0.018121316061318275
188,2,small_O,0.05723932937319759,0.0,0.08010163018136059,0.07837884124847518,0.016523571110924642,0.016523571110924642,0.04255250371232232
189,2,small_O,0.021169931475337845,0.0,0.11424160903354365,0.11407803499367075,0.006111232818006126,0.006111232818006118,0.002861600716613041
190,2,small_O,0.06341261229732614,0.0,0.13368209019949143,0.13242282516082354,0.018305644389939313,0.018305644389939313,0.01875096348128823
