source_frame,atoms,observed_group,Si_without_O_neighbors,Si_with_1_to_3_O_neighbors,Si_with_4_or_more_O_neighbors,Si_with_H_neighbors
152,2,small_Si,2,0,0,0
153,2,small_Si,2,0,0,0
154,2,small_Si_O,1,0,0,0
155,2,small_Si_O,1,0,0,0
156,2,small_Si_O,1,0,0,0
157,2,small_Si_O,1,0,0,0
158,2,small_Si_O,1,0,0,0
159,2,small_Si_O,1,0,0,0
160,2,small_Si_O,1,0,0,0
161,2,small_Si_O,1,0,0,0
162,2,small_Si_O,0,1,0,0
163,2,small_Si_O,0,1,0,0
164,2,small_Si_O,0,1,0,0
165,2,small_Si_O,0,1,0,0
166,2,small_Si_O,0,1,0,0
167,2,small_Si_O,0,1,0,0
168,2,small_Si_O,0,1,0,0
169,2,small_Si_O,0,1,0,0
170,2,small_Si_O,0,1,0,0
171,2,small_Si_O,0,1,0,0
172,2,small_Si_O,0,1,0,0
173,2,small_Si_O,0,1,0,0
174,2,small_Si_O,0,1,0,0
175,2,small_Si_O,0,1,0,0
176,2,small_Si_O,0,1,0,0
177,2,small_O,0,0,0,0
178,2,small_O,0,0,0,0
179,2,small_O,0,0,0,0
180,2,small_O,0,0,0,0
181,2,small_O,0,0,0,0
182,2,small_O,0,0,0,0
183,2,small_O,0,0,0,0
184,2,small_O,0,0,0,0
185,2,small_O,0,0,0,0
186,2,small_O,0,0,0,0
187,2,small_O,0,0,0,0
188,2,small_O,0,0,0,0
189,2,small_O,0,0,0,0
190,2,small_O,0,0,0,0
191,2,small_O,0,0,0,0
192,2,small_O,0,0,0,0
193,2,small_O,0,0,0,0
194,2,small_O,0,0,0,0
195,2,small_O,0,0,0,0
196,2,small_O,0,0,0,0
197,2,small_O,0,0,0,0
198,2,small_O,0,0,0,0
199,2,small_O,0,0,0,0
200,2,small_O,0,0,0,0
201,2,small_O,0,0,0,0
202,2,small_O,0,0,0,0
203,2,small_O,0,0,0,0
204,2,small_O,0,0,0,0
205,2,small_O,0,0,0,0
206,2,small_O,0,0,0,0
207,2,small_O,0,0,0,0
208,2,small_O,0,0,0,0
209,2,small_O,0,0,0,0
210,2,small_O,0,0,0,0
211,2,small_O,0,0,0,0
212,2,small_O,0,0,0,0
213,2,small_O,0,0,0,0
214,2,small_O,0,0,0,0
215,2,small_O,0,0,0,0
216,2,small_O,0,0,0,0
217,2,small_O,0,0,0,0
218,2,small_O,0,0,0,0
219,2,small_O,0,0,0,0
220,2,small_O,0,0,0,0
221,2,small_O,0,0,0,0
222,2,small_O,0,0,0,0
223,2,small_O,0,0,0,0
224,2,small_O,0,0,0,0
225,2,small_O,0,0,0,0
226,2,small_O,0,0,0,0
227,2,small_O,0,0,0,0
228,2,small_O,0,0,0,0
229,2,small_O,0,0,0,0
230,2,small_O,0,0,0,0
231,2,small_O,0,0,0,0
232,192,Si_vacuum0,192,0,0,0
233,192,Si_vacuum0,192,0,0,0
234,192,Si_vacuum0,192,0,0,0
235,192,Si_vacuum0,192,0,0,0
236,192,Si_vacuum0,192,0,0,0
237,192,Si_vacuum0,192,0,0,0
238,192,Si_vacuum0,192,0,0,0
239,192,Si_vacuum0,192,0,0,0
240,192,Si_vacuum0,192,0,0,0
241,192,Si_vacuum0,192,0,0,0
242,192,Si_vacuum0,192,0,0,0
243,192,Si_vacuum0,192,0,0,0
244,192,Si_vacuum0,192,0,0,0
245,192,Si_vacuum0,192,0,0,0
246,192,Si_vacuum0,192,0,0,0
247,192,Si_vacuum0,192,0,0,0
248,192,Si_vacuum0,192,0,0,0
249,192,Si_vacuum0,192,0,0,0
250,192,Si_vacuum0,192,0,0,0
251,192,Si_vacuum0,192,0,0,0
252,192,Si_vacuum0,192,0,0,0
253,192,Si_vacuum0,192,0,0,0
254,192,Si_vacuum0,192,0,0,0
255,192,Si_vacuum0,192,0,0,0
256,192,Si_vacuum0,192,0,0,0
257,192,Si_vacuum0,192,0,0,0
258,192,Si_vacuum0,192,0,0,0
259,192,Si_vacuum0,192,0,0,0
260,192,Si_vacuum0,192,0,0,0
261,192,Si_vacuum0,192,0,0,0
262,192,Si_vacuum0,192,0,0,0
263,192,Si_vacuum0,192,0,0,0
264,192,Si_vacuum0,192,0,0,0
265,192,Si_vacuum0,192,0,0,0
266,192,Si_vacuum0,192,0,0,0
267,192,Si_vacuum0,192,0,0,0
268,192,Si_vacuum0,192,0,0,0
269,192,Si_vacuum0,192,0,0,0
270,192,Si_vacuum0,192,0,0,0
271,192,Si_vacuum0,192,0,0,0
272,192,Si_vacuum0,192,0,0,0
273,192,Si_vacuum0,192,0,0,0
274,192,Si_vacuum0,192,0,0,0
