species,chemical_concentration_cm3,site_fraction,expected_initial_dopant_count,probability_no_local_chemical_dopant,selected_initial_patterns,duplicates_removed,literal_selected_mass,unrepresented_mass,host_sites_for_one_periodic_dopant,independent_site_assumption,symmetry_augmented,physical_failure_probability
B,0.0,0.0,0.0,1.0,12,1,1.0,-0.0,,True,False,
B,1000000000000000.0,2.046955149150231e-08,4.421423122164498e-06,0.999995578586607,12,1,0.9999956195255296,4.380474470329876e-06,48853048.9012003,True,False,
B,1e+16,2.046955149150231e-07,4.421423122164499e-05,0.9999557867416881,12,1,0.9999561961148362,4.3803885163760324e-05,4885304.89012003,True,False,
B,1e+17,2.046955149150231e-06,0.0004421423122164499,0.9995579549659682,12,1,0.9995620470875127,0.00043795291248731414,488530.48901200306,True,False,
B,1e+18,2.046955149150231e-05,0.004421423122164499,0.9955882919259869,12,1,0.9956290525034405,0.004370947496559503,48853.04890120031,True,False,
B,1e+19,0.0002046955149150231,0.04421423122164499,0.9567446399280407,12,1,0.9571365231063611,0.042863476893638876,4885.304890120031,True,False,
B,1e+20,0.002046955149150231,0.44214231221644984,0.6423670219018468,12,1,0.645010316772822,0.354989683227178,488.53048901200304,True,False,
B,2.2617152269074216e+20,0.004629629629629629,1.0,0.36702622188409695,12,1,0.3704642397942261,0.6295357602057738,216.0,True,False,
B,4.523430453814843e+20,0.009259259259259259,2.0,0.1340802449896772,12,1,0.13662155412549778,0.8633784458745022,108.0,True,False,
B,9.046860907629686e+20,0.018518518518518517,4.0,0.017641508245288363,12,1,0.018326073300395002,0.981673926699605,54.0,True,False,
B,1e+21,0.02046955149150231,4.421423122164499,0.011478235938184969,12,1,0.011973008568777472,0.9880269914312225,48.8530489012003,True,False,
B,1.8093721815259373e+21,0.037037037037037035,8.0,0.00028818415811136024,12,1,0.00031163298595559793,0.9996883670140444,27.0,True,False,
P,0.0,0.0,0.0,1.0,12,1,1.0,-0.0,,True,False,
P,1000000000000000.0,2.046955149150231e-08,4.421423122164498e-06,0.999995578586607,12,1,0.9999956195255296,4.380474470329876e-06,48853048.9012003,True,False,
P,1e+16,2.046955149150231e-07,4.421423122164499e-05,0.9999557867416881,12,1,0.9999561961148362,4.3803885163760324e-05,4885304.89012003,True,False,
P,1e+17,2.046955149150231e-06,0.0004421423122164499,0.9995579549659682,12,1,0.9995620470875127,0.00043795291248731414,488530.48901200306,True,False,
P,1e+18,2.046955149150231e-05,0.004421423122164499,0.9955882919259869,12,1,0.9956290525034405,0.004370947496559503,48853.04890120031,True,False,
P,1e+19,0.0002046955149150231,0.04421423122164499,0.9567446399280407,12,1,0.9571365231063611,0.042863476893638876,4885.304890120031,True,False,
P,1e+20,0.002046955149150231,0.44214231221644984,0.6423670219018468,12,1,0.645010316772822,0.354989683227178,488.53048901200304,True,False,
P,2.2617152269074216e+20,0.004629629629629629,1.0,0.36702622188409695,12,1,0.3704642397942261,0.6295357602057738,216.0,True,False,
P,4.523430453814843e+20,0.009259259259259259,2.0,0.1340802449896772,12,1,0.13662155412549778,0.8633784458745022,108.0,True,False,
P,9.046860907629686e+20,0.018518518518518517,4.0,0.017641508245288363,12,1,0.018326073300395002,0.981673926699605,54.0,True,False,
P,1e+21,0.02046955149150231,4.421423122164499,0.011478235938184969,12,1,0.011973008568777472,0.9880269914312225,48.8530489012003,True,False,
P,1.8093721815259373e+21,0.037037037037037035,8.0,0.00028818415811136024,12,1,0.00031163298595559793,0.9996883670140444,27.0,True,False,
