radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
1.0,0.3560603870224406,0.11455371404251383,0.24150667297992673,4,True
1.5,0.6077455001242156,0.18873981121619302,0.41900568890802253,10,True
2.0,0.7269808670773567,0.20030897923317165,0.5266718878441851,18,True
2.5,0.765271532409969,0.15453389096187312,0.6107376414480958,30,True
3.0,0.7662290545827342,0.10220749069409954,0.6640215638886346,40,True
3.5,0.7506875112448343,0.01798545189229328,0.7327020593525411,56,True
4.0,0.7458428284712573,-0.031105942645814066,0.7769487711170715,72,True
