model,case,radius,ring,unique_quarter_crossings,span_over_L0,crossing_75_over_L0,crossing_25_over_L0,bracket_75_lower,bracket_75_upper,bracket_25_lower,bracket_25_upper,physical_core_radius,used_for_fit
current,stable_plus_R8r5,8.0,5,True,0.8766975445847012,0.12843269998199025,1.0051302445666914,-0.7216878364870323,0.14433756729740643,0.14433756729740643,1.010362971081845,False,False
current,stable_plus_R10r7,10.0,7,True,0.8740814713627572,0.1327968421236374,1.0068783134863946,-0.7216878364870323,0.14433756729740643,0.14433756729740643,1.010362971081845,False,False
Mishin_target,escaped_plus_R8r5,8.0,5,True,2.7603265164605273,-0.9212618557064793,1.839064660754048,-1.5877132402714706,-0.7216878364870323,1.010362971081845,1.8763883748662837,False,False
Mishin_target,stable_plus_R10r5,10.0,5,True,2.7908455413939475,-0.894847215544381,1.8959983258495665,-1.5877132402714706,-0.7216878364870323,1.8763883748662837,2.7424137786507226,False,False
Mishin_target,stable_plus_R16r5,16.0,5,True,2.8301459874139656,-0.8680236764222716,1.962122310991694,-1.5877132402714706,-0.7216878364870323,1.8763883748662837,2.7424137786507226,False,False
Mishin_target,stable_plus_R20r5,20.0,5,True,2.838678601255676,-0.8617299273053329,1.9769486739503432,-1.5877132402714706,-0.7216878364870323,1.8763883748662837,2.7424137786507226,False,False
joint_trial,probe_core_plus_R8r5,8.0,5,True,0.881890042367289,0.12213577874268544,1.0040258211099744,-0.7216878364870323,0.14433756729740643,0.14433756729740643,1.010362971081845,False,False
joint_trial,probe_stationary_R10r7,10.0,7,True,0.8775041828203871,0.12857107325523276,1.0060752560756199,-0.7216878364870323,0.14433756729740643,0.14433756729740643,1.010362971081845,False,False
wider_trial,wider_core_near_R8r5,8.0,5,True,0.8816617268832976,0.1219620590956445,1.003623785978942,-0.7216878364870323,0.14433756729740643,0.14433756729740643,1.010362971081845,False,False
wider_trial,wider_core_R10r7,10.0,7,True,0.877831920512927,0.12788382337858706,1.005715743891514,-0.7216878364870323,0.14433756729740643,0.14433756729740643,1.010362971081845,False,False
