step_over_L0,analytic_curvature,energy_curvature,gradient_curvature,energy_error,gradient_error,plus_energy_change,minus_energy_change
0.002,-0.11179016870284708,-0.11192510362967312,-0.11187308381003526,0.0001349349268260358,8.291510718817785e-05,-2.2587883119484786e-07,-2.218215833238446e-07
0.001,-0.11179016870284708,-0.11200392124877112,-0.1120864088036374,0.0002137525459240397,0.0002962401007903237,-5.61484929662015e-08,-5.585542828256962e-08
0.0005,-0.11179016870284708,-0.11187060700024176,-0.11191754526437252,8.043829739468045e-05,0.00012737656152543575,-1.3991733549545415e-08,-1.3975918200515025e-08
0.00025,-0.11179016870284708,-0.11188223680846932,-0.11181461309900796,9.206810562223389e-05,2.4444396160880344e-05,-3.4987648334094956e-09,-3.4938749671198366e-09
0.000125,-0.11179016870284708,-0.11179153602824954,-0.1117925206810413,1.367325402457098e-06,2.35197819421773e-06,-8.733649359271567e-10,-8.733778145142423e-10
6.25e-05,-0.11179016870284708,-0.11179736247868277,-0.11178969508832665,7.1937758356899195e-06,4.7361452043537255e-07,-2.1835733221564624e-10,-2.1835111496670834e-10
3.125e-05,-0.11179016870284708,-0.11178508430020884,-0.11179009839514446,5.084402638244612e-06,7.030770261817754e-08,-5.4567905749536294e-11,-5.45972156373864e-11
1.5625e-05,-0.11179016870284708,-0.11189513315912336,-0.11179016376814617,0.0001049644562762797,4.9347009117850504e-09,-1.3659295916568226e-11,-1.3658851827358376e-11
7.8125e-06,-0.11179016870284708,-0.11195515980944037,-0.11179016841367206,0.00016499110659329297,2.8917501726510864e-10,-3.4092728640189307e-12,-3.4239278079439828e-12
3.90625e-06,-0.11179016870284708,-0.11161318980157375,-0.11179016867957468,0.00017697890127332805,2.3272397897677877e-11,-8.517631044924201e-13,-8.5131901528257e-13
1.953125e-06,-0.11179016870284708,-0.12398231774568558,-0.1117901690626086,0.012192149042838496,3.5976151224748065e-10,-2.3092638912203256e-13,-2.4202861936828413e-13
9.765625e-07,-0.11179016870284708,-0.12991949915885925,-0.11179016862521277,0.01812933045601217,7.763431564278278e-11,-4.973799150320701e-14,-7.416289804496046e-14
4.8828125e-07,-0.11179016870284708,-0.22351741790771484,-0.11179016791160078,0.11172724920486776,7.912463045878226e-10,-1.687538997430238e-14,-3.6415315207705135e-14
