study,ensemble,dt_ps,planes,lattice_angstrom,temperature_K,retained_ps,energy_slope_eV_per_atom_ps,energy_range_eV_per_atom,max_modal_cross_covariance,mean_pressure_bar,temperature_standard_deviation_K
nve_1000ps_dt5,nve,0.005,12,4.065,303.13981015601615,975.0,-8.251334814255403e-10,3.387068235749524e-05,0.09861791844096522,209.13129247162558,2.104429227185573
nvt_1000ps_dt5,nvt,0.005,12,4.065,299.96276393634304,975.0,1.0331595298966407e-07,0.003553975836327883,0.0748733904923379,93.58805228699956,2.959979064827127
nve_1000ps_dt2p5,nve,0.0025,12,4.065,304.3106097709221,975.0,9.840735434564707e-10,7.6155255426257895e-06,0.07245522750116785,186.04259111152666,2.1002658617569407
nve_N6_serial_1000ps_dt2p5,nve,0.0025,6,4.065,299.0688819657627,975.0,1.8395474774455543e-09,2.1419589888438395e-05,0.05653327057840474,-14.109839468502562,5.85728373119589
nve_N6_lattice4p05_1000ps_dt2p5,nve,0.0025,6,4.05,305.57257113384367,975.0,3.94321279280884e-09,2.311433850499256e-05,0.04956410884050597,9232.034961835754,5.949856069137841
