case,radius_over_L0,inner_fraction,weighted_remainder_eV,continuum_subtraction_eV,finite_part_at_reference_b_eV,window_constant,window_series_tail,window_series_terms,log_coefficient_eV,core_radius_fitted,convergence_certified
radial_joint_core_R8r5,2.0,0.5,0.2696000065520732,0.13260002644692123,0.136999980105152,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_core_R8r5,2.0,0.75,0.2993907187742222,0.1876107621807567,0.11177995659346548,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_core_R8r5,2.5,0.5,0.31934126253165074,0.20768375347142046,0.11165750906023028,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_core_R8r5,2.5,0.75,0.3596970465756198,0.26269448920525595,0.09700255737036384,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_core_R8r5,3.0,0.5,0.3640133482922354,0.2690316253699138,0.0949817229223216,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_core_R8r5,3.0,0.75,0.4052246031792922,0.3240423611037493,0.08118224207554292,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_core_R8r5,3.5,0.5,0.40338739099098736,0.32090051199748715,0.08248687899350021,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_core_R8r5,3.5,0.75,0.4452858349707064,0.3759112477313227,0.06937458723938372,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_core_R8r5,4.0,0.5,0.438143166695464,0.36583138530291,0.07231178139255401,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_core_R8r5,4.0,0.75,0.48213142837473416,0.4208421210367455,0.06128930733798865,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_core_R8r5,4.5,0.5,0.47028980652487196,0.4054632242929064,0.06482658223196558,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_core_R8r5,4.5,0.75,0.5153756212935279,0.4604739600267419,0.05490166126678597,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_core_R8r5,5.0,0.5,0.4996188471094924,0.4409151123274092,0.05870373478208318,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_core_R8r5,5.0,0.75,0.5459517885812957,0.4959258480612447,0.05002594052005099,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_core_R8r5,5.5,0.5,0.5267175411450529,0.47298524601909325,0.05373229512595962,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_core_R8r5,5.5,0.75,0.574175753132576,0.5279959817529287,0.04617977137964724,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_core_R8r5,6.0,0.5,0.5522595487995278,0.5022629842259025,0.049996564573625224,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_core_R8r5,6.0,0.75,0.6010726071923553,0.5572737199597381,0.04379888723261727,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_core_R8r5,6.5,0.5,0.5762271006253723,0.5291958925616627,0.04703120806370964,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_core_R8r5,6.5,0.75,0.6259226821273297,0.5842066282954982,0.04171605383183152,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_core_R8r5,7.0,0.5,0.5987844864121707,0.5541318708534759,0.04465261555869482,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_core_R8r5,7.0,0.75,0.6495725026132306,0.6091426065873113,0.04042989602591929,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
radial_joint_core_R8r5,7.5,0.5,0.6202636632493658,0.5773467112504017,0.04291695199896406,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
radial_joint_core_R8r5,7.5,0.75,0.6717620070604967,0.6323574469842372,0.039404560076259476,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
