case,winding,y_reference,z_reference,y_displaced,z_displaced,all_rows_free
radial_joint_core_R8r5,1.0,0.38490017945975047,0.2721655269759087,0.37622265881438816,0.2767889611428954,True
radial_joint_escape_plus_newton_R8r5,1.0,-0.09622504486493766,0.5443310539518174,-0.07867666339817843,0.5558844439175591,True
radial_joint_stable_R10r7,1.0000000000000002,-0.09622504486493766,0.5443310539518174,-0.07872580771321007,0.5560937973389424,True
radial_joint_stable_R8r7,1.0,-0.09622504486493766,0.5443310539518174,-0.07868149423659604,0.5558869363790303,True
