case,minimum_H_eV_L0sq,step_over_L0,curvature,eigenvalue_error,plus_energy_change,minus_energy_change
radial_joint_core_R8r5,-0.3802588292900794,0.002,-0.38017890513497576,7.992415510366113e-05,-7.603464772243385e-07,-7.603691433155646e-07
radial_joint_core_R8r5,-0.3802588292900794,0.001,-0.3802388424123393,1.9986877740130193e-05,-1.9011376017896708e-07,-1.9012508234439451e-07
radial_joint_escape_plus_newton_R8r5,0.172653874202811,0.002,0.17266858420850184,1.4710005690837802e-05,3.4529724868281875e-07,3.453770882622109e-07
radial_joint_escape_plus_newton_R8r5,0.172653874202811,0.001,0.17265756935280763,3.6951499966242363e-06,8.632386383489177e-08,8.633370551791586e-08
radial_joint_stable_R10r7,0.1308687456165416,0.002,0.13086927025396378,5.246374221723471e-07,2.6173973111109916e-07,2.6173734990475594e-07
radial_joint_stable_R10r7,0.1308687456165416,0.001,0.13086887951097026,1.3389442865552326e-07,6.54345918560395e-08,6.543428765493076e-08
radial_joint_stable_R8r7,0.17223607639390853,0.002,0.17225094450790124,1.4868113992705378e-05,3.444617547865292e-07,3.4454202324507577e-07
radial_joint_stable_R8r7,0.17223607639390853,0.001,0.1722397935388642,3.7171449556727687e-06,8.611489188403709e-08,8.612490165482711e-08
