model,fraction,energy_eV_repeat,derivative_eV_per_fraction,curvature_eV_per_fraction_squared,maximum_atomic_gradient_eV_L0,own_fixed_exterior,minimum_energy_path,activation_barrier,energy_sum_error,work_sum_error
unchanged,0.0,0.9739906442209206,5.9843163206984124e-12,0.7119346242132816,2.9076918672300833e-10,True,False,False,2.55351295663786e-14,3.558221172200533e-17
unchanged,0.25,0.993001221893389,0.14035561477683484,0.4321294504624382,0.2889647769922745,True,False,False,8.770761894538737e-15,8.326672684688674e-17
unchanged,0.5,1.039765699400093,0.22775266295983732,0.2866896344189064,0.5033599131486607,True,False,False,2.353672812205332e-14,5.551115123125783e-17
unchanged,0.75,1.1048649845076293,0.29041898402359356,0.22303093909799165,0.7453439565763298,True,False,False,1.687538997430238e-14,0.0
unchanged,1.0,1.1841094634170153,0.34267823986427437,0.2031084724132332,0.9913597029480474,True,False,False,2.2648549702353193e-14,1.1102230246251565e-16
joint_trial,0.0,0.9563822829615738,-0.04921423844352606,0.4686180217636667,0.4906171332126651,True,False,False,9.29256671611256e-14,1.6653345369377348e-16
joint_trial,0.25,0.956888457173807,0.04633076421433503,0.3036342138908537,0.3385649927824182,True,False,False,8.382183835919932e-14,4.85722573273506e-17
joint_trial,0.5,0.9767428456199024,0.10841262984624359,0.20529404226393166,0.3718304411502493,True,False,False,8.892886427247504e-14,2.7755575615628914e-17
joint_trial,0.75,1.00978401404915,0.15467912604132658,0.17550875846267888,0.46242232065273087,True,False,False,8.37108160567368e-14,1.942890293094024e-16
joint_trial,1.0,1.0541314855615018,0.20160270295185212,0.21200060857726327,0.5605293694862432,True,False,False,9.947598300641403e-14,1.3877787807814457e-16
Mishin_target,0.0,1.3831001014157827,-0.21209446543086374,0.05834117170854601,1.1027370409440227,True,False,False,,
Mishin_target,0.25,1.3316829561571142,-0.19850792381688384,0.0675980372533188,0.8634772781491273,True,False,False,,
Mishin_target,0.5,1.2848472859625817,-0.17162839146655579,0.1728197634360801,0.542726434088395,True,False,False,,
Mishin_target,0.75,1.248605888163529,-0.11325217029439873,0.3117852218995486,0.25736434775144246,True,False,False,,
Mishin_target,1.0,1.2328094816359978,-1.1117191509674931e-10,0.6139276951982076,9.485236901474181e-10,True,False,False,,
