model,fraction,term,energy_eV_repeat,directional_work_eV,term_is_gauge_dependent,independent_physical_observable
unchanged,0.0,u,0.07569515144185131,-0.013744437274546268,True,False
unchanged,0.0,v,-0.034064583756857225,0.006409133730293331,True,False
unchanged,0.0,A,-0.03588173368620734,0.008187517306403541,True,False
unchanged,0.0,B,0.038207369135773696,-0.009019571402974007,True,False
unchanged,0.0,C,0.009933185336163532,-0.004694927728386898,True,False
unchanged,0.0,D3,0.13648902364659002,-0.018450166910348443,True,False
unchanged,0.0,D1,0.003325321163060087,-0.004578468754474667,True,False
unchanged,0.0,D2,0.38953745985626603,-0.013150761195548356,True,False
unchanged,0.0,D_Eg,0.35975007077897425,0.03092325561543791,True,False
unchanged,0.0,K3,0.030999380305331795,0.01811842662012821,True,False
unchanged,0.25,u,0.07238345901810302,-0.012698700055332194,True,False
unchanged,0.25,v,-0.03262136038783525,0.005149379030783562,True,False
unchanged,0.25,A,-0.03432869047897171,0.0042677530138796145,True,False
unchanged,0.25,B,0.03652532351274626,-0.004468758549907874,True,False
unchanged,0.25,C,0.009274076587227514,-0.000577888871089771,True,False
unchanged,0.25,D3,0.14302633172244583,0.06540993018178423,True,False
unchanged,0.25,D1,0.002637238218497661,-0.0009253486970313917,True,False
unchanged,0.25,D2,0.38611909949908035,-0.014074800441198932,True,False
unchanged,0.25,D_Eg,0.3731375557414871,0.07138389672747399,True,False
unchanged,0.25,K3,0.036848188460617125,0.026890152437473523,True,False
unchanged,0.5,u,0.06942418144330668,-0.010724570834735173,True,False
unchanged,0.5,v,-0.03150574474408867,0.0037019691767109296,True,False
unchanged,0.5,A,-0.0337503832540383,0.0003182620633189774,True,False
unchanged,0.5,B,0.035975501385926825,0.00011160936759595454,True,False
unchanged,0.5,C,0.009643947154189696,0.0035357869902559475,True,False
unchanged,0.5,D3,0.16651134819452035,0.11733219435584234,True,False
unchanged,0.5,D1,0.0028826138700006653,0.0029680447471039893,True,False
unchanged,0.5,D2,0.3826552534406926,-0.013152121283610992,True,False
unchanged,0.5,D_Eg,0.3935646650008252,0.0893890415976255,True,False
unchanged,0.5,K3,0.04436431690878144,0.034272446779729904,True,False
unchanged,0.75,u,0.06718480729814595,-0.0067978506866166145,True,False
unchanged,0.75,v,-0.030825637235488163,0.0015952797284453505,True,False
unchanged,0.75,A,-0.03420628857194031,-0.004069480353727869,True,False
unchanged,0.75,B,0.03661884219464776,0.005142007318946963,True,False
unchanged,0.75,C,0.011041367232173322,0.00764251965097116,True,False
unchanged,0.75,D3,0.19941578029502632,0.14214458068726657,True,False
unchanged,0.75,D1,0.00418171639438257,0.007587498176681615,True,False
unchanged,0.75,D2,0.37984981814762225,-0.008599262736231829,True,False
unchanged,0.75,D_Eg,0.41690412918019987,0.0960735871758903,True,False
unchanged,0.75,K3,0.054700449572876585,0.04970010506196791,True,False
unchanged,1.0,u,0.06624711358809868,-0.00021638570439026653,True,False
unchanged,1.0,v,-0.0307932887508798,-0.0015291693655294304,True,False
unchanged,1.0,A,-0.03584991144970005,-0.009230735822450292,True,False
unchanged,1.0,B,0.03861318036159779,0.010968495792197818,True,False
unchanged,1.0,C,0.013465020289253553,0.011747420487871802,True,False
unchanged,1.0,D3,0.23622651114340287,0.15078578262878317,True,False
unchanged,1.0,D1,0.006778137962500159,0.013425831299168797,True,False
unchanged,1.0,D2,0.37870391419101285,0.00013939878321992687,True,False
unchanged,1.0,D_Eg,0.4412533563825562,0.09863979663746783,True,False
unchanged,1.0,K3,0.06946542969919568,0.0679478051279349,True,False
joint_trial,0.0,u,0.3452770034626504,-0.06269408312210425,True,False
joint_trial,0.0,v,-0.16844965547210008,0.03169322063197673,True,False
joint_trial,0.0,A,-0.028421682969434436,0.006690331754989971,True,False
joint_trial,0.0,B,0.035042319218500574,-0.008575603123431851,True,False
joint_trial,0.0,C,0.008925922984594919,-0.004318228457113499,True,False
joint_trial,0.0,D3,0.11493308632404549,-0.01810976202163391,True,False
joint_trial,0.0,D1,0.005701538989331367,-0.009174217837230646,True,False
joint_trial,0.0,D2,0.3214709539443436,-0.009100923262467434,True,False
joint_trial,0.0,D_Eg,0.31932153246251754,0.023162116774494722,True,False
joint_trial,0.0,K3,0.0025812640172172274,0.0012129102189942821,True,False
joint_trial,0.25,u,0.3301709997797043,-0.05792404162562914,True,False
joint_trial,0.25,v,-0.16131290367685486,0.025463722962889193,True,False
joint_trial,0.25,A,-0.02717846523165306,0.0032794596947509054,True,False
joint_trial,0.25,B,0.03347188102331548,-0.004016496680467846,True,False
joint_trial,0.25,C,0.00827990277182214,-0.0008495906589857142,True,False
joint_trial,0.25,D3,0.11901538892101027,0.04645169543183139,True,False
