case,radius_over_L0,raw_site_energy_eV,linear_reference_work_eV,quadratic_remainder_eV,finite_part_at_reference_b_eV,elastic_log_coefficient_eV
historical_R2_r3_zero,1.0,0.41875764045189223,0.08150370629574175,0.33725393415615046,0.33725393415615046,0.27758061916607196
historical_R2_r3_zero,1.5,0.6051610452234982,0.08792198858751667,0.5172390566359816,0.404689800877079,0.27758061916607196
historical_R2_r3_zero,2.0,0.7074356267228118,0.05633169087482014,0.6511039358479916,0.45869971229494494,0.27758061916607196
historical_R3_r3_zero,1.0,0.41012707701163686,0.11753047076620592,0.29259660624543093,0.29259660624543093,0.27758061916607196
historical_R3_r3_zero,1.5,0.6181315366735285,0.16708352437488733,0.45104801229864117,0.3384987565397386,0.27758061916607196
historical_R3_r3_zero,2.0,0.7467857028482091,0.16896805212004032,0.5778176507281688,0.3854134271751221,0.27758061916607196
historical_R3_r3_zero,2.5,0.7579147052594228,0.09353888337961466,0.6643758218798081,0.41003127319004695,0.27758061916607196
historical_R3_r3_zero,3.0,0.7461387890667602,0.0276984572271754,0.7184403318395849,0.4134868525276356,0.27758061916607196
historical_R4_r3_zero,1.0,0.3977842019275249,0.12695420908288568,0.2708299928446392,0.2708299928446392,0.27758061916607196
historical_R4_r3_zero,1.5,0.6162023142866028,0.19720103998252433,0.4190012743040784,0.30645201854517584,0.27758061916607196
historical_R4_r3_zero,2.0,0.7664457007165495,0.22759042013869077,0.5388552805778587,0.346451057024812,0.27758061916607196
historical_R4_r3_zero,2.5,0.8043950600096592,0.18516019616999935,0.6192348638396599,0.36489031514989867,0.27758061916607196
historical_R4_r3_zero,3.0,0.8030647295434548,0.13017746539271047,0.6728872641507443,0.367933784838795,0.27758061916607196
historical_R4_r3_zero,3.5,0.7927777382456828,0.05212229954065903,0.7406554387050237,0.3929127182417531,0.27758061916607196
historical_R4_r3_zero,4.0,0.7811501397368725,-0.0038748521218811144,0.7850249918587536,0.4002165447526602,0.27758061916607196
historical_R4_r4_25MPa,1.0,0.35606043985745667,0.11455372730386074,0.24150671255359593,0.24150671255359593,0.27758061916607196
historical_R4_r4_25MPa,1.5,0.6077455024633996,0.18873981139465779,0.41900569106874186,0.3064564353098393,0.27758061916607196
historical_R4_r4_25MPa,2.0,0.726980912479986,0.20030899967090818,0.5266719128090778,0.33426768925603106,0.27758061916607196
historical_R4_r4_25MPa,2.5,0.7652715569498957,0.15453390438664663,0.6107376525632491,0.3563931038734879,0.27758061916607196
historical_R4_r4_25MPa,3.0,0.766229069256847,0.1022074952517768,0.6640215740050701,0.35906809469312084,0.27758061916607196
historical_R4_r4_25MPa,3.5,0.750687521581147,0.017985457308623734,0.7327020642725233,0.3849593438092527,0.27758061916607196
historical_R4_r4_25MPa,4.0,0.7458428301604383,-0.03110594544971572,0.776948775610154,0.39214032850406055,0.27758061916607196
historical_R4_r4_50MPa,1.0,0.35439559320514114,0.11412588625092815,0.24026970695421299,0.24026970695421299,0.27758061916607196
historical_R4_r4_50MPa,1.5,0.6063672504421636,0.18829112345957155,0.418076126982592,0.30552687122368943,0.27758061916607196
historical_R4_r4_50MPa,2.0,0.7254351450341476,0.19975976249330865,0.525675382540839,0.3332711589877923,0.27758061916607196
historical_R4_r4_50MPa,2.5,0.7638334969578642,0.15414345114528546,0.6096900458125787,0.3553454971228175,0.27758061916607196
historical_R4_r4_50MPa,3.0,0.7649891139817242,0.10201785447444905,0.6629712595072752,0.35801778019532593,0.27758061916607196
historical_R4_r4_50MPa,3.5,0.7496026432816614,0.017922357690168686,0.7316802855914927,0.3839375651282221,0.27758061916607196
historical_R4_r4_50MPa,4.0,0.7449588852725183,-0.03101869561791641,0.7759775808904347,0.39116913378434126,0.27758061916607196
historical_R4_r4_mode_minus,1.0,0.35779749279949663,0.1149953692630705,0.24280212353642613,0.24280212353642613,0.27758061916607196
historical_R4_r4_mode_minus,1.5,0.6091425492108866,0.18918172479825934,0.4199608244126273,0.3074115686537247,0.27758061916607196
historical_R4_r4_mode_minus,2.0,0.728637154729433,0.2008833208144902,0.5277538339149428,0.3353496103618961,0.27758061916607196
historical_R4_r4_mode_minus,2.5,0.7668381184164288,0.15493396595974657,0.6119041524566822,0.357559603766921,0.27758061916607196
historical_R4_r4_mode_minus,3.0,0.7676195887916348,0.10238902729830265,0.6652305614933322,0.3602770821813829,0.27758061916607196
historical_R4_r4_mode_minus,3.5,0.7520021899154321,0.018051971161537714,0.7339502187538944,0.38620749829062384,0.27758061916607196
historical_R4_r4_mode_minus,4.0,0.7470224558971401,-0.031194312261415183,0.7782167681585553,0.39340832105246193,0.27758061916607196
historical_R4_r4_mode_plus,1.0,0.3577975160114873,0.1149953708383683,0.242802145173119,0.242802145173119,0.27758061916607196
historical_R4_r4_mode_plus,1.5,0.6091425403644047,0.18918171049124372,0.419960829873161,0.30741157411425846,0.27758061916607196
historical_R4_r4_mode_plus,2.0,0.7286371764248925,0.20088332069330395,0.5277538557315885,0.3353496321785418,0.27758061916607196
historical_R4_r4_mode_plus,2.5,0.7668381288294407,0.15493395842396948,0.6119041704054712,0.35755962171571,0.27758061916607196
historical_R4_r4_mode_plus,3.0,0.7676195859521826,0.10238901138284293,0.6652305745693396,0.3602770952573904,0.27758061916607196
historical_R4_r4_mode_plus,3.5,0.7520021933737682,0.018051965766056728,0.7339502276077114,0.38620750714444085,0.27758061916607196
historical_R4_r4_mode_plus,4.0,0.7470224556870445,-0.031194314988773342,0.7782167706758178,0.39340832356972444,0.27758061916607196
historical_R4_r4_stable25MPa,1.0,0.3560603870224406,0.11455371404251383,0.24150667297992676,0.24150667297992676,0.27758061916607196
historical_R4_r4_stable25MPa,1.5,0.6077455001242156,0.18873981121619302,0.4190056889080226,0.30645643314912,0.27758061916607196
historical_R4_r4_stable25MPa,2.0,0.7269808670773567,0.20030897923317165,0.526671887844185,0.33426766429113824,0.27758061916607196
