case,energy_replay_error,reference_linear_free_gradient_max,total_linear_work_eV,affine_elasticity_error_eV_L0cubed,minimum_tested_core_hessian_eigenvalue
historical_R2_r3_zero,0.0,7.155734338404329e-17,-1.2885065193632417e-17,3.1153175150677725e-07,
historical_R3_r3_zero,0.0,7.155734338404329e-17,0.0,3.1153175150677725e-07,
historical_R4_r3_zero,0.0,7.155734338404329e-17,-3.122502256758253e-17,3.1153175150677725e-07,
historical_R4_r4_25MPa,0.0,7.231628490478315e-17,-4.163336342344337e-17,5.111937539936662e-10,
historical_R4_r4_50MPa,0.0,7.231628490478315e-17,-4.163336342344337e-17,5.111937539936662e-10,
historical_R4_r4_mode_minus,0.0,7.231628490478315e-17,-1.3877787807814457e-17,5.111937539936662e-10,0.6419648272059826
historical_R4_r4_mode_plus,0.0,7.231628490478315e-17,1.3877787807814457e-17,5.111937539936662e-10,0.6419647231434287
historical_R4_r4_stable25MPa,0.0,7.231628490478315e-17,2.7755575615628914e-17,5.111937539936662e-10,0.6545718920606075
historical_R4_r4_stable50MPa,0.0,7.231628490478315e-17,1.3877787807814457e-17,5.111937539936662e-10,0.6640066585330556
historical_R4_r4_stable_unload,0.0,7.231628490478315e-17,-2.7755575615628914e-17,5.111937539936662e-10,0.6419644164242143
historical_R4_r4_unload,0.0,7.231628490478315e-17,2.0816681711721685e-17,5.111937539936662e-10,0.6419644966492581
historical_R4_r4_zero,0.0,7.231628490478315e-17,-7.806255641895632e-18,5.111937539936662e-10,-0.8331097205767894
historical_R6_r4_mode_minus,0.0,7.231628490478315e-17,-1.3877787807814457e-17,5.111937539936662e-10,0.39776182695344986
historical_R6_r4_mode_plus,0.0,7.231628490478315e-17,-3.0357660829594124e-17,5.111937539936662e-10,0.3977617687754716
historical_R6_r4_zero,0.0,7.231628490478315e-17,1.3877787807814457e-17,5.111937539936662e-10,-0.7423016609803407
historical_R6_r6_stable_plus,0.0,3.8805967445508516e-17,2.0816681711721685e-17,2.5701574202230404e-10,0.40456732199185674
historical_R6_r6_zero,0.0,3.8805967445508516e-17,6.938893903907228e-18,2.5701574202230404e-10,
historical_R6_r8_zero,0.0,7.480687940706601e-17,4.5102810375396984e-17,2.5701663020072374e-10,-0.7540561858232384
historical_R8_r4_zero,0.0,7.231628490478315e-17,-2.0816681711721685e-17,5.111937539936662e-10,
historical_R8_r6_zero,0.0,3.8805967445508516e-17,1.3877787807814457e-17,2.5701574202230404e-10,-0.713218914186421
range_R4_r4_zero,0.0,1.3652815857023715e-16,-6.938893903907228e-18,1.0898166591388758e-08,-1.0281912949489176
