case,y_over_L0,slip_x_over_L0,slip_y_over_L0,opening_change_over_L0,both_rows_free
historical_R2_r3_zero,-3.319764047840348,0.9630293522083384,0.0,0.0,False
historical_R2_r3_zero,-2.4537386440559095,0.9508014911620257,0.0,0.0,False
historical_R2_r3_zero,-1.5877132402714706,0.9040382255073179,0.021601314480255707,0.0027264992091854813,True
historical_R2_r3_zero,-0.7216878364870323,0.7975109056557426,0.04316155898914726,0.019262891515204186,True
historical_R2_r3_zero,0.14433756729740643,0.5000000000700031,0.04484390182810688,0.05244869611977013,True
historical_R2_r3_zero,1.010362971081845,0.2024890945206595,0.04316155439643046,0.01926288817844863,True
historical_R2_r3_zero,1.8763883748662837,0.09596177432494496,0.021601318929881985,0.002726502464172494,True
historical_R2_r3_zero,2.7424137786507226,0.0491985088379743,0.0,0.0,False
historical_R2_r3_zero,3.608439182435161,0.03697064779166165,0.0,0.0,False
historical_R3_r3_zero,-4.185789451624787,0.970397070232782,0.0,0.0,False
historical_R3_r3_zero,-3.319764047840348,0.9630293522083384,0.0,0.0,False
historical_R3_r3_zero,-2.4537386440559095,0.9381019180007609,0.01353370548760282,0.0013809754540716934,True
historical_R3_r3_zero,-1.5877132402714706,0.8904263294965035,0.03406706070463923,0.009872864945192924,True
historical_R3_r3_zero,-0.7216878364870323,0.783657631174011,0.054162451814636546,0.030848745364051064,True
historical_R3_r3_zero,0.14433756729740643,0.49999999999808026,0.05669841911871775,0.06106800731757241,True
historical_R3_r3_zero,1.010362971081845,0.21634236882577912,0.054162451899324775,0.0308487454199661,True
historical_R3_r3_zero,1.8763883748662837,0.10957367050537987,0.034067060587324866,0.009872864868770186,True
historical_R3_r3_zero,2.7424137786507226,0.06189808199719281,0.013533705569139617,0.001380975510317382,True
historical_R3_r3_zero,3.608439182435161,0.03697064779166165,0.0,0.0,False
historical_R3_r3_zero,4.474464586219599,0.029602929767218157,0.0,0.0,False
historical_R4_r3_zero,-5.0518148554092255,0.9753189736363086,0.0,0.0,False
historical_R4_r3_zero,-4.185789451624787,0.970397070232782,0.0,0.0,False
historical_R4_r3_zero,-3.319764047840348,0.9558302642001759,0.00848460946439804,-0.0005120641427838813,True
historical_R4_r3_zero,-2.4537386440559095,0.9297114196369165,0.0234700605674824,0.004028302184490924,True
historical_R4_r3_zero,-1.5877132402714706,0.8826366631696353,0.0441084470219822,0.0147383869905978,True
historical_R4_r3_zero,-0.7216878364870323,0.7762608654543243,0.0637729748943735,0.03492147111993502,True
historical_R4_r3_zero,0.14433756729740643,0.5000000001376077,0.06690789447748091,0.06331828242882451,True
historical_R4_r3_zero,1.010362971081845,0.22373913459502157,0.06377297483035622,0.03492147108737471,True
historical_R4_r3_zero,1.8763883748662837,0.11736333685990688,0.04410844708906407,0.014738387017649957,True
historical_R4_r3_zero,2.7424137786507226,0.07028858036198425,0.023470060583526374,0.004028302207980482,True
historical_R4_r3_zero,3.608439182435161,0.04416973580583203,0.008484609419075112,-0.0005120642093435388,True
historical_R4_r3_zero,4.474464586219599,0.029602929767218157,0.0,0.0,False
historical_R4_r3_zero,5.340489990004038,0.024681026363691575,0.0,0.0,False
historical_R4_r4_25MPa,-5.0518148554092255,0.9764142497957176,0.0,0.0,False
historical_R4_r4_25MPa,-4.185789451624787,0.971492346392191,0.0,0.0,False
historical_R4_r4_25MPa,-3.319764047840348,0.961346195533742,0.0035764020959675753,-0.0005679329508636715,True
historical_R4_r4_25MPa,-2.4537386440559095,0.9448623178783624,0.011162965758218273,0.0012919409055353582,True
historical_R4_r4_25MPa,-1.5877132402714706,0.9194318847170759,0.02227512276841823,0.007256716645863738,True
