case,phase,analytic_eigenvalue,eigenpair_residual,step_over_L0,curvature,eigenvalue_error,plus_energy_change,minus_energy_change
historical_R4_r4_mode_minus,initial,-0.8331097205767903,1.2575558232400468e-09,0.002,-0.8329765455172833,0.00013317505950705133,-1.6659532069418503e-06,-1.6659529751272828e-06
historical_R4_r4_mode_minus,initial,-0.8331097205767903,1.2575558232400468e-09,0.001,-0.8330764211805786,3.329939621177225e-05,-4.1653827276277866e-07,-4.165381484177999e-07
historical_R4_r4_mode_minus,final,0.6419648272059826,1.5377640170860373e-09,0.002,0.6419892374931457,2.4410287163156852e-05,1.2851683088843657e-06,1.2827886410882172e-06
historical_R4_r4_mode_minus,final,0.6419648272059826,1.5377640170860373e-09,0.001,0.6419709221994196,6.094993437066876e-06,3.2123145921048035e-07,3.20739462877917e-07
historical_R4_r4_mode_plus,initial,-0.8331097205767903,1.2575558232400468e-09,0.002,-0.8329765455172833,0.00013317505950705133,-1.6659532069418503e-06,-1.6659529751272828e-06
historical_R4_r4_mode_plus,initial,-0.8331097205767903,1.2575558232400468e-09,0.001,-0.8330764211805786,3.329939621177225e-05,-4.1653827276277866e-07,-4.165381484177999e-07
historical_R4_r4_mode_plus,final,0.6419647231434287,1.5880059644752084e-09,0.002,0.6419891374065401,2.4414263111394163e-05,1.2849530982572688e-06,1.2830034512578692e-06
historical_R4_r4_mode_plus,final,0.6419647231434287,1.5880059644752084e-09,0.001,0.6419708271643287,6.1040209000662315e-06,3.2112390080385467e-07,3.2084692636047407e-07
historical_R4_r4_stable25MPa,final,0.6545718920606075,1.906011018016647e-09,0.002,0.6545953188386022,2.3426777994717263e-05,1.3098771557418232e-06,1.308504119723608e-06
historical_R4_r4_stable25MPa,final,0.6545718920606075,1.906011018016647e-09,0.001,0.6545777520017282,5.859941120678336e-06,3.2740938116226914e-07,3.2716837095048135e-07
historical_R4_r4_stable50MPa,final,0.6640066585330556,2.2729409356788207e-09,0.002,0.6640293610526982,2.2702519642536778e-05,1.3283602091629376e-06,1.3277572349368327e-06
historical_R4_r4_stable50MPa,final,0.6640066585330556,2.2729409356788207e-09,0.001,0.6640123266787867,5.668145731108076e-06,3.3204327110070153e-07,3.319690555780852e-07
historical_R4_r4_stable_unload,final,0.6419644164242143,1.5377657276785575e-09,0.002,0.6419888324282752,2.441600406088984e-05,1.2848432376921792e-06,1.2831120921319439e-06
historical_R4_r4_stable_unload,final,0.6419644164242143,1.5377657276785575e-09,0.001,0.6419705460558589,6.129631644591349e-06,3.210691383870312e-07,3.209014076688277e-07
historical_R6_r4_mode_minus,initial,-0.7423016609803411,4.039304545398822e-09,0.002,-0.7421898723380949,0.00011178864224625773,-1.4843794586827386e-06,-1.4843800306696409e-06
historical_R6_r4_mode_minus,initial,-0.7423016609803411,4.039304545398822e-09,0.001,-0.742273722043052,2.793893728914032e-05,-3.7113671980115726e-07,-3.711370020198501e-07
historical_R6_r4_mode_minus,final,0.39776182695344986,2.402754726182791e-09,0.002,0.3977691245271586,7.297573708764382e-06,7.953580092312507e-07,7.957184888773838e-07
historical_R6_r4_mode_minus,final,0.39776182695344986,2.402754726182791e-09,0.001,0.39776364690879973,1.8199553498687848e-06,1.987677786807751e-07,1.9899586822802462e-07
historical_R6_r4_mode_plus,initial,-0.7423016609803411,4.039304545398822e-09,0.002,-0.7421898723380949,0.00011178864224625773,-1.4843794586827386e-06,-1.4843800306696409e-06
historical_R6_r4_mode_plus,initial,-0.7423016609803411,4.039304545398822e-09,0.001,-0.742273722043052,2.793893728914032e-05,-3.7113671980115726e-07,-3.711370020198501e-07
historical_R6_r4_mode_plus,final,0.3977617687754716,2.559746673614068e-09,0.002,0.39776906179955773,7.293024086141298e-06,7.950421183622325e-07,7.960341288359984e-07
historical_R6_r4_mode_plus,final,0.3977617687754716,2.559746673614068e-09,0.001,0.3977635829599535,1.8141844819186126e-06,1.9860987032771504e-07,1.9915371263223847e-07
historical_R6_r6_stable_plus,final,0.40456732199185674,1.3862716859830688e-09,0.002,0.40457379690828077,6.474916424026311e-06,8.093409140652597e-07,8.089542735678634e-07
historical_R6_r6_stable_plus,final,0.40456732199185674,1.3862716859830688e-09,0.001,0.4045689294684962,1.6074766394647e-06,2.02363990009502e-07,2.022049396810388e-07
