       Step     Time          Energy          fmax
LBFGS:    0 22:26:10     -359.147143        0.008475
LBFGS:    1 22:26:12     -359.147146        0.005715
LBFGS:    2 22:26:14     -359.147150        0.007851
LBFGS:    3 22:26:17     -359.147151        0.008589
LBFGS:    4 22:26:19     -359.147157        0.008477
LBFGS:    5 22:26:21     -359.147162        0.009059
LBFGS:    6 22:26:23     -359.147170        0.010015
LBFGS:    7 22:26:25     -359.147182        0.011656
LBFGS:    8 22:26:27     -359.147202        0.017314
LBFGS:    9 22:26:29     -359.147238        0.021799
LBFGS:   10 22:26:31     -359.147317        0.031616
LBFGS:   11 22:26:34     -359.147972        0.096792
LBFGS:   12 22:26:36     -359.147336        0.033140
LBFGS:   13 22:26:38     -359.147178        0.017900
LBFGS:   14 22:26:40     -359.147651        0.060174
LBFGS:   15 22:26:42     -359.147172        0.018968
LBFGS:   16 22:26:44     -359.145982        0.057036
LBFGS:   17 22:26:46     -359.147181        0.016203
LBFGS:   18 22:26:48     -359.147339        0.021919
LBFGS:   19 22:26:50     -359.148168        0.054299
LBFGS:   20 22:26:52     -359.147348        0.020241
LBFGS:   21 22:26:55     -359.146957        0.027497
LBFGS:   22 22:26:57     -359.147342        0.028080
LBFGS:   23 22:26:59     -359.147107        0.031995
LBFGS:   24 22:27:01     -359.146986        0.032051
LBFGS:   25 22:27:03     -359.147060        0.017083
LBFGS:   26 22:27:06     -359.147031        0.011126
LBFGS:   27 22:27:08     -359.147069        0.018069
LBFGS:   28 22:27:11     -359.147082        0.019542
LBFGS:   29 22:27:13     -359.147683        0.041291
LBFGS:   30 22:27:16     -359.147090        0.018679
LBFGS:   31 22:27:18     -359.147035        0.012468
LBFGS:   32 22:27:21     -359.147396        0.036328
LBFGS:   33 22:27:24     -359.147020        0.011203
LBFGS:   34 22:27:27     -359.146615        0.042241
LBFGS:   35 22:27:29     -359.147089        0.015804
LBFGS:   36 22:27:32     -359.147191        0.021065
LBFGS:   37 22:27:34     -359.146862        0.020388
LBFGS:   38 22:27:37     -359.147263        0.022268
LBFGS:   39 22:27:40     -359.148540        0.049991
LBFGS:   40 22:27:43     -359.147264        0.022080
LBFGS:   41 22:27:45     -359.147102        0.015010
LBFGS:   42 22:27:47     -359.146921        0.016321
LBFGS:   43 22:27:49     -359.147332        0.024107
LBFGS:   44 22:27:51     -359.146922        0.015792
LBFGS:   45 22:27:54     -359.145550        0.096693
LBFGS:   46 22:27:56     -359.146925        0.015219
LBFGS:   47 22:27:58     -359.147007        0.007257
LBFGS:   48 22:28:00     -359.147220        0.018702
LBFGS:   49 22:28:03     -359.146797        0.028655
LBFGS:   50 22:28:05     -359.147222        0.018028
LBFGS:   51 22:28:07     -359.148368        0.042848
LBFGS:   52 22:28:10     -359.147221        0.017467
LBFGS:   53 22:28:12     -359.147080        0.010695
LBFGS:   54 22:28:14     -359.146780        0.032268
LBFGS:   55 22:28:16     -359.147212        0.016433
LBFGS:   56 22:28:19     -359.148325        0.043067
LBFGS:   57 22:28:21     -359.147212        0.016158
LBFGS:   58 22:28:23     -359.147075        0.009782
LBFGS:   59 22:28:25     -359.146725        0.037697
LBFGS:   60 22:28:27     -359.147180        0.014486
LBFGS:   61 22:28:30     -359.148199        0.039908
LBFGS:   62 22:28:32     -359.147181        0.014338
LBFGS:   63 22:28:34     -359.147057        0.008526
LBFGS:   64 22:28:37     -359.146404        0.060257
LBFGS:   65 22:28:40     -359.147074        0.008613
LBFGS:   66 22:28:43     -359.147191        0.014237
LBFGS:   67 22:28:45     -359.146745        0.036124
LBFGS:   68 22:28:47     -359.147192        0.013965
LBFGS:   69 22:28:50     -359.148248        0.040268
LBFGS:   70 22:28:52     -359.147192        0.013735
LBFGS:   71 22:28:54     -359.147058        0.008499
LBFGS:   72 22:28:57     -359.146537        0.052550
LBFGS:   73 22:28:59     -359.147106        0.009532
LBFGS:   74 22:29:01     -359.147325        0.018579
LBFGS:   75 22:29:03     -359.146923        0.017803
LBFGS:   76 22:29:05     -359.145641        0.096305
LBFGS:   77 22:29:07     -359.146925        0.017303
LBFGS:   78 22:29:10     -359.147008        0.005912
LBFGS:   79 22:29:12     -359.147323        0.018412
LBFGS:   80 22:29:14     -359.146891        0.020880
LBFGS:   81 22:29:16     -359.145473        0.101960
LBFGS:   82 22:29:18     -359.146892        0.020699
LBFGS:   83 22:29:21     -359.146986        0.008678
LBFGS:   84 22:29:23     -359.147212        0.013735
LBFGS:   85 22:29:25     -359.146778        0.032162
LBFGS:   86 22:29:27     -359.147214        0.013447
LBFGS:   87 22:29:29     -359.148337        0.040635
LBFGS:   88 22:29:31     -359.147212        0.012997
LBFGS:   89 22:29:34     -359.147058        0.008308
LBFGS:   90 22:29:36     -359.146673        0.043267
LBFGS:   91 22:29:39     -359.147153        0.009817
LBFGS:   92 22:29:41     -359.147994        0.032336
LBFGS:   93 22:29:44     -359.147121        0.008529
LBFGS:   94 22:29:47     -359.147000        0.008567
