model,status,a0_over_b,kappa,cohesive_eV_atom,registry_barrier_eV_cell,work_separation_eV_cell,min_H_eigenvalue,event_ordering
TwoRowLJ,verified_dimensionless_reference,0.771343826870,86.2929648874,,,,,opening_before_resolved_plasticity_in_prior_audit
hypothetical_AnalyticLJEAM,uncalibrated_dimensionless_sensitivity,0.7693829741,88.9391933,,,,,sensitivity_only
square_root_best,structurally_insufficient_fit,0.818565436397,14.7428214640,3.046390285923,0.133786244057,1.897477399405,5.51672600142,not_interpreted_due_bad_fit
linear_best_feasible,good_static_fit_practically_nonidentifiable,0.816495722127,15.5021723491,3.359854866906,0.110372478406,0.941236069770,6.38824115694,static_slip_favored_for_chi_0.5_dynamic_not_calibrated
