observable,log_epsilon_LJ,log_sigma_LJ,log_density_decay,log_A,log_B
a0_over_b,-0.567557296478,251.58010514,0.686633932778,-54.4044829653,54.9720403318
cohesive_energy,4.7069430886,6.31256063162,-3.40336222746e-7,91.5367218489,-46.2458246497
normal_curvature,19.2180915567,5.36880138125,2.88658505235,70.9237950648,-70.1237859682
registry_barrier,9.57571950657,1.28546630063,1.31997756921,42.6660065683,-42.2826167957
work_separation,3.52094090436,1.43741011726,0.122525991959,42.3949191196,-35.9005957793
