model,target,reference,prediction,absolute_error,relative_error,normalization_scale,normalized_residual,source,used_for_fit
square_root,a0_over_b,0.816496580928,0.818565436397,0.002068855469,0.002533820,0.004082482905,0.50676403,doi:10.1103/PhysRevB.59.3393,yes
square_root,cohesive_energy_eV_atom,3.36,3.046390285923,-0.313609714077,-0.093336224,0.0672,-4.66681122,doi:10.1103/PhysRevB.59.3393,yes
square_root,normal_curvature_eV,18.96905843,18.010559459821,-0.958498970179,-0.050529623,0.9484529215,-1.01059204,doi:10.1103/PhysRevB.59.3393,yes
square_root,registry_barrier_eV_cell,0.110825653155,0.133786244057,0.022960590902,0.207175588,0.011082565316,2.07177588,doi:10.1103/PhysRevB.62.3099,yes
square_root,work_separation_eV_cell,0.93980153,1.897477399405,0.957675869405,1.019019261,0.093980153,10.19019261,doi:10.1039/C6RA08958E,yes
linear_best_feasible,a0_over_b,0.816496580928,0.816495722127,-0.000000858801,-0.000001052,0.004082482905,-0.00021036,doi:10.1103/PhysRevB.59.3393,yes
linear_best_feasible,cohesive_energy_eV_atom,3.36,3.359854866906,-0.000145133094,-0.000043194,0.0672,-0.00215972,doi:10.1103/PhysRevB.59.3393,yes
linear_best_feasible,normal_curvature_eV,18.96905843,18.986226049910,0.017167619910,0.000905037,0.9484529215,0.01810065,doi:10.1103/PhysRevB.59.3393,yes
linear_best_feasible,registry_barrier_eV_cell,0.110825653155,0.110372478406,-0.000453174749,-0.004089073,0.011082565316,-0.04089073,doi:10.1103/PhysRevB.62.3099,yes
linear_best_feasible,work_separation_eV_cell,0.93980153,0.941236069770,0.001434539770,0.001526424,0.093980153,0.01526424,doi:10.1039/C6RA08958E,yes
linear_best_feasible,heldout_usf_lowest_path_J_m2,0.224,0.248977268,-0.024977268,0.111505661,,,doi:10.1103/PhysRevB.62.3099,no
linear_best_feasible,heldout_surface_Mishin_J_m2,0.870,1.061619003,0.191619003,0.220251728,,,doi:10.1103/PhysRevB.59.3393,no
linear_best_feasible,heldout_C111_100K_GPa,119.366666667,122.110441,2.743774333,0.022987748,,,doi:10.1016/j.jmps.2006.03.004,no
linear_best_feasible,heldout_cohesion_reference_eV_atom,3.39,3.359854866906,-0.030145133094,-0.008892370,,,doi:10.1103/2dnf-zdz8,no
