candidate,observable,role,units,target,prediction,normalized_residual
v12_same_ranges,normal_strain_force_ev,exact,eV/strain,0.0,-4.440892098500626e-15,-4.440892098500626e-14
v12_same_ranges,cohesive_ev_atom,exact,eV/atom,3.36,3.3599999999999994,-6.608470384673551e-15
v12_same_ranges,C11_GPa,fit,GPa,113.99999999999996,87.51656677641375,-4.646216355015125
v12_same_ranges,C12_GPa,fit,GPa,62.000000000000014,69.9978215014309,2.579942419816416
v12_same_ranges,C44_GPa,fit,GPa,32.0,32.805885133768115,0.5036782086050717
v12_same_ranges,perfect_Haa,fit,eV/L0^2,19.66091286328976,23.11655622104917,1.7576210127107976
v12_same_ranges,perfect_Hxx,fit,eV/L0^2,4.393593035123306,4.70248892465439,0.703059857983444
v12_same_ranges,saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.0745919290869622,-0.21733613572292823
v12_same_ranges,saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,0.023052332720775226,0.7263309600399049
v12_same_ranges,fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.06706365979338957,0.0533241955022983
v12_same_ranges,fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,0.006879432586408996,0.21675658318559515
v12_same_ranges,saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,-0.0217962750174005,-0.6867551995905385
v12_same_ranges,opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.049809292140285705,-1.2157041453048394
v12_same_ranges,opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.3785233679136777,-1.9639435981211395
v12_same_ranges,opening_2h_energy,fit,eV/cell,0.7060534019484034,0.6785484513108497,-0.3895590696348439
v12_same_ranges,opening_40h_energy,fit,eV/cell,0.7719163228888833,0.810196136911197,0.4959062645424064
v12_same_ranges,direct_quarter_energy,heldout,eV/cell,0.117221996542065,0.13568908508394797,1.575394472594235
v12_same_ranges,direct_half_energy,heldout,eV/cell,0.26732847628894163,0.3081410967934269,1.526684364907425
v12_same_ranges,oblique_energy,heldout,eV/cell,0.13339289745734875,0.09863149122446507,-2.605941312879746
v12_same_ranges,opening_1.25h_energy,heldout,eV/cell,0.24853683654490819,0.17915358361770972,-2.7916687880857283
v12_same_ranges,opening_3h_energy,heldout,eV/cell,0.7719163228888833,0.7794099152343525,0.0970777806255549
v12_same_ranges,saddle_Haa,heldout,eV/L0^2,12.717337762538286,18.273434385149113,4.368914883252949
v12_same_ranges,saddle_Hxx,heldout,eV/L0^2,-0.18642463121762062,0.3232973334402325,27.341985945131633
v12_same_ranges,fault_Haa,heldout,eV/L0^2,14.140554350039636,18.45619391155031,3.051959247622126
v12_same_ranges,fault_Hxx,heldout,eV/L0^2,2.4858929774856264,1.8936444899236458,-2.3824375905394546
v13_other_basin,normal_strain_force_ev,exact,eV/strain,0.0,4.884981308350689e-15,4.884981308350689e-14
v13_other_basin,cohesive_ev_atom,exact,eV/atom,3.36,3.3600000000000034,5.286776307738841e-14
v13_other_basin,C11_GPa,fit,GPa,113.99999999999996,95.6664169920711,-3.216418071566466
v13_other_basin,C12_GPa,fit,GPa,62.000000000000014,69.28508116886576,2.350026183505078
v13_other_basin,C44_GPa,fit,GPa,32.0,32.125118562216755,0.07819910138547215
v13_other_basin,perfect_Haa,fit,eV/L0^2,19.66091286328976,22.566339488537494,1.477767917212357
v13_other_basin,perfect_Hxx,fit,eV/L0^2,4.393593035123306,4.735823255726858,0.7789301782565927
v13_other_basin,saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.06775928911202547,-1.1134306730086203
v13_other_basin,saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,0.1684592432637233,5.307799664763303
v13_other_basin,fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.05430393746140817,-1.8594498112130926
v13_other_basin,fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,0.10881971543222857,3.428682439149833
v13_other_basin,saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,-0.07087129927612312,-2.233006935394187
v13_other_basin,opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.047382045075209656,-1.6437699823381586
v13_other_basin,opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.297836530720366,-3.6769262817226935
v13_other_basin,opening_2h_energy,fit,eV/cell,0.7060534019484034,0.4657792426037566,-3.4030592966706705
v13_other_basin,opening_40h_energy,fit,eV/cell,0.7719163228888833,0.9839182782748777,2.746437004889088
v13_other_basin,direct_quarter_energy,heldout,eV/cell,0.117221996542065,0.14938058929135772,2.7433923408523966
v13_other_basin,direct_half_energy,heldout,eV/cell,0.26732847628894163,0.36485973409822003,3.648367699663311
v13_other_basin,oblique_energy,heldout,eV/cell,0.13339289745734875,0.13112711376287053,-0.1698578963098604
v13_other_basin,opening_1.25h_energy,heldout,eV/cell,0.24853683654490819,0.1621967049773843,-3.4739370134343464
v13_other_basin,opening_3h_energy,heldout,eV/cell,0.7719163228888833,0.6790011446311197,-1.2036949537487456
v13_other_basin,saddle_Haa,heldout,eV/L0^2,12.717337762538286,16.89211565183517,3.282745152522889
v13_other_basin,saddle_Hxx,heldout,eV/L0^2,-0.18642463121762062,0.7352569425293618,49.439903285691265
v13_other_basin,fault_Haa,heldout,eV/L0^2,14.140554350039636,16.87373844150818,1.9328691250784542
v13_other_basin,fault_Hxx,heldout,eV/L0^2,2.4858929774856264,2.4242820745712574,-0.24784213750298198
