candidate,radius_over_L0,path,fraction,minimum_eigenvalue_eV_L0sq,matrix_spectral_change
v13_other_basin,8.0,Gamma_X,0.1,0.6730553339938706,0.018156895240510874
v13_other_basin,8.0,Gamma_X,0.25,4.608190024843575,0.010463436930238731
v13_other_basin,8.0,Gamma_X,0.5,22.79408435375241,0.009528709880223472
v13_other_basin,8.0,Gamma_X,0.75,54.52999801219202,0.00964813870513098
v13_other_basin,8.0,Gamma_X,1.0,72.87550109136113,0.00998470552603219
v13_other_basin,8.0,Gamma_L,0.02,0.01209094627601961,0.0009674129380023291
v13_other_basin,8.0,Gamma_L,0.1,0.3068818626857633,0.015846399529582333
v13_other_basin,8.0,Gamma_L,0.25,2.0683079028930202,0.010455529968862454
v13_other_basin,8.0,Gamma_L,0.5,9.458797513160045,0.009722490754748857
v13_other_basin,8.0,Gamma_L,0.75,20.303609232227398,0.009897732791756651
v13_other_basin,8.0,Gamma_L,1.0,25.823608056678292,0.010284164788146201
v13_other_basin,8.0,Gamma_K,0.02,0.01232615533316598,0.0014402691457725833
v13_other_basin,8.0,Gamma_K,0.1,0.316699599906801,0.018781139012587187
v13_other_basin,8.0,Gamma_K,0.25,2.2514154820991132,0.010557402180865932
v13_other_basin,8.0,Gamma_K,0.5,7.670308832530282e-12,0.00967910077554758
v13_other_basin,8.0,Gamma_K,0.75,15.088874192285669,0.009603100121100994
v13_other_basin,8.0,Gamma_K,1.0,44.66980017847792,0.01054484864217705
v13_other_basin,10.0,Gamma_X,0.02,0.026388759678915172,0.00044584144679514124
v13_other_basin,10.0,Gamma_X,0.1,0.6715846877287731,0.0041120472057698835
v13_other_basin,10.0,Gamma_X,0.25,4.606306055394803,0.0023286011152123367
v13_other_basin,10.0,Gamma_X,0.5,22.792075160050924,0.0020091937014996984
v13_other_basin,10.0,Gamma_X,0.75,54.528033444253154,0.0019831735413882996
v13_other_basin,10.0,Gamma_X,1.0,72.8735821547994,0.0020824721023376042
v13_other_basin,10.0,Gamma_L,0.02,0.01203680547547995,0.0003418811550493783
v13_other_basin,10.0,Gamma_L,0.1,0.30572796284507164,0.00407691556375256
v13_other_basin,10.0,Gamma_L,0.25,2.06626512568108,0.002042777211940461
v13_other_basin,10.0,Gamma_L,0.5,9.456861008605841,0.002226572928663018
v13_other_basin,10.0,Gamma_L,0.75,20.301566347407203,0.00204288482020232
v13_other_basin,10.0,Gamma_L,1.0,25.821542587426798,0.002065469251502853
v13_other_basin,10.0,Gamma_K,0.02,0.012246817194388618,0.0005038969126632804
v13_other_basin,10.0,Gamma_K,0.1,0.3151710236220496,0.004041778011941103
v13_other_basin,10.0,Gamma_K,0.25,2.2495661601634773,0.002639878629041128
v13_other_basin,10.0,Gamma_K,0.5,-0.0018605120772354766,0.0020548612451793957
v13_other_basin,10.0,Gamma_K,0.75,15.0868464874725,0.002027704813172049
v13_other_basin,10.0,Gamma_K,1.0,44.66791153170881,0.002010999598645924
