run,index,singular_value,exact_rows,condition_number,active_inequality_cones_imposed,statistical_confidence_claimed
cross_verified_polish,0,3567.1390460105627,5,921.7217478847184,False,False
cross_verified_polish,1,704.520273398182,5,921.7217478847184,False,False
cross_verified_polish,2,125.07383893815476,5,921.7217478847184,False,False
cross_verified_polish,3,105.11647748087913,5,921.7217478847184,False,False
cross_verified_polish,4,43.26466089655242,5,921.7217478847184,False,False
cross_verified_polish,5,20.59378064129489,5,921.7217478847184,False,False
cross_verified_polish,6,15.493830912795074,5,921.7217478847184,False,False
cross_verified_polish,7,9.363499498707867,5,921.7217478847184,False,False
cross_verified_polish,8,3.870082326034811,5,921.7217478847184,False,False
joint_bulk_interface,0,11626.773669694316,2,3497.864001851982,False,False
joint_bulk_interface,1,569.2229105572824,2,3497.864001851982,False,False
joint_bulk_interface,2,341.42308855682757,2,3497.864001851982,False,False
joint_bulk_interface,3,162.13774562597015,2,3497.864001851982,False,False
joint_bulk_interface,4,64.49236193675178,2,3497.864001851982,False,False
joint_bulk_interface,5,39.65575789538529,2,3497.864001851982,False,False
joint_bulk_interface,6,24.128510433593874,2,3497.864001851982,False,False
joint_bulk_interface,7,14.947920036558283,2,3497.864001851982,False,False
joint_bulk_interface,8,10.378556390457893,2,3497.864001851982,False,False
joint_bulk_interface,9,5.652932598303102,2,3497.864001851982,False,False
joint_bulk_interface,10,3.3239639001225876,2,3497.864001851982,False,False
joint_quartic,0,3069.781442372249,5,311.5755575091922,False,False
joint_quartic,1,582.4123264028198,5,311.5755575091922,False,False
joint_quartic,2,136.52859637601142,5,311.5755575091922,False,False
joint_quartic,3,101.84266091052218,5,311.5755575091922,False,False
joint_quartic,4,44.039690230430374,5,311.5755575091922,False,False
joint_quartic,5,23.70239192175975,5,311.5755575091922,False,False
joint_quartic,6,15.565362191036055,5,311.5755575091922,False,False
joint_quartic,7,9.852446279524615,5,311.5755575091922,False,False
mixed_density,0,3069.044891845868,5,6055538.807101605,False,False
mixed_density,1,582.3865642044069,5,6055538.807101605,False,False
mixed_density,2,136.5254270278774,5,6055538.807101605,False,False
mixed_density,3,101.83846858724185,5,6055538.807101605,False,False
mixed_density,4,44.03648556032823,5,6055538.807101605,False,False
mixed_density,5,23.700250736740053,5,6055538.807101605,False,False
mixed_density,6,15.565282203626387,5,6055538.807101605,False,False
mixed_density,7,9.8522723843225,5,6055538.807101605,False,False
mixed_density,8,0.0005068161545338722,5,6055538.807101605,False,False
rational_development,0,3878.831636489517,5,3006.469680722327,False,False
rational_development,1,638.6361109258845,5,3006.469680722327,False,False
rational_development,2,133.17875359801565,5,3006.469680722327,False,False
rational_development,3,86.93046783265048,5,3006.469680722327,False,False
rational_development,4,59.989360086463115,5,3006.469680722327,False,False
rational_development,5,27.518536717385196,5,3006.469680722327,False,False
rational_development,6,18.70802801817332,5,3006.469680722327,False,False
rational_development,7,8.251594099830049,5,3006.469680722327,False,False
rational_development,8,1.2901615676887845,5,3006.469680722327,False,False
spatial_stiffness_fit,0,1906.5815544118525,5,280.35976169814296,False,False
spatial_stiffness_fit,1,326.0550168315806,5,280.35976169814296,False,False
spatial_stiffness_fit,2,129.29094577828718,5,280.35976169814296,False,False
spatial_stiffness_fit,3,86.96358819605771,5,280.35976169814296,False,False
spatial_stiffness_fit,4,37.50029593424134,5,280.35976169814296,False,False
spatial_stiffness_fit,5,27.18801260338081,5,280.35976169814296,False,False
spatial_stiffness_fit,6,18.59430106048841,5,280.35976169814296,False,False
spatial_stiffness_fit,7,6.800482147879073,5,280.35976169814296,False,False
