run,observable,role,units,target,prediction,scale,normalized_residual
cross_verified_polish,normal_strain_force_ev,exact,eV/strain,0.0,-1.7763568394002505e-15,0.1,-1.7763568394002505e-14
cross_verified_polish,cohesive_ev_atom,exact,eV/atom,3.36,3.359999999999985,0.0672,-2.180795226942272e-13
cross_verified_polish,C11_GPa,exact,GPa,113.99999999999996,113.99999999999976,5.699999999999998,-3.490385368646107e-14
cross_verified_polish,C12_GPa,exact,GPa,62.000000000000014,62.00000000000035,3.100000000000001,1.077274470345958e-13
cross_verified_polish,C44_GPa,exact,GPa,32.0,31.999999999999204,1.6,-4.973799150320701e-13
cross_verified_polish,perfect_Haa,fit,eV/L0^2,19.66091286328976,30.25064310109991,1.9660912863289761,5.386184411397785
cross_verified_polish,perfect_Hxx,fit,eV/L0^2,4.393593035123306,4.759312845850933,0.43935930351233066,0.8323934597583018
cross_verified_polish,saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.09891593039132796,0.007624909750742465,2.9727345798022276
cross_verified_polish,saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,0.2651658390046798,0.03173805605024358,8.35482294772251
cross_verified_polish,fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.10828796206344779,0.006670794504308616,6.233143142620478
cross_verified_polish,fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,0.2778622066811063,0.03173805605024358,8.754859032362459
cross_verified_polish,saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,0.21535252603969798,0.03173805605024358,6.785309273472185
cross_verified_polish,opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.04885060838989931,0.005670265774764736,-1.3847762467666391
cross_verified_polish,opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.42764503130070164,0.04710312483934004,-0.9210899964849684
cross_verified_polish,opening_2h_energy,fit,eV/cell,0.7060534019484034,0.5838967015158492,0.07060534019484034,-1.7301340110458263
cross_verified_polish,opening_40h_energy,fit,eV/cell,0.7719163228888833,0.8201963239381884,0.07719163228888834,0.6254564078735635
cross_verified_polish,direct_quarter_energy,fit,eV/cell,0.117221996542065,0.2153470990707154,0.0117221996542065,8.370877942983874
cross_verified_polish,direct_half_energy,fit,eV/cell,0.26732847628894163,0.6378423091624562,0.026732847628894163,13.859871496557112
cross_verified_polish,oblique_energy,fit,eV/cell,0.13339289745734875,0.09958903836901843,0.013339289745734876,-2.534157345156913
cross_verified_polish,opening_1.25h_energy,fit,eV/cell,0.24853683654490819,0.1889151315808688,0.02485368365449082,-2.398908177672339
cross_verified_polish,opening_3h_energy,fit,eV/cell,0.7719163228888833,0.7197866125550298,0.07719163228888834,-0.6753285140902185
cross_verified_polish,saddle_Haa,fit,eV/L0^2,12.717337762538286,27.625486492605393,1.2717337762538286,11.722696218686853
cross_verified_polish,saddle_Hxx,fit,eV/L0^2,-0.18642463121762062,-0.032173107688613825,0.018642463121762064,8.274202959207845
cross_verified_polish,fault_Haa,fit,eV/L0^2,14.140554350039636,22.378963651197058,1.4140554350039638,5.8260865148715535
cross_verified_polish,fault_Hxx,fit,eV/L0^2,2.4858929774856264,0.20074543422911034,0.24858929774856264,-9.192461477435945
cross_verified_polish,saddle_normal_path_coupling,fit,eV/L0^2,1.2055891043737141,2.017582126192728,0.12055891043737142,6.735238555766744
cross_verified_polish,opening_1.1h_normal_force,fit,eV/L0,1.2761663221727821,0.8745330988651803,0.03173805605024358,-12.654625811731764
cross_verified_polish,opening_1.3h_normal_force,fit,eV/L0,1.4139711872929317,1.420801163121272,0.03173805605024358,0.21519830381318866
cross_verified_polish,opening_1.5h_normal_force,fit,eV/L0,0.6379256757978651,0.6728204395272064,0.03173805605024358,1.0994612799883028
cross_verified_polish,opening_2h_normal_force,fit,eV/L0,0.5548811295393773,0.5029999282886441,0.03173805605024358,-1.634668524392343
cross_verified_polish,opening_2.5h_normal_force,fit,eV/L0,0.0005156382639574782,0.12929380941266277,0.03173805605024358,4.05753178281746
cross_verified_polish,opening_3h_normal_force,fit,eV/L0,0.0,-0.1259230350564693,0.03173805605024358,-3.9675723950176485
cross_verified_polish,shockley_0.15_energy,fit,eV/cell,0.013715574532912111,0.013102032498346872,0.004433026104653031,-0.13840253138172326
cross_verified_polish,shockley_0.35_energy,fit,eV/cell,0.04820527408303389,0.05130256975614707,0.004820527408303389,0.6425221580066249
cross_verified_polish,shockley_0.75_energy,fit,eV/cell,0.08334161260537679,0.11098677779890354,0.00833416126053768,3.3170902661107395
cross_verified_polish,new_direct_017_energy,heldout,eV/cell,0.05826439239193282,0.08739371787430504,0.0058264392391932825,4.999507295369206
cross_verified_polish,new_direct_017_normal_force,heldout,eV/L0,-0.44118804525591643,-2.6565765237774652,0.03173805605024358,-69.80227380701682
cross_verified_polish,new_direct_017_Haa,heldout,eV/L0^2,26.109437232644353,101.44845623665952,2.6109437232644357,28.855091104690523
cross_verified_polish,new_direct_039_energy,heldout,eV/cell,0.2262381941113307,0.5211206856189174,0.022623819411133072,13.034160419547748
