model,model_sha256,anchor,signs,group,constraint,observable,upper_error_dual,lower_error_dual,equality_dual,bound_dual
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,target_interval,saddle_Hxx,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,exact_anchor,normal_strain_force_ev,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,exact_anchor,cohesive_ev_atom,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,exact_anchor,C11_GPa,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,exact_anchor,C12_GPa,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,exact_anchor,C44_GPa,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,exact_anchor,perfect_Haa,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,exact_anchor,perfect_Hxx,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,nonnegative_bound,u,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,nonnegative_bound,v,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,nonnegative_bound,A,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,nonnegative_bound,B,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,nonnegative_bound,C,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,nonnegative_bound,D3,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,nonnegative_bound,D1,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,nonnegative_bound,D2,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,nonnegative_bound,D_Eg,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,nonnegative_bound,K3,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,nonnegative_bound,eta,,,,1.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,target_interval,v19_new_4_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,exact_anchor,normal_strain_force_ev,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,exact_anchor,cohesive_ev_atom,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,exact_anchor,C11_GPa,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,exact_anchor,C12_GPa,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,exact_anchor,C44_GPa,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,exact_anchor,perfect_Haa,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,exact_anchor,perfect_Hxx,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,nonnegative_bound,u,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,nonnegative_bound,v,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,nonnegative_bound,A,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,nonnegative_bound,B,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,nonnegative_bound,C,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,nonnegative_bound,D3,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,nonnegative_bound,D1,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,nonnegative_bound,D2,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,nonnegative_bound,D_Eg,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,nonnegative_bound,K3,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,nonnegative_bound,eta,,,,1.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,target_interval,saddle_Hxx,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,target_interval,v19_new_4_Haa,-0.0,-0.0,,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,exact_anchor,normal_strain_force_ev,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,exact_anchor,cohesive_ev_atom,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,exact_anchor,C11_GPa,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,exact_anchor,C12_GPa,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,exact_anchor,C44_GPa,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,exact_anchor,perfect_Haa,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,exact_anchor,perfect_Hxx,,,-0.0,
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,nonnegative_bound,u,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,nonnegative_bound,v,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,nonnegative_bound,A,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,nonnegative_bound,B,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,nonnegative_bound,C,,,,0.0
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,nonnegative_bound,D3,,,,0.0
