model,model_sha256,anchor,signs,group,observable,target,baseline,prediction,normalized_error,selected_for_this_LP,units
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,saddle_Hxx,-0.18642463121762062,0.18806406129404202,-0.1864246312176206,1.4888362891933933e-15,True,eV/L0^2
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,saddle_Hxx,v19_new_4_Haa,0.9032785116339533,-1.2347751006901315,-0.8715436917236532,-17.748222033576067,False,eV/L0^2
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,saddle_Hxx,-0.18642463121762062,0.18806406129404202,6.138720074780262,339.28696356729273,False,eV/L0^2
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,opening_Haa,v19_new_4_Haa,0.9032785116339533,-1.2347751006901315,0.9032785116339532,-1.1102230246251565e-15,True,eV/L0^2
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,saddle_Hxx,-0.18642463121762062,0.18806406129404202,-0.1864246312176202,2.23325443379009e-14,True,eV/L0^2
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,critical_pair,v19_new_4_Haa,0.9032785116339533,-1.2347751006901315,0.9032785116339543,9.992007221626409e-15,True,eV/L0^2
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,saddle_Hxx,-0.18642463121762062,0.18806406129404202,-0.014060888049038753,9.24576017894197,True,eV/L0^2
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,fit_curvatures,v19_new_4_Haa,0.9032785116339533,-1.2347751006901315,-0.977844614894404,-18.81123126528357,False,eV/L0^2
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,saddle_Hxx,-0.18642463121762062,0.18806406129404202,0.3040492657020625,26.30950071973773,True,eV/L0^2
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,inspected_curvatures,v19_new_4_Haa,0.9032785116339533,-1.2347751006901315,-1.2855996583751914,-21.888781700091446,True,eV/L0^2
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_and_tangents,declared_signs,old_fit_all,saddle_Hxx,-0.18642463121762062,0.18806406129404202,0.11870527108418355,16.367467126466476,True,eV/L0^2
