model,model_sha256,anchor,signs,group,completed,eta,lower_bound,primal,equality,stationarity,dual_gap,target_box_feasible,positive_LJ,material_accepted
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_only_CONTROL,all_signs_relaxed_CONTROL,inspected_curvatures,True,18.599401403867493,18.59940140386748,1.7763568394002505e-15,1.0658141036401503e-14,1.1102230246251565e-16,1.4210854715202004e-14,False,False,False
original,8736cb9d28f1430e3991b1046ef42544cefaa3c9a4f5d743e0d02931329f5c2e,bulk5_only_CONTROL,all_signs_relaxed_CONTROL,old_fit_all,True,11.92456514304173,11.924565143041725,3.1086244689504383e-15,7.105427357601002e-15,2.0816681711721685e-17,3.552713678800501e-15,False,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_and_tangents,declared_signs,saddle_Hxx,True,8.93301773516036e-15,0.0,1.7763568394002505e-15,3.552713678800501e-14,0.0,0.0,True,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_and_tangents,declared_signs,opening_Haa,True,3.3306690738754696e-15,0.0,0.0,3.552713678800501e-15,0.0,0.0,True,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_and_tangents,declared_signs,critical_pair,True,2.5310216916287687e-14,0.0,1.5987211554602254e-14,1.6342482922482304e-13,0.0,0.0,True,True,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_and_tangents,declared_signs,fit_curvatures,True,7.9714116148946115,7.971411614894612,1.7763568394002505e-15,8.881784197001252e-15,1.1102230246251565e-16,-5.329070518200751e-15,False,True,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_and_tangents,declared_signs,inspected_curvatures,True,18.46444670707517,18.46444670707516,0.0,1.4210854715202004e-14,6.938893903907228e-17,3.552713678800501e-15,False,True,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_and_tangents,declared_signs,old_fit_all,True,15.570253745278427,15.570253745278393,3.552713678800501e-14,2.1316282072803006e-14,8.326672684688674e-17,-1.2434497875801753e-14,False,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_and_tangents,all_signs_relaxed_CONTROL,saddle_Hxx,True,2.9776725783867866e-15,0.0,1.7763568394002505e-15,1.0658141036401503e-14,0.0,0.0,True,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_and_tangents,all_signs_relaxed_CONTROL,opening_Haa,True,3.3306690738754696e-15,0.0,0.0,1.0658141036401503e-14,0.0,0.0,True,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_and_tangents,all_signs_relaxed_CONTROL,critical_pair,True,4.3298697960381105e-14,0.0,3.375077994860476e-14,2.842170943040401e-14,0.0,0.0,True,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_and_tangents,all_signs_relaxed_CONTROL,fit_curvatures,True,7.95075293231731,7.950752932317277,4.263256414560601e-14,2.4868995751603507e-14,9.020562075079397e-17,-1.5987211554602254e-14,False,True,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_and_tangents,all_signs_relaxed_CONTROL,inspected_curvatures,True,18.338402938100156,18.33840293810013,3.552713678800501e-15,7.105427357601002e-14,4.163336342344337e-16,1.7763568394002505e-14,False,True,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_and_tangents,all_signs_relaxed_CONTROL,old_fit_all,True,13.728640577546741,13.728640577546717,3.552713678800501e-15,1.4210854715202004e-14,3.3306690738754696e-16,1.9539925233402755e-14,False,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_only_CONTROL,declared_signs,saddle_Hxx,True,7.444181445966967e-15,0.0,7.105427357601002e-15,2.1316282072803006e-14,0.0,0.0,True,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_only_CONTROL,declared_signs,opening_Haa,True,2.220446049250313e-15,0.0,1.7763568394002505e-15,1.4210854715202004e-14,0.0,0.0,True,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_only_CONTROL,declared_signs,critical_pair,True,4.46650886758018e-15,0.0,1.7763568394002505e-15,7.105427357601002e-15,0.0,0.0,True,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_only_CONTROL,declared_signs,fit_curvatures,True,7.375726437101778,7.375726437101775,1.7763568394002505e-15,1.4210854715202004e-14,2.3592239273284576e-16,-8.881784197001252e-16,False,True,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_only_CONTROL,declared_signs,inspected_curvatures,True,13.940478428170282,13.94047842817028,1.7763568394002505e-15,1.0658141036401503e-14,1.6653345369377348e-16,0.0,False,True,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_only_CONTROL,declared_signs,old_fit_all,True,13.497388951517967,13.497388951517966,7.105427357601002e-15,1.4210854715202004e-14,2.220446049250313e-16,1.7763568394002505e-15,False,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_only_CONTROL,all_signs_relaxed_CONTROL,saddle_Hxx,True,8.93301773516036e-15,0.0,0.0,1.4210854715202004e-14,0.0,0.0,True,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_only_CONTROL,all_signs_relaxed_CONTROL,opening_Haa,True,1.1102230246251565e-15,0.0,0.0,1.7763568394002505e-14,0.0,0.0,True,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_only_CONTROL,all_signs_relaxed_CONTROL,critical_pair,True,7.444181445966967e-15,0.0,3.552713678800501e-15,2.4868995751603507e-14,0.0,0.0,True,False,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_only_CONTROL,all_signs_relaxed_CONTROL,fit_curvatures,True,7.298196793091512,7.298196793091487,2.3092638912203256e-14,7.105427357601002e-15,2.220446049250313e-16,8.881784197001252e-16,False,True,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_only_CONTROL,all_signs_relaxed_CONTROL,inspected_curvatures,True,13.413244992559543,13.413244992559532,7.105427357601002e-15,7.105427357601002e-15,1.249000902703301e-16,-1.7763568394002505e-15,False,True,False
candidate_1,2fd94b89168b173378f4c67d9d6faf52c0363292fc66d8d7e705f214a55de23a,bulk5_only_CONTROL,all_signs_relaxed_CONTROL,old_fit_all,True,12.954538483595343,12.954538483595314,4.263256414560601e-14,1.4210854715202004e-14,4.163336342344337e-17,-3.552713678800501e-15,False,False,False
