observable,role,target,scale,units,u,v,A,B,C,D3,D1,D2,D_Eg,K3
normal_strain_force_ev,exact,0.0,0.1,eV/strain,-24.26376039308919,14.453921043744472,0.6148800547886601,-1.2297601095773203,0.0,0.0,0.0,0.0,0.0,0.0
cohesive_ev_atom,exact,3.36,0.0672,eV/atom,-6.065940098272292,7.226960521872236,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
C11_GPa,exact,113.99999999999996,5.699999999999998,GPa,1183.1930794169982,-314.67888382495266,-2.9034677758118117,13.10178146241117,29.17938364352709,0.0,0.0,1.1623688155280214,19.29457918677708,0.0
C12_GPa,exact,62.000000000000014,3.100000000000001,GPa,929.9203606801948,-330.70462532893845,-5.773716637769153,18.842279186372966,29.179383643527103,0.0,0.0,-0.5811844077640107,-9.64728959338854,-0.0
C44_GPa,exact,32.0,1.6,GPa,695.8408375434738,-191.2634632599627,-3.4892136378863663,6.978427275819845,2.8524016791573625e-15,0.0,0.0,13.100364769758608,7.714289319352213e-28,0.0
perfect_Haa,exact,19.66091286328976,1.9660912863289761,eV/L0^2,301.5333422130673,-84.70794544640631,-1.0680251389249156,2.5152400597835305,1.5167591277347967,0.12153481846536998,3.376507625109124,1.351064051783283,0.6165616302502407,1.9587337956027418e-52
perfect_Hxx,exact,4.393593035123306,0.43935930351233066,eV/L0^2,49.18708829959448,-9.073719072259028,-0.03186516304990026,0.06373032609980052,2.2880221912670306e-36,0.13255674951257623,0.02509131200930672,0.3846121034529749,0.7640998547915668,1.0142307728818786e-52
saddle_energy_at_source_state,fit,0.07624909750742465,0.007624909750742465,eV/cell,-0.6191703294889347,0.4914937517022308,0.023928745022334663,-0.04766573176153188,0.000759955237556357,0.002180864861867914,0.0012853935275595812,0.0009556201038268146,0.004134271287866842,2.3779281007435196e-06
saddle_normal_force_at_source_state,fit,1.4903612010162394e-15,0.03173805605024358,eV/L0,-24.25588979226652,15.603221742679807,0.7195721218353284,-1.4275688620929112,0.04566066807241798,-0.013537185704236778,0.08381637847367726,0.0015280343091576857,0.02880505336649559,-2.9536870402925848e-05
fault_energy_at_source_state,fit,0.06670794504308616,0.006670794504308616,eV/cell,-0.5173336182252746,0.32339160048935955,0.014215140910461832,-0.028362497252484964,0.00026964839384033967,0.002067656453338137,0.0005750681232587424,0.0002199340857264255,2.4953819273709525e-05,2.1375976961404717e-06
fault_normal_force_at_source_state,fit,5.29078226360765e-15,0.03173805605024358,eV/L0,-24.484806425124326,16.165557355918146,0.7328450737067318,-1.4586954962765066,0.027748073892488706,-0.01226877458322093,0.058258746103408664,0.02130645545478101,0.0008080316779801779,-2.536808699514194e-05
saddle_path_force_at_source_state,fit,2.296700476743968e-16,0.03173805605024358,eV/L0,-1.9533870015813557,0.4247441734503211,0.0016659400270655827,-0.0032996331945636453,0.0001271361458749326,-0.0015255283961950526,0.003273660973131096,-0.002471862529798871,-0.031130471008589483,-3.326142208224375e-06
opening_1.1h_energy,fit,0.05670265774764735,0.005670265774764736,eV/cell,-1.6550812314257008,1.1994666284398559,0.057977373239040064,-0.11481938151775695,0.004439571983557326,0.0001958791115698288,0.008417554496112959,0.002070307437151359,0.00538834023022409,1.8995036508397825e-08
opening_1.5h_energy,fit,0.4710312483934004,0.04710312483934004,eV/cell,-2.9784116463464296,3.322280835766848,0.22691960450089144,-0.4359409561718528,0.06527504272889093,0.0005373131336490153,0.06731780198958667,0.004492535090540271,0.014475010369215231,1.407270254439518e-07
opening_2h_energy,fit,0.7060534019484034,0.07060534019484034,eV/cell,-3.0610332207799305,4.039020646674777,0.33552895820118533,-0.6312040205211384,0.13856890847487383,0.000832368976557216,0.08781230093715356,0.00460792699803174,0.014939047260311105,3.3934037158902707e-07
opening_40h_energy,fit,0.7719163228888833,0.07719163228888834,eV/cell,-3.066549978098499,4.5270494883467665,0.41335127241430647,-0.7653320616300343,0.20585104372325835,0.0009358372690346096,0.09039793965152504,0.0046112522333519096,0.01497758598334396,4.2974539254144665e-07
direct_quarter_energy,fit,0.117221996542065,0.0117221996542065,eV/cell,1.4106218737296268,-0.23994795127088114,-0.0008142538628812535,0.0016288370131056773,1.3176838664833354e-06,0.003354309074521426,0.0011921194136822809,0.004185693633233765,0.010025213209227002,5.625626974985992e-06
direct_half_energy,fit,0.26732847628894163,0.026732847628894163,eV/cell,3.1780314655508852,-0.5007363761731788,-0.0016428112347564028,0.0032869629349399077,5.366252165682821e-06,0.006700713394499535,0.0035295833041898523,0.005132603120458612,0.011161165505680956,2.244949679426061e-05
oblique_energy,fit,0.13339289745734875,0.013339289745734876,eV/cell,-0.5936426966038914,0.8133655044409079,0.046165983899145724,-0.09161804418061448,0.002804963178858329,0.00258696543303522,0.003509048173487787,0.0024427303257423525,0.008000125033251985,3.3445376060508285e-06
opening_1.25h_energy,fit,0.24853683654490819,0.02485368365449082,eV/cell,-2.598070160077694,2.339357811212121,0.13237534259192563,-0.2587556813996117,0.022748519707743612,0.0004327501880374808,0.03382855066838399,0.0038855404116204862,0.012960688868087487,9.207023710366176e-08
opening_3h_energy,fit,0.7719163228888833,0.07719163228888834,eV/cell,-3.066443977219379,4.374822876248539,0.40142193951996497,-0.7451120654027534,0.19474112804372526,0.0009345847148881444,0.09037762641278589,0.004611250778688131,0.014977397098262235,4.285861916075716e-07
saddle_Haa,fit,12.717337762538286,1.2717337762538286,eV/L0^2,255.075099781128,-75.76169766284849,-1.0581866389345154,2.450174052742916,1.297395928587603,0.15188463053585816,2.525960457129884,1.1446425031440697,0.9163409463252112,0.0005138884217046776
saddle_Hxx,fit,-0.18642463121762062,0.018642463121762064,eV/L0^2,12.75440386339144,-2.4128204235425357,-0.008846223201044699,0.01752338785260382,-0.0006666507265675635,0.007441506129656245,-0.006384110565713343,0.06222552928131979,-0.0988837042349127,1.796927283827371e-05
fault_Haa,fit,14.140554350039636,1.4140554350039638,eV/L0^2,246.7821635040119,-76.63751924434392,-1.0593804140680838,2.4704503081974782,1.3832859502888377,0.15802418518434747,2.740643117285826,0.8214961947169942,0.4094502036606906,0.00047629865565954987
fault_Hxx,fit,2.4858929774856264,0.24858929774856264,eV/L0^2,37.556966578806964,-7.479359511270396,-0.027687743543035784,0.055058346672502395,-0.001257731127587998,0.05972226858155242,-0.01756042341086962,0.19000909471072314,0.5092807939323135,0.0001234825873842279
saddle_normal_path_coupling,fit,1.2055891043737141,0.12055891043737142,eV/L0^2,26.953644594514284,-4.167952270323977,-0.010432693814682184,0.02163743963479467,0.0029881390766966533,0.023688402563302447,0.08070972209373115,0.20796193660194978,0.03707200439552872,7.2341309607561e-05
opening_1.1h_normal_force,fit,1.2761663221727821,0.03173805605024358,eV/L0,-13.140009835438864,12.078424133817926,0.6677632520938682,-1.309240585789216,0.10160862095924661,0.003054337028686909,0.1758545228198884,0.026929924585307203,0.1551711474977141,5.915081509452932e-07
opening_1.3h_normal_force,fit,1.4139711872929317,0.03173805605024358,eV/L0,-2.800423941740872,5.955915069432483,0.5129114512242708,-0.9708545992324707,0.20020615716963294,0.0005151426944669904,0.1954105079561951,0.004532056998643216,0.010653053478583226,2.2609312872942843e-07
opening_1.5h_normal_force,fit,0.6379256757978651,0.03173805605024358,eV/L0,-0.6770830148594138,3.1846479938099925,0.3840453472745274,-0.7063611186335091,0.21438185521510536,0.0006449912490589743,0.11279869283228701,0.0010182399403486397,0.0031787087362261197,3.368455143697589e-07
opening_2h_normal_force,fit,0.5548811295393773,0.03173805605024358,eV/L0,-0.03299509401998565,0.9061443679371256,0.17186070166812556,-0.30171203118608536,0.13531503473531858,0.00046758271259101324,0.014664711071530662,3.0058231759200212e-05,0.00024448759144494114,3.8423004228058124e-07
opening_2.5h_normal_force,fit,0.0005156382639574782,0.03173805605024358,eV/L0,-0.002976680018700903,0.3539933471547795,0.07124782984585437,-0.12235451266180117,0.06268379626634488,7.1227235412215e-05,0.0014249416517731707,7.122317383664224e-07,1.8179612042258e-05,6.501396659841502e-08
opening_3h_normal_force,fit,0.0,0.03173805605024358,eV/L0,-0.00041807160009169764,0.1692937130746691,0.028203178134036024,-0.04796810701377049,0.025885833274656333,7.41257706547101e-06,0.00012425214132671787,1.4240035180241178e-08,1.258694874659165e-06,6.85494312204786e-09
shockley_0.15_energy,fit,0.013715574532912111,0.004433026104653031,eV/cell,0.14246432744796877,-0.026810306699417138,-9.539621225562733e-05,0.00019079693040424672,1.8024424131983178e-08,0.0004269642342856033,5.084799661919043e-05,0.0008408857440554699,0.0018596995711636388,9.114782224147392e-08
shockley_0.35_energy,fit,0.04820527408303389,0.004820527408303389,eV/cell,0.48012890467904584,-0.09144215354319354,-0.00032969050245812426,0.0006594344546186903,2.1383375857965782e-07,0.0016966430748779806,0.00011055420918516031,0.0019633441775588904,0.005152704974758392,1.4392654799947031e-06
