axis,fraction,dt_ps,parts,block,window_ps,real_A2_eV,imag_A2_eV,phase_deg,complex_null_radius_A2_eV,observed_null_envelope_A2_eV,loss_exceeds_observed_null,loss_to_null_ratio,confidence_interval,production_clock_calibrated,storage_impedance_eV_A2,drag_eV_ps_A2,mobility_m2_per_J_s,passive_point,inverse_set_bounded,drag_lower_eV_ps_A2,drag_upper_eV_ps_A2,mobility_lower_m2_per_J_s,mobility_upper_m2_per_J_s,positive_drag_resolved,passive_drag_feasible,parity_harmonic2_A,parity_harmonic2_null_A,parity_harmonic2_to_null,parity_harmonic3_A,parity_harmonic3_null_A,parity_harmonic3_to_null
0,4.0,0.0025,1,0,900.0,0.002367889772856313,-3.7362257420419344e-06,-0.090405301431769,4.725226389672105e-06,3.831129221023782e-06,False,0.9752283273398733,False,False,422.3159041400489,0.5302726152522584,117703779055.07312,True,True,-0.14036679915452172,1.2009162529608761,51972892023.67137,,False,True,0.0004967610684456939,7.745030913299538e-05,6.413932675112639,1.3150930456483582e-05,6.1837599399745e-05,0.21266883876701417
0,4.0,0.0025,2,0,450.0,0.0023680473891448247,-4.72356005155007e-06,-0.11428812511356524,8.155068745007392e-06,6.948354276509484e-06,False,0.6798099036946281,False,False,422.28716610356486,0.6703121178213377,93113475178.50407,True,True,-0.48696515218624065,1.8276052873836917,34151296877.652367,,False,True,0.00045897476520477017,9.5189948089093e-05,4.821672607439526,2.8371164438107753e-05,9.120480821118067e-05,0.3110709292038155
0,4.0,0.0025,2,1,450.0,0.0023677321565677687,-2.7488914325360773e-06,-0.06651926664243357,8.155068745007392e-06,6.948354276509484e-06,False,0.3956176273033946,False,False,422.3444992929947,0.3901952636925581,159958606759.98776,True,True,-0.7673965517988128,1.547796336959828,40325131449.27256,,False,True,0.0005345588178858924,9.5189948089093e-05,5.615706580547478,1.3945221885149187e-05,9.120480821118067e-05,0.15290007356695107
1,4.0,0.0025,1,0,900.0,0.012192567670863129,-5.051132031263749e-05,-0.23736336701284405,2.7040487974185187e-05,2.701702905789181e-05,True,1.869610466954096,False,False,82.01577096231502,0.2703840404928657,230838664260.0472,True,True,0.12563856291332187,0.41513217784454365,150349922448.02686,496782908824.4812,True,True,8.325053596397175e-05,0.00020614909354537943,0.403836536616378,0.00037238243820914826,0.00018414300475936651,2.022245909888178
1,4.0,0.0025,2,0,450.0,0.01219002668546815,-5.7391203693204664e-05,-0.26974915989436554,4.836939305579073e-05,4.830069413688467e-05,True,1.1882066027986553,False,False,82.0324565809462,0.3073381908521912,203082768762.1323,True,True,0.048313860602769286,0.5663721988806154,110201543910.46301,1291867177781.071,True,True,5.731355859090845e-06,0.00035162641223838233,0.01629956015706044,0.0003871275728783906,0.00031085261511784866,1.2453733829185416
1,4.0,0.0025,2,1,450.0,0.012195108656257933,-4.36314369320808e-05,-0.20499091842330444,4.836939305579073e-05,4.830069413688467e-05,False,0.9033293974705384,False,False,81.99903976489846,0.233460141563411,267347952102.79965,True,True,-0.025351933976306643,0.4922795624775868,126787897572.83363,,False,True,0.00017071286536589784,0.00035162641223838233,0.48549500101307635,0.00035949437801722985,0.00031085261511784866,1.1564785384898255
0,2.0,0.0025,1,0,400.0,0.0023606109261188977,-2.971427556714349e-06,-0.07212123197714647,1.6457188378733387e-05,1.2477876140644985e-05,False,0.23813568296573548,False,False,423.6184813335303,0.4243319846964308,147090233580.34085,True,True,-1.925915300284357,2.7746205191725477,22495000780.58284,,False,True,0.00017067924128588962,9.443650858159081e-05,1.8073438318447252,6.540570968155537e-05,0.00010236854548048465,0.6389238938050965
0,2.0,0.0025,2,0,200.0,0.0023678410851239546,-2.4131683453618418e-06,-0.05839256462055471,2.0854619500227024e-05,1.8540669130726317e-05,False,0.13015540746383555,False,False,422.32520063589993,0.3425091681522866,182228963625.45425,True,True,-2.6176607658158098,3.302732243750544,18898017198.551277,,False,True,0.0001665953477780847,0.00014036252776110237,1.186893328550129,4.5866571941945076e-05,0.0001589669900707282,0.28852890730042724
0,2.0,0.0025,2,1,200.0,0.0023533807671138316,-3.529686768070201e-06,-0.08593424659356484,2.0854619500227024e-05,1.8540669130726317e-05,False,0.19037537120063627,False,False,424.919657910445,0.5071552506348916,123069002374.46452,True,True,-2.4894902029185557,3.503880361233254,17813134099.886765,,False,True,0.0001764114007438267,0.00014036252776110237,1.2568269007243849,0.00010658574688049222,0.0001589669900707282,0.6704898094445249
1,2.0,0.0025,1,0,400.0,0.012072935389147253,-3.710131197336981e-05,-0.17607498343888958,8.67686767037848e-05,7.107035272960507e-05,False,0.5220364124901111,False,False,82.82911520073405,0.20255806941153956,308134308970.91626,True,True,-0.2711776123602109,0.676314677754325,92287056303.22021,,False,True,0.0001761562037871245,0.00032185600283413427,0.5473137124551475,5.142986861436566e-05,0.0002935550856247861,0.17519665348295782
1,2.0,0.0025,2,0,200.0,0.012127885725795125,-4.8777205470819745e-05,-0.23043694542811452,0.0001428651371955418,0.00013936882074783597,False,0.34998649776246404,False,False,82.45326903221985,0.263894193106152,236515589865.59827,True,True,-0.5091047028491883,1.0369663369998854,60190083821.9925,,False,True,0.00026110151331280445,0.00046611773669097607,0.5601621495169748,0.00010404172906709695,0.0005108654533550582,0.2036577897053191
1,2.0,0.0025,2,1,200.0,0.01201798505249934,-2.542541847594082e-05,-0.12121557742448644,0.0001428651371955418,0.00013936882074783597,False,0.182432615412193,False,False,83.20825161861069,0.14008543492130562,445550180000.2971,True,True,-0.6471444814048367,0.9273549490984635,67304424056.0586,,False,True,0.0001152747611439192,0.00046611773669097607,0.247308248688986,0.00014512044387854977,0.0005108654533550582,0.28406783611122194
0,4.0,0.00125,1,0,900.0,0.0023648199446131024,-6.783835296901311e-06,-0.16436095531652478,4.725226389672105e-06,3.831129221023782e-06,True,1.7707143000226149,False,False,422.86169532948986,0.9653075396915506,64658244319.26785,True,True,0.2929314386853478,1.6376913487195937,38111632447.35097,213070645556.93106,True,True,0.00048480764577097106,7.745030913299538e-05,6.259596006756715,2.3885119288204463e-05,6.1837599399745e-05,0.38625560371127465
0,4.0,0.00125,2,0,450.0,0.0023644488582186506,-4.250944070024608e-06,-0.10300958335047884,8.155068745007392e-06,6.948354276509484e-06,False,0.6117914977933561,False,False,422.93017429409235,0.6050820552718245,103151448965.98949,True,True,-0.5557221749932533,1.7659006815898262,35344621243.600075,,False,True,0.0005008495211677779,9.5189948089093e-05,5.261579938030935,4.197744935064774e-05,9.120480821118067e-05,0.4602547845224435
0,4.0,0.00125,2,1,450.0,0.002365191031007521,-9.31672652378012e-06,-0.22569269913718468,8.155068745007392e-06,6.948354276509484e-06,True,1.3408536975838243,False,False,422.79226946735776,1.3253003055959778,47095054970.60911,True,True,0.1652472794941078,2.4853848429400602,25112847582.499275,377707221175.9659,True,True,0.0004688149507731495,9.5189948089093e-05,4.925046816228561,1.1637153476727462e-05,9.120480821118067e-05,0.12759364012675903
1,4.0,0.00125,1,0,900.0,0.012186696733351005,-3.842334834206166e-05,-0.18064685190310187,2.7040487974185187e-05,2.701702905789181e-05,True,1.4221899920871575,False,False,82.0558746349358,0.20587756320051373,303166065181.2683,True,True,0.06099122521864465,0.3507659283696863,177939433954.4457,1023345416014.4944,True,True,0.000103438548537641,0.00020614909354537943,0.5017657209095181,0.00026773842488949143,0.00018414300475936651,1.4539701100205535
1,4.0,0.00125,2,0,450.0,0.012183817495866302,-3.189472632224775e-05,-0.14998821455211628,4.836939305579073e-05,4.830069413688467e-05,False,0.6603368107269383,False,False,82.07551923196137,0.1709776209489532,365048305141.8886,True,True,-0.08831691141008062,0.43027754279760755,145057746539.11282,,False,True,0.00016360186658261421,0.00035162641223838233,0.4652718364958933,0.0002416517905700701,0.00031085261511784866,0.7773838109049089
1,4.0,0.00125,2,1,450.0,0.012189575970835538,-4.495197036188604e-05,-0.21129090244222087,4.836939305579073e-05,4.830069413688467e-05,False,0.930669241201621,False,False,82.03619249440476,0.24074416277705024,259258999365.2696,True,True,-0.018302590812832923,0.4997984977907012,124880508886.09308,,False,True,4.337284155368492e-05,0.00035162641223838233,0.12334921395006199,0.0003098818634362327,0.00031085261511784866,0.9968771320091744
