axis,duration_ps,harmonic,block,site,real_A,imag_A
0,200.0,1,0,0,-4.540239430100554e-05,3.766434728183269e-05
0,200.0,1,0,1,6.869224105435315e-05,-2.970838686961895e-05
0,200.0,1,0,2,4.99369288609889e-06,-2.0521444694554843e-05
0,200.0,1,0,3,-8.56931846341095e-05,-3.839963663992576e-05
0,200.0,1,0,4,4.9979105060409134e-05,-2.8019028982638396e-05
0,200.0,1,0,5,7.43053993425383e-06,7.898414990490559e-05
0,200.0,1,1,0,4.622051215711434e-05,-5.560255087475296e-05
0,200.0,1,1,1,8.787155068016232e-05,-2.5323722590369472e-05
0,200.0,1,1,2,3.1727690290060284e-05,3.583786683977337e-05
0,200.0,1,1,3,-7.342689885295517e-05,8.68314478175765e-05
0,200.0,1,1,4,-9.43988210552755e-05,6.284665588960462e-06
0,200.0,1,1,5,2.00596678089377e-06,-4.802770678118779e-05
0,200.0,1,2,0,3.341413324629239e-05,-6.209463674022616e-05
0,200.0,1,2,1,1.7473281083488794e-06,-3.0789907672097734e-05
0,200.0,1,2,2,-1.819896825191015e-05,-3.5848688392227044e-05
0,200.0,1,2,3,-4.501520664728762e-05,7.238790658747573e-05
0,200.0,1,2,4,5.6593640898889255e-05,-1.6682568923171913e-05
0,200.0,1,2,5,-2.854092735433263e-05,7.302789514024694e-05
0,200.0,1,3,0,-5.763305584511127e-05,-5.659140248895813e-06
0,200.0,1,3,1,5.2460966153855505e-06,-4.4361646244747234e-05
0,200.0,1,3,2,3.088539252795517e-06,-5.12865241914233e-05
0,200.0,1,3,3,6.778150350479205e-05,-3.606615946371521e-05
0,200.0,1,3,4,-6.753381727008134e-06,4.538958348746813e-05
0,200.0,1,3,5,-1.1729701800853527e-05,9.198388666131334e-05
0,200.0,1,4,0,6.440571518927504e-06,1.3598576237998816e-07
0,200.0,1,4,1,8.419127483379688e-05,6.9245612428675595e-06
0,200.0,1,4,2,-3.437130810229735e-05,-4.989621602263016e-05
0,200.0,1,4,3,-7.920165347856639e-05,-4.266233167030756e-05
0,200.0,1,4,4,3.6555666413910076e-05,6.274433073959905e-05
