case,trajectory_sha256,clock_error_ps,force_sample_error_eV_A,mean_temperature_K,first100_temperature_K,last100_temperature_K,internal_energy_change_eV,work_parts_eV,work_power_eV,parts_energy_residual_eV,power_energy_residual_eV,max_com_change_A_ps,steady_endpoint_work_eV,steady_parts_work_eV,fitted_periodic_work_eV,phase_work_identity_error_eV,steady_internal_energy_change_eV,steady_power_work_eV
axis0_fraction4_dt0.0025_sign-1,432c2bc64ba28ee8baa809448ef651d41b4a74a3a0c4650b75e155fc7ac54c61,1.1368683772161603e-13,5.966560578940516e-12,301.49264185024134,300.18355245718294,302.3880309294483,0.8813253173930207,0.8816583024722775,0.841161795922736,-0.0003329850792568312,0.04016352147028468,1.4275368893765024e-14,-0.1562625479689733,0.3458161480005254,0.5020786959686341,8.646416915780719e-13,0.347160547967178,0.37237411680246363
axis0_fraction4_dt0.0025_sign+1,d128bbfef8a70357fecd8c5d7c9ec3dd2d6ded434ad1e2bada2603135297ee63,1.1368683772161603e-13,5.966560578940516e-12,300.69453788810023,299.9439513014922,301.0273129228648,0.5070645891751155,0.5003730737908529,0.48200548536769844,0.006691515384262603,0.025059103807417105,1.6912922558991515e-14,-0.11732887334506654,0.11957475176003103,0.23690362510608282,-9.852396676279795e-13,0.1227507988646721,0.1415451274911397
axis1_fraction4_dt0.0025_sign-1,fc7402b7249ca545162085212b04503ded52652c68a17831d6e2c92d50492a02,1.1368683772161603e-13,2.653433028854124e-12,302.4374887524228,300.493547476241,304.1189020213502,1.5009590815434422,1.4959395271775322,1.4835819678942674,0.005019554365909951,0.017377113649174714,1.1793441541362587e-14,-0.01164406652234985,0.8106143045430672,0.8222583710652865,1.304512053934559e-13,0.8161894635936733,0.8141357978831398
axis1_fraction4_dt0.0025_sign+1,ac2bd271fd6d12fee7ce31f553687d5e9368385d4aba228e4c36bca2fb1da213,1.1368683772161603e-13,2.653433028854124e-12,302.2033439790479,299.6921095654806,304.71595103734353,1.5781230300863172,1.576607945292506,1.5614220358715631,0.0015150847938112388,0.016700994214754017,1.1552354199248953e-14,0.09130069711972821,1.245102638284139,1.153801941164407,3.9968028886505635e-15,1.2453617211253913,1.2354859141962249
axis0_fraction2_dt0.0025_sign-1,c19cc5a4d6e97bf9dab5522ac33769c37d36d735489b1eea423b00999abd944d,5.684341886080802e-14,1.4299672557172016e-12,299.4358267564941,299.3820900562089,299.45030338055653,0.09457772337600545,0.09639980918958321,0.07799767459373669,-0.0018220858135777618,0.016580048782268764,1.3100501573895298e-14,-0.08388501152855497,-0.033438107544160406,0.05044690398441704,-2.2475077354755513e-14,-0.03366450448447722,-0.029958368693768986
axis0_fraction2_dt0.0025_sign+1,0e67433c1255b1a0b1c462c20487ffe0708b9311f71789a0619ea2e895c6bbb0,5.684341886080802e-14,1.4299672557172016e-12,299.14440237385406,299.08503519714,299.15889615614014,0.051162283221401594,0.04751836077611637,0.04254430506051458,0.003643922445285226,0.008617978160887017,7.91498754966736e-15,-0.08298886305407871,-0.0681342038399255,0.014854659214256017,-1.0280144790986157e-13,-0.06820831997447385,-0.05501581703330011
axis1_fraction2_dt0.0025_sign-1,a5040afc538b81f3456ec400b416156df89e872c544801232f85e7c2d71a9ad8,5.684341886080802e-14,6.358247262028272e-13,299.8462969783177,299.5729488738249,300.0847317932071,0.3388280813815072,0.32930159439292106,0.32378132572056006,0.009526486988586158,0.015046755660947153,6.650025646556051e-15,0.048101961992605434,0.13266192030739085,0.08455995831481565,-3.02396996332277e-14,0.14552696383543662,0.13099332344174525
axis1_fraction2_dt0.0025_sign+1,5e6c0439fba8c56bb66b211a050e405cc4c70e2eca90a5a915c491810089c9ba,5.684341886080802e-14,6.358247262028272e-13,299.48003963470023,299.232602977521,299.60179431112243,0.18271664761778084,0.1807652449651453,0.17987315188868458,0.0019514026526355477,0.002843495729096257,5.2165612042532346e-15,0.029477319376344003,0.10618908670524116,0.07671176732884451,5.265232694284805e-14,0.10946499935425891,0.10499811453051562
axis0_fraction4_dt0.00125_sign-1,7191ef489eae97da483e26d677b2c64fd84dddd2390f19d52ca358971b28db1a,1.1368683772161603e-13,5.966560578940516e-12,302.6807806664399,300.69223344126044,305.0394219423281,1.4792069222544342,1.4809090708736758,1.4174227271052935,-0.0017021486192416724,0.061784195149140686,1.9065161352902244e-14,-0.18525281254567744,0.7753113681825803,0.9605641807280209,2.368105711525459e-13,0.7734019813055966,0.7980441557227931
axis0_fraction4_dt0.00125_sign+1,f818feec76986ca708a64695db4e59f98b1db6ba958461f41a41e17940e28ee8,1.1368683772161603e-13,5.966560578940516e-12,300.5173327707169,300.15646688826416,301.7985219336413,0.8326195543654649,0.8334079102239191,0.7791001662839752,-0.0007883558584542705,0.053519388081489705,1.3637498676991865e-14,0.12699526277398873,0.5081953917052376,0.3812001289287418,2.5071056342085285e-12,0.5074218070094503,0.48126443889994625
