case,observable,role,scale,unrestricted,sign_constrained
1,normal_strain_force_ev,exact,0.1,7.105427357601002e-14,3.552713678800501e-14
1,cohesive_ev_atom,exact,0.0672,1.9825411154020654e-14,4.625929269271486e-14
1,C11_GPa,exact,5.699999999999998,-9.224589902850426e-14,-3.989011849881265e-14
1,C12_GPa,exact,3.100000000000001,4.584146682323225e-15,7.563842025833322e-14
1,C44_GPa,exact,1.6,-1.7763568394002505e-14,3.552713678800501e-14
1,perfect_Haa,fit,1.9660912863289761,6.961539686784207,7.826329465880017
1,perfect_Hxx,fit,0.43935930351233066,-0.9211944791741693,-0.9050274414159724
1,saddle_energy_at_source_state,fit,0.007624909750742465,-7.3678530613391295,-7.25016268399979
1,saddle_normal_force_at_source_state,fit,0.03173805605024358,13.205000782030472,14.684055759253651
1,fault_energy_at_source_state,fit,0.006670794504308616,-9.357038332582977,-9.312375713325958
1,fault_normal_force_at_source_state,fit,0.03173805605024358,17.029216746600415,17.95809418014909
1,saddle_path_force_at_source_state,fit,0.03173805605024358,-1.7531985286009282,-1.7764441950066332
1,opening_1.1h_energy,fit,0.005670265774764736,1.840851085518746,2.565462058405358
1,opening_1.5h_energy,fit,0.04710312483934004,-0.682309394911967,-0.5529228413582309
1,opening_2h_energy,fit,0.07060534019484034,0.4483675107636226,0.1769934034575739
1,opening_40h_energy,fit,0.07719163228888834,-33.288350818537026,-33.1592019026521
1,direct_quarter_energy,fit,0.0117221996542065,2.5198618854262618,2.5276392109097237
1,direct_half_energy,fit,0.026732847628894163,4.755202986261597,4.754482460227666
1,oblique_energy,fit,0.013339289745734876,-4.961779389906929,-4.718652549203586
1,opening_1.25h_energy,fit,0.02485368365449082,-1.0291067710304576,-0.4899366495920036
1,opening_3h_energy,fit,0.07719163228888834,3.784052695929232,3.841248521715651
1,saddle_Haa,fit,1.2717337762538286,9.566768432071552,10.445261756723276
1,saddle_Hxx,fit,0.018642463121762064,59.60976922587995,59.765343026729276
1,fault_Haa,fit,1.4140554350039638,5.87314192768186,6.836613832556443
1,fault_Hxx,fit,0.24858929774856264,-1.3403450893115842,-1.3016374065777252
1,saddle_normal_path_coupling,fit,0.12055891043737142,19.27052783185046,19.233802233349895
1,opening_1.1h_normal_force,fit,0.03173805605024358,-0.6850291875792881,1.9131096895440802
1,opening_1.3h_normal_force,fit,0.03173805605024358,-9.420700979822502,-9.020055640341207
1,opening_1.5h_normal_force,fit,0.03173805605024358,10.778387297812014,7.5254329011565195
1,opening_2h_normal_force,fit,0.03173805605024358,-4.157751289141058,-2.862649816035726
1,opening_2.5h_normal_force,fit,0.03173805605024358,11.851752789301443,13.325828550559608
1,opening_3h_normal_force,fit,0.03173805605024358,15.241889572874696,13.316001161177702
1,shockley_0.15_energy,fit,0.004433026104653031,-0.669819289800309,-0.6646585658513811
1,shockley_0.35_energy,fit,0.004820527408303389,-2.8151229066064514,-2.79840775546839
1,shockley_0.75_energy,fit,0.00833416126053768,-7.31150928796165,-7.304870189883702
1,new_direct_017_energy,heldout,0.0058264392391932825,1.0446162612393368,1.056655658175274
1,new_direct_017_normal_force,heldout,0.03173805605024358,-42.25563534105348,-42.167596161431135
1,new_direct_017_Haa,heldout,2.6109437232644357,16.222976223960305,16.85026307572736
1,new_direct_039_energy,heldout,0.022623819411133072,4.493486114472387,4.494631143008646
1,new_direct_039_normal_force,heldout,0.03173805605024358,-200.93256323893488,-200.47702611968336
1,new_direct_039_Haa,heldout,3.6316785317933356,45.16298283644466,45.54231943030973
