sample_id,species,carrier_type,carrier_nominal_cm3,carrier_min_cm3,carrier_max_cm3,carrier_average_cm3,c11_GPa,a11_ppm_K,b11_ppb_K2,c12_GPa,a12_ppm_K,b12_ppb_K2,c44_GPa,a44_ppm_K,b44_ppb_K2,temperature_min_C,temperature_max_C
B3,B,hole,3e19,2.88e19,3.04e19,2.96e19,164.2,-62.5,-73,63.5,-102.9,-11,78.5,-19.3,-136,-40,85
B0.6,B,hole,6e18,3.3e18,8.6e18,6e18,165.5,-69.9,-59,63.7,-90.6,-22,79.6,-51.7,-81,-40,85
As1.7,As,electron,1.7e19,1.55e19,1.77e19,1.66e19,164.0,-48.5,-111,64.3,-114.7,25,79.5,-63.7,-58,-40,80
As2.5,As,electron,2.5e19,2.39e19,2.52e19,2.46e19,163.8,-44.2,-111,64.9,-124.6,34,79.4,-65.1,-55,-40,85
P4.1,P,electron,4.1e19,3.98e19,4.22e19,4.10e19,163.0,-34.5,-115,65.4,-133.7,22,79.2,-67.8,-51,-40,85
P4.7,P,electron,4.7e19,4.45e19,4.86e19,4.66e19,162.5,-32.5,-110,65.7,-131.8,18,79.1,-68.7,-43,-40,85
P7.5,P,electron,7.5e19,7.05e19,7.89e19,7.47e19,161.4,-30.7,-78,66.1,-134.9,-12,78.5,-71.9,-31,-40,85
