structure,rank_within_top_3NB,published_LDA_frequency_cm_minus1,MACE_frequency_cm_minus1,difference_cm_minus1,correspondence
b_silicon_64_interstitial,1,532.0,502.798878979061,-29.201121020939013,sorted spectrum only; eigenvectors and final DFT geometries unavailable
b_silicon_64_interstitial,2,770.0,728.1940753088526,-41.805924691147425,sorted spectrum only; eigenvectors and final DFT geometries unavailable
b_silicon_64_interstitial,3,840.0,772.5532749216053,-67.4467250783947,sorted spectrum only; eigenvectors and final DFT geometries unavailable
2boron_int_cluster,1,528.0,489.6152613985148,-38.384738601485196,sorted spectrum only; eigenvectors and final DFT geometries unavailable
2boron_int_cluster,2,548.0,496.29130830535416,-51.708691694645836,sorted spectrum only; eigenvectors and final DFT geometries unavailable
2boron_int_cluster,3,697.0,518.4663406040399,-178.53365939596006,sorted spectrum only; eigenvectors and final DFT geometries unavailable
2boron_int_cluster,4,700.0,657.9702206690795,-42.02977933092052,sorted spectrum only; eigenvectors and final DFT geometries unavailable
2boron_int_cluster,5,733.0,710.1537542613596,-22.84624573864039,sorted spectrum only; eigenvectors and final DFT geometries unavailable
2boron_int_cluster,6,937.0,831.078202091103,-105.92179790889702,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_1,1,511.0,482.4703442873688,-28.52965571263121,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_1,2,515.0,485.36084448699455,-29.63915551300545,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_1,3,529.0,488.1348332778957,-40.86516672210428,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_1,4,563.0,493.48359003001883,-69.51640996998117,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_1,5,612.0,532.0655595645109,-79.93444043548914,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_1,6,708.0,580.6348172827552,-127.3651827172448,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_1,7,720.0,690.1586261338314,-29.841373866168624,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_1,8,949.0,718.9955192046846,-230.00448079531543,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_1,9,1015.0,805.9791847586224,-209.0208152413776,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_2,1,502.0,490.8671743456954,-11.132825654304611,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_2,2,507.0,501.25620825372624,-5.743791746273757,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_2,3,521.0,508.73619650377685,-12.263803496223147,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_2,4,538.0,575.1921141390849,37.19211413908488,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_2,5,638.0,627.7175190248778,-10.282480975122212,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_2,6,709.0,675.0020729741713,-33.997927025828744,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_2,7,731.0,730.0609947884243,-0.9390052115757044,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_2,8,895.0,779.6457414652789,-115.35425853472111,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_2,9,1212.0,906.9561579774986,-305.0438420225014,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_3,1,504.0,490.985642197531,-13.014357802469021,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_3,2,507.0,496.10224200373875,-10.897757996261248,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_3,3,511.0,504.77769073439396,-6.222309265606043,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_3,4,524.0,726.8266349175057,202.82663491750566,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_3,5,587.0,730.7149476084348,143.71494760843484,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_3,6,652.0,752.1819129763131,100.18191297631313,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_3,7,772.0,765.0741838894329,-6.925816110567098,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_3,8,793.0,768.3128218440127,-24.68717815598734,sorted spectrum only; eigenvectors and final DFT geometries unavailable
3boron_int_cluster_confi_3,9,825.0,801.2150604617354,-23.784939538264553,sorted spectrum only; eigenvectors and final DFT geometries unavailable
