set,observable,target,prediction,scale,normalized_residual
square_stage1_equilibrium_cohesion,normal_force_at_target,0.0,6.372865013481999e-06,0.1,6.372865013481999e-05
square_stage1_equilibrium_cohesion,lateral_force_at_target,0.0,-3.1864239025125585e-06,0.1,-3.1864239025125585e-05
square_stage1_equilibrium_cohesion,cohesive_energy_ev_atom,3.36,3.3599999999989603,0.0672,-1.5470429170520784e-11
square_stage1_equilibrium_cohesion,strain_h_aa_ev,12.646038954154417,27.997406318314155,0.6323019477077209,24.278538789597164
square_stage1_equilibrium_cohesion,strain_h_bb_ev,37.31618052045565,69.44221348781365,1.8658090260227826,17.21828575126944
square_stage1_equilibrium_cohesion,strain_h_ab_ev,12.024102612146821,13.447278614242553,0.6012051306073412,2.367205350789389
linear_stage1_equilibrium_cohesion,normal_force_at_target,0.0,4.163641653676109e-06,0.1,4.163641653676109e-05
linear_stage1_equilibrium_cohesion,lateral_force_at_target,0.0,-2.0823820445770025e-06,0.1,-2.0823820445770025e-05
linear_stage1_equilibrium_cohesion,cohesive_energy_ev_atom,3.36,3.359999999973377,0.0672,-3.961711910907947e-10
linear_stage1_equilibrium_cohesion,strain_h_aa_ev,12.646038954154417,18.152202702070852,0.6323019477077209,8.708123971273356
linear_stage1_equilibrium_cohesion,strain_h_bb_ev,37.31618052045565,46.36571093175057,1.8658090260227826,4.850191142329921
linear_stage1_equilibrium_cohesion,strain_h_ab_ev,12.024102612146821,10.061226884960917,0.6012051306073412,-3.264901823447507
square_joint,normal_force_at_target,0.0,-0.004373826364978406,0.1,-0.04373826364978406
square_joint,lateral_force_at_target,0.0,-0.008755487059808331,0.1,-0.08755487059808331
square_joint,cohesive_energy_ev_atom,3.36,3.3592728745177327,0.0672,-0.01082031967659473
square_joint,strain_h_aa_ev,12.646038954154417,14.928656802415396,0.6323019477077209,3.6100123628214904
square_joint,strain_h_bb_ev,37.31618052045565,37.776618111440285,1.8658090260227826,0.24677637666171862
square_joint,strain_h_ab_ev,12.024102612146821,7.919249527671424,0.6012051306073412,-6.827708007629026
linear_joint_start0,normal_force_at_target,0.0,2.757275519016389e-06,0.1,2.757275519016389e-05
linear_joint_start0,lateral_force_at_target,0.0,-1.373877678290114e-06,0.1,-1.3738776782901141e-05
linear_joint_start0,cohesive_energy_ev_atom,3.36,3.3599999959916955,0.0672,-5.964738623655463e-08
linear_joint_start0,strain_h_aa_ev,12.646038954154417,12.646032537810825,0.6323019477077209,-1.0147594222687917e-05
linear_joint_start0,strain_h_bb_ev,37.31618052045565,37.31620829561244,1.8658090260227826,1.4886387835240849e-05
linear_joint_start0,strain_h_ab_ev,12.024102612146821,12.024099836638324,0.6012051306073412,-4.61657486855908e-06
linear_joint_start1,normal_force_at_target,0.0,2.7050595097222185e-06,0.1,2.7050595097222185e-05
linear_joint_start1,lateral_force_at_target,0.0,-1.3542622578910368e-06,0.1,-1.3542622578910368e-05
linear_joint_start1,cohesive_energy_ev_atom,3.36,3.359999998491277,0.0672,-2.2451233993607613e-08
linear_joint_start1,strain_h_aa_ev,12.646038954154417,12.646032915286654,0.6323019477077209,-9.550607561898696e-06
linear_joint_start1,strain_h_bb_ev,37.31618052045565,37.3162072520028,1.8658090260227826,1.4327054254690947e-05
linear_joint_start1,strain_h_ab_ev,12.024102612146821,12.02409987549613,0.6012051306073412,-4.551941677849902e-06
