set,mode,singular_value,rank,condition_number,log_epsilon,log_sigma,log_decay,log_A,log_B
square_stage1_equilibrium_cohesion,1,971.320448,3,9139153.674602453,,,,,
square_stage1_equilibrium_cohesion,2,38.3349062,3,9139153.674602453,,,,,
square_stage1_equilibrium_cohesion,3,0.000106281225,3,9139153.674602453,,,,,
linear_stage1_equilibrium_cohesion,1,572.203138,3,597720.4554353353,,,,,
linear_stage1_equilibrium_cohesion,2,72.0645187,3,597720.4554353353,,,,,
linear_stage1_equilibrium_cohesion,3,0.000957308944,3,597720.4554353353,,,,,
square_joint,1,780.3692388770564,4,17691.81135998053,0.07427451540675802,0.9958625945469974,-0.0003824462877851652,-0.05235305987285485,
square_joint,2,55.59758074588897,4,17691.81135998053,-0.042437258692816886,-0.04929453085294479,-0.0011133289554417743,-0.9978817008048916,
square_joint,3,1.4103887793402943,4,17691.81135998053,0.9848394842817618,-0.07540905936876083,0.15144553074230088,-0.038326429300607104,
square_joint,4,0.044109063961776,4,17691.81135998053,-0.1509091303909844,0.011883424389849767,0.9884649035001984,0.004727910505800193,
linear_joint_start0,1,475.04376449508067,5,45624644.23465811,0.03384217276911153,0.9567586184711605,0.029659822847788578,-0.19736978624649776,0.20888541286808973
linear_joint_start0,2,124.93588012837702,5,45624644.23465811,-0.10617381899357081,-0.2692679408541563,-0.09743458937121592,-0.8123592584632322,0.4967905314834557
linear_joint_start0,3,19.832495000997973,5,45624644.23465811,0.11284545769125143,0.009369079271612672,0.6616796981463845,-0.4550161928056757,-0.5850797931714894
linear_joint_start0,4,14.141647076338657,5,45624644.23465811,-0.10757737761205498,-0.08247332290913692,0.742810917941066,0.30668270016415344,0.5794850476431753
linear_joint_start0,5,1.0411999314489349e-05,5,45624644.23465811,0.9814656580885301,-0.0722363715260336,-0.006221973252998121,0.004856786049696842,0.17732672471939442
linear_joint_start1,1,530.9073138141699,5,31007872.37413328,0.059621190566152,0.9653438494814732,-0.003745711755559638,-0.19278502829803928,0.16545835854176114
linear_joint_start1,2,106.70221667630354,5,31007872.37413328,-0.05798103011539054,-0.24040945804889857,-0.13042036846213637,-0.869206662463396,0.40781343534371023
linear_joint_start1,3,21.30438091776129,5,31007872.37413328,0.039993025314674704,0.0029579018761282626,0.874145164694264,-0.3093109019605409,-0.3722751747198113
linear_joint_start1,4,11.473493835651864,5,31007872.37413328,-0.08499498907394881,-0.06524732617775754,0.46780357753991036,0.33412114728779163,0.8111975776806314
linear_joint_start1,5,1.7121694368719472e-05,5,31007872.37413328,-0.9920987468698526,0.07777263009613562,0.002557541034744941,-0.001880334229702187,-0.09839419593775835
