set,epsilon_LJ_eV,sigma_LJ_over_b,beta_b_over_re,A_eV,B_eV,rho0_gauge,rho_ref_gauge,a0_over_b,objective,rank,condition_number
square_stage1_equilibrium_cohesion,0.10725542771610395,0.9545342926175423,0.7913535325526708,2.503712142830092,0.0,1.0,rho_full_at_ideal_FCC,,2.5383352883284335e-09,3,9139153.6535
linear_stage1_equilibrium_cohesion,0.09852552212667592,0.9288532190445209,1.4007942968283327,4.4887389681264835,1.971890325238724,1.0,rho_full_at_ideal_FCC,,1.0836113400686468e-09,3,597720.456
square_joint,0.0038583102832933933,1.1681262990758785,0.5122315833354125,3.68017690186849,0.0,1.0,rho_full_at_ideal_FCC,0.8167359371872875,29.860190223817128,4,17691.81135998053
linear_joint_start0,0.051463163185591194,0.9278241602685452,4.6853176139362835,5.679412614403284,2.760290609784449,1.0,rho_full_at_ideal_FCC,0.816496172881018,6.474526744421626e-10,5,45624644.23465811
linear_joint_start1,0.013645377854871132,1.02668545888573,4.711004774121304,5.655895464976975,2.30373517720161,1.0,rho_full_at_ideal_FCC,0.8164961820694091,6.161682934716916e-10,5,31007872.37413328
