layer,additional_slip_x_over_L0,additional_slip_y_over_L0,opening_change_over_L0,x_phase_dispersion,transverse_row_dispersion,minimum_scalar_x_partition_margin,distance_to_perfect_extra_registry,distance_to_extra_tau,distance_to_extra_2tau,closest_extra_registry_class,scalar_x_partition_is_not_vector_plastic_strain
0,3.05163801332188e-12,-5.687436386715972e-12,4.0953428539563124e-13,7.424004165891853e-11,6.7954716605596e-12,0.49999999998513267,6.454411453981838e-12,0.5773502691839383,0.5773502691841392,0,True
1,3.1890345683941235e-12,-4.649690099388407e-12,1.9516491643690805e-13,7.421684664623183e-11,5.965374469938016e-12,0.499999999984999,5.638223079904099e-12,0.5773502691849761,0.5773502691845391,0,True
2,3.4196325919267955e-12,-4.533683619090168e-12,2.92947587213586e-13,5.63993410247521e-11,6.890647995496907e-12,0.49999999998760414,5.678747592715713e-12,0.577350269185092,0.5773502691843975,0,True
3,2.792438891533994e-12,-4.535998331956415e-12,-1.617026317514408e-13,2.718327458651536e-11,1.0275100342742058e-11,0.4999999999939908,5.326630814169777e-12,0.5773502691850898,0.5773502691849395,0,True
4,2.3906860968283407e-12,-2.779465903720317e-12,2.2568855660297857e-13,1.9343147278184138e-11,1.1752544467352916e-11,0.4999999999948388,3.6661711257812456e-12,0.5773502691868463,0.5773502691861657,0,True
5,9.008727453984067e-13,-1.3284256893685479e-12,2.7878126209322275e-13,1.7431610640890792e-11,9.756892221201812e-12,0.499999999996797,1.6050814669592207e-12,0.5773502691882972,0.5773502691881814,0,True
6,-6.828098126729412e-13,-1.5981348978032217e-12,-2.3413022697130535e-13,4.3629154941210864e-11,9.12748693451966e-12,0.4999999999930296,1.7378907882427398e-12,0.5773502691880277,0.5773502691882354,0,True
7,-5.087493992265305e-13,-5.138639149321655e-13,-4.1121065286422616e-13,6.68385210260813e-11,9.505325054375193e-12,0.49999999998987105,7.231058527510115e-13,0.5773502691891119,0.5773502691889283,0,True
8,-1.852129290054849e-12,1.4871789869748713e-12,-2.244616454774382e-14,7.904860567050766e-11,7.012303944291915e-12,0.49999999998785116,2.375307189897484e-12,0.5773502691872782,0.5773502691881386,0,True
9,-2.879392701583323e-12,2.031150817678993e-12,8.493583897287742e-13,1.0666168191260498e-10,8.567961402122954e-12,0.4999999999801449,3.523702026858876e-12,0.5773502691861165,0.5773502691875946,0,True
10,-2.999155776628245e-12,2.6613913480966293e-12,6.837993045220401e-13,1.0295429241809018e-10,8.291355256441827e-12,0.4999999999818687,4.00973057451572e-12,0.5773502691856978,0.5773502691869643,0,True
11,-3.682869562400256e-12,4.0691557454969685e-12,6.871290403744336e-13,1.1601792499470256e-10,7.942871128053954e-12,0.499999999979878,5.488310914549689e-12,0.5773502691844018,0.5773502691855565,0,True
12,-3.271580511147974e-12,4.7199272192618256e-12,-2.220910510073564e-13,9.361018639217334e-11,7.398772461201359e-12,0.4999999999822947,5.742904491287654e-12,0.5773502691844326,0.5773502691849058,0,True
13,-4.327281219359944e-12,5.232909990506995e-12,-6.870513118942937e-13,8.343227497594846e-11,7.990410183089043e-12,0.49999999998348,6.790339440718203e-12,0.5773502691832617,0.5773502691843928,0,True
14,-4.249367815302497e-12,5.661674842810817e-12,-1.248199249588387e-12,7.271060981240431e-11,7.072501944357129e-12,0.49999999998417843,7.078961001124785e-12,0.5773502691831148,0.577350269183964,0,True
15,-2.9600395010035e-12,5.701415382400311e-12,-1.2950970128438756e-12,7.359405754287554e-11,9.085727193253573e-12,0.49999999998532707,6.4240151937998976e-12,0.5773502691842115,0.5773502691839243,0,True
16,-4.24937965485659e-12,5.661644763915903e-12,-1.248221791109159e-12,7.271192028596488e-11,7.058523274438913e-12,0.4999999999841782,7.078944051473035e-12,0.5773502691831149,0.577350269183964,0,True
17,-4.327289057322019e-12,5.232892813580658e-12,-6.870656380025406e-13,8.343415382357367e-11,7.888651749345594e-12,0.49999999998348,6.7903311984057876e-12,0.5773502691832617,0.5773502691843928,0,True
18,-3.271583850318995e-12,4.719857067578096e-12,-2.2209614115872534e-13,9.361049883247968e-11,7.56122855051758e-12,0.4999999999822945,5.742848738042381e-12,0.5773502691844326,0.5773502691849058,0,True
19,-3.682848035996338e-12,4.069185245530942e-12,6.871661138620304e-13,1.1601792345142062e-10,7.803929262703155e-12,0.499999999979878,5.488318341595064e-12,0.5773502691844017,0.5773502691855565,0,True
20,-2.9991652843302998e-12,2.6613233595764345e-12,6.83830827782243e-13,1.0295318640265225e-10,8.081181048258405e-12,0.49999999998186895,4.0096925601546125e-12,0.5773502691856978,0.5773502691869644,0,True
21,-2.8793733259751425e-12,2.0310328579684482e-12,8.493563649906458e-13,1.0666121364278232e-10,8.727476918563386e-12,0.499999999980145,3.5236182001579907e-12,0.5773502691861166,0.5773502691875947,0,True
22,-1.8521175631567614e-12,1.4872316728401586e-12,-2.2445865229679593e-14,7.904931067510992e-11,7.003132471966562e-12,0.49999999998785116,2.375331033025224e-12,0.5773502691872782,0.5773502691881385,0,True
23,-5.087377714407509e-13,-5.137893675756086e-13,-4.112222474793424e-13,6.683737057486777e-11,9.305818072538306e-12,0.4999999999898712,7.230446973211584e-13,0.5773502691891119,0.5773502691889283,0,True
24,-6.828035561361122e-13,-1.598112661046163e-12,-2.3415223225994254e-13,4.3630725645691364e-11,8.860362323596104e-12,0.4999999999930298,1.7378678815342003e-12,0.5773502691880277,0.5773502691882354,0,True
25,9.008645550863218e-13,-1.3283815701077662e-12,2.788118605867505e-13,1.7430886970155866e-11,9.468580683464032e-12,0.4999999999967975,1.6050403553845152e-12,0.5773502691882973,0.5773502691881814,0,True
26,2.390678968262749e-12,-2.7794520577429802e-12,2.2568841965830378e-13,1.934237288852737e-11,1.1652635164300309e-11,0.499999999994839,3.666155980122168e-12,0.5773502691868463,0.5773502691861657,0,True
27,2.792449129553812e-12,-4.535993339649069e-12,-1.616582696764701e-13,2.7181193311590517e-11,9.83657038099387e-12,0.4999999999939907,5.3266319300742524e-12,0.5773502691850898,0.5773502691849395,0,True
28,3.4196410448519748e-12,-4.533662629101917e-12,2.9295236655532165e-13,5.6398729554e-11,6.945375160719576e-12,0.49999999998760425,5.6787359253756125e-12,0.577350269185092,0.5773502691843975,0,True
29,3.1890368821469222e-12,-4.649699018660618e-12,1.9519621837719068e-13,7.421716339705968e-11,5.617792729159291e-12,0.49999999998499894,5.638231744068958e-12,0.577350269184976,0.5773502691845391,0,True
30,3.0516335063521085e-12,-5.687453202651358e-12,4.094893671110374e-13,7.424164159704999e-11,7.403399163350282e-12,0.49999999998513245,6.4544241408076096e-12,0.5773502691839383,0.5773502691841392,0,True
31,3.789985913689932e-12,-6.1747294247073545e-12,2.3895605093390687e-14,7.328927313253371e-11,6.866676371850687e-12,0.49999999998454564,7.245086382805585e-12,0.577350269183451,0.5773502691832562,0,True
