layer,additional_slip_x_over_L0,additional_slip_y_over_L0,opening_change_over_L0,x_phase_dispersion,transverse_row_dispersion,minimum_scalar_x_partition_margin,distance_to_perfect_extra_registry,distance_to_extra_tau,distance_to_extra_2tau,closest_extra_registry_class,scalar_x_partition_is_not_vector_plastic_strain
0,3.0380177727536553e-12,-4.756246158192338e-12,3.5030049192086023e-13,4.6607373363661436e-11,7.624913098688362e-12,0.49999999998958455,5.643707071144502e-12,0.5773502691848695,0.5773502691846166,0,True
1,3.119985368616732e-12,-3.721419380876324e-12,-5.5189794345891363e-14,5.189788721261844e-11,6.34295629941701e-12,0.49999999998929867,4.8562610008878644e-12,0.5773502691859043,0.577350269185063,0,True
2,3.2223438589400513e-12,-3.6086745452715804e-12,-2.809018782589557e-13,4.607915726593728e-11,8.69668809558599e-12,0.49999999998944394,4.837978081692776e-12,0.5773502691860171,0.5773502691850309,0,True
3,1.861098219216013e-12,-4.3365487975565055e-12,1.1089229096131688e-13,3.921171583236074e-11,6.295867032306935e-12,0.49999999999351774,4.7190403743936955e-12,0.5773502691852892,0.5773502691858458,0,True
4,2.3703118849395074e-12,-2.3057936567265024e-12,1.7347246319924267e-13,5.0234417380692985e-11,9.495701594355423e-12,0.4999999999917562,3.3068206512125295e-12,0.57735026918732,0.5773502691864201,0,True
5,1.2310402547281506e-12,-6.96907624963053e-13,5.838477315159798e-13,5.132098178760696e-11,8.742893175305043e-12,0.49999999999060096,1.414616678288784e-12,0.5773502691889081,0.5773502691882112,0,True
6,-2.0931346844020983e-13,-1.8655479399399892e-12,-1.0192790161231716e-13,4.9443972209414625e-11,8.642115722545711e-12,0.49999999999192146,1.8772536440994884e-12,0.5773502691877601,0.5773502691885117,0,True
7,5.356592790327291e-13,-4.988705914100085e-13,-3.9637027385422617e-13,5.158405302728398e-11,1.0885593684763217e-11,0.4999999999912545,7.319854712954587e-13,0.5773502691891268,0.5773502691889124,0,True
8,-8.859752760047762e-13,1.9953568722196185e-12,-3.8729489742643594e-13,5.3332090798885726e-11,5.566027471260861e-12,0.4999999999914376,2.1832089311849653e-12,0.5773502691878608,0.5773502691876303,0,True
9,-1.7233185696060049e-12,1.456203425305191e-12,2.9122613428722793e-13,7.550350551228916e-11,7.342599053886389e-12,0.4999999999862599,2.2561815769612734e-12,0.5773502691874053,0.5773502691881696,0,True
10,-1.8890286995210666e-12,1.9280437074999917e-12,2.759066491629651e-13,7.668398069974535e-11,6.895821593838272e-12,0.49999999998886513,2.6992187695043477e-12,0.5773502691870258,0.5773502691876977,0,True
11,-2.662014564260903e-12,3.8431405322217335e-12,-4.0812785793039245e-14,5.7388354782695396e-11,6.43011399791467e-12,0.4999999999882043,4.675045528199989e-12,0.5773502691853989,0.5773502691857826,0,True
12,-1.9094152010689866e-12,3.922408963803305e-12,-8.581644989963483e-14,6.568102608273736e-11,7.56203496283143e-12,0.4999999999876371,4.362471603276958e-12,0.577350269186011,0.5773502691857033,0,True
