layer,additional_slip_x_over_L0,additional_slip_y_over_L0,opening_change_over_L0,x_phase_dispersion,transverse_row_dispersion,minimum_scalar_x_partition_margin,distance_to_perfect_extra_registry,distance_to_extra_tau,distance_to_extra_2tau,closest_extra_registry_class,scalar_x_partition_is_not_vector_plastic_strain
0,0.0016950489473463708,-5.237876181157724e-12,3.754988030724735e-13,6.008301941994479e-11,6.350824107891025e-12,0.49830495104309114,0.0016950489473463708,0.5758829373926136,0.5758829373873623,0,True
1,0.0016950489475453848,-4.088399515164281e-12,-2.9639405159700776e-13,6.433561261381575e-11,7.336048809818819e-12,0.49830495104359485,0.0016950489475453848,0.5758829373918652,0.5758829373877664,0,True
2,0.0016950489477067033,-4.012207411844309e-12,2.9474615644930543e-13,5.848538638990747e-11,8.211045534914031e-12,0.4983049510444301,0.0016950489477067033,0.5758829373916874,0.575882937387665,0,True
3,0.0016950489463164423,-4.627237663289989e-12,1.3211510750306856e-14,4.588607158654904e-11,6.602462295486295e-12,0.4983049510499652,0.0016950489463164423,0.5758829373931987,0.5758829373885597,0,True
4,0.0016950489467525626,-2.5600179518747413e-12,2.5815030215160606e-13,4.389192771412736e-11,1.0757825918398787e-11,0.49830495104698075,0.0016950489467525626,0.5758829373917851,0.5758829373892186,0,True
5,0.0016950489455482061,-8.385104316846914e-13,4.784146437225611e-13,4.363482616313101e-11,6.874177647317771e-12,0.49830495104873196,0.0016950489455482061,0.5758829373919643,0.5758829373911236,0,True
6,0.0016950489437255378,-1.893095382342475e-12,3.299502582746689e-14,6.625835853134613e-11,7.1055922242185044e-12,0.49830495104918326,0.0016950489437255378,0.57588293739407,0.5758829373921721,0,True
7,0.0016950489448167136,-5.345033563717563e-13,-3.4218772029450077e-13,5.7546048136542094e-11,9.6614860551952e-12,0.49830495104602457,0.0016950489448167136,0.5758829373924449,0.575882937391909,0,True
8,0.0016950489429526144,1.9429091530930332e-12,-6.120325900432194e-13,7.069101203364709e-11,5.326763951561341e-12,0.4983049510457966,0.0016950489429526144,0.5758829373928159,0.5758829373947638,0,True
9,0.0016950489419797817,1.696427937728879e-12,2.0300699299295618e-13,8.880227082175942e-11,7.676416871584954e-12,0.49830495104779304,0.0016950489419797817,0.5758829373937813,0.575882937395482,0,True
10,0.0016950489422036745,2.2077804964152904e-12,3.756619259117761e-13,9.110341462649823e-11,6.9724486826518685e-12,0.49830495104329675,0.0016950489422036745,0.5758829373933312,0.5758829373955446,0,True
11,0.0016950489409195565,4.049135394160229e-12,2.531157294087239e-13,7.922119846840934e-11,6.645337203180832e-12,0.4983049510470016,0.0016950489409195565,0.5758829373935194,0.5758829373975788,0,True
12,0.0016950489421271105,4.264400946661789e-12,-5.522157632898977e-13,8.098008610605414e-11,7.306059228403631e-12,0.4983049510487444,0.0016950489421271105,0.5758829373923665,0.5758829373966418,0,True
13,0.0016950489403385715,4.607267467442347e-12,-3.970183109399929e-13,8.486978730439547e-11,6.164051688827416e-12,0.49830495104615397,0.0016950489403385715,0.5758829373937423,0.5758829373983613,0,True
14,0.0016950489400931468,5.186024793884854e-12,-2.585917883887307e-13,6.955816949723849e-11,4.8531118456144915e-12,0.49830495105015743,0.0016950489400931468,0.5758829373936645,0.5758829373988639,0,True
15,0.001695048942403967,5.165164770437055e-12,1.0521659853019157e-13,6.51637674731853e-11,5.858449344371811e-12,0.4983049510481348,0.001695048942403967,0.5758829373916755,0.5758829373968538,0,True
16,0.0016950489400931411,5.186042137079195e-12,-2.585057319000611e-13,6.956030426848056e-11,4.972051212403861e-12,0.4983049510501565,0.0016950489400931411,0.5758829373936645,0.5758829373988639,0,True
17,0.0016950489403385522,4.607256542441455e-12,-3.9700993469587197e-13,8.486620183431922e-11,6.0509386900761414e-12,0.4983049510461546,0.0016950489403385522,0.5758829373937423,0.5758829373983613,0,True
18,0.0016950489421271463,4.26422475647997e-12,-5.522934330493878e-13,8.098588960938876e-11,7.687141278717907e-12,0.4983049510487457,0.0016950489421271463,0.5758829373923666,0.5758829373966416,0,True
19,0.0016950489409196029,4.049150884726316e-12,2.5304975843653374e-13,7.9229988996144e-11,6.871799031325576e-12,0.4983049510470011,0.0016950489409196029,0.5758829373935193,0.5758829373975788,0,True
20,0.0016950489422035934,2.207933302349963e-12,3.756558249938628e-13,9.109923473222048e-11,6.944071479802633e-12,0.49830495104329753,0.0016950489422035934,0.5758829373933312,0.5758829373955447,0,True
21,0.0016950489419798058,1.6962938703892384e-12,2.0312820423285196e-13,8.879587178976751e-11,7.40265920026453e-12,0.49830495104779415,0.0016950489419798058,0.5758829373937814,0.5758829373954819,0,True
22,0.0016950489429526474,1.9429925317329354e-12,-6.120275042359221e-13,7.069496871351116e-11,5.114068232672469e-12,0.4983049510457959,0.0016950489429526474,0.5758829373928159,0.5758829373947638,0,True
23,0.0016950489448166821,-5.345848763869072e-13,-3.422054429060489e-13,5.753365132322246e-11,9.614620948028848e-12,0.49830495104602657,0.0016950489448166821,0.5758829373924449,0.575882937391909,0,True
