q_A,relative_energy_eV,reaction_eV_A,free_gradient_max_eV_A
2.642745460976716,0.0,5.273559366969494e-16,6.239456075987097e-14
2.7054721653211935,0.012795324432030686,0.3980944422122529,3.6693725400348265e-07
2.7681988696656714,0.048700755569644816,0.7367328749245476,4.4687949533883664e-07
2.830925574010149,0.10394087980965017,1.0140765911608525,4.3661771311626074e-07
2.893652278354627,0.17455612436648815,1.2261198912169196,3.9726656023836293e-07
2.9563789826991043,0.25627319843810126,1.366918079166937,4.4262276829160063e-07
3.0191056870435817,0.34439644442593487,1.4290579429565724,4.406055522654384e-07
3.0818323913880596,0.43374208143783566,1.404606322288746,4.2249451635126625e-07
3.144559095732537,0.5186568451964009,1.2869286140368423,4.900977736372263e-07
3.207285800077015,0.5931920509995261,1.073933959161518,4.6851999310759673e-07
3.2700125044214925,0.651542447572083,0.7733667043290959,4.441423166710867e-07
3.33273920876597,0.6888898270409762,0.41035644623450396,4.76471879284901e-07
3.3954659131104474,0.7027519437382339,0.035336984809303265,3.6068562974858703e-07
3.4581926174549253,0.6946630556491558,-0.2753437542389166,3.784735441852982e-07
3.520919321799403,0.6712288467278684,-0.44358818317209286,3.318164557217229e-07
3.5836460261438807,0.642457639991846,-0.4511235278355573,3.538023697798043e-07
3.646372730488358,0.6163676020948259,-0.37537627204070445,3.7241442599402963e-07
3.7090994348328357,0.5955207739305379,-0.2894931664876731,4.122006890677765e-07
3.7718261391773136,0.5800169855441335,-0.2051111416991347,3.1719111537320543e-07
3.834552843521791,0.569752974731145,-0.12244592943172902,3.572586936284594e-07
3.897279547866269,0.5646173846293805,-0.041614239256678974,3.9382150636424473e-07
3.9600062522107464,0.5644916167507907,0.037270127471825655,3.807817163838101e-07
4.022732956555224,0.5692499932832229,0.11409549219418433,4.004187056372288e-07
4.085459660899701,0.5787599583987433,0.18875371482924438,2.8646853347422216e-07
4.148186365244179,0.5928823222750363,0.2611417372700705,4.988181998843988e-07
4.210913069588657,0.611471513255823,0.33115847295430184,4.7273860424856817e-07
4.273639773933135,0.634374879881936,0.39866202057471545,2.7353935082991e-07
4.336366478277612,0.6614245358249886,0.4632482255653301,3.356685964218953e-07
4.39909318262209,0.6924070359016157,0.5237787743295028,2.8885959969804365e-07
4.461819886966568,0.7270002701834368,0.577827662590117,2.830688665064751e-07
4.524546591311045,0.7646657235660599,0.6205696292880527,4.0854334993831176e-07
4.587273295655523,0.7968077763656378,0.2509710450690861,3.293353738054172e-07
4.65,0.8119028197966847,0.23890767680280853,4.829602192890636e-07
