parts,block,nw,lo_cycles_ps,hi_cycles_ps,axis,scalar_eliminated_mobility_m2_J_s,full_projected_mobility_m2_J_s,full_to_scalar,covariance_condition,spectral_condition,drift_rescale_relative,diffusion_rescale_relative,spectral_rank,dimension,inversion_failure,wrong_unscaled_thermal_diffusion_factor,production_clock_calibrated
1,0,2.0,0.02,0.04,0,16601225222.31869,372803213030.6048,22.4563674089192,7.532944111013969,3537.7018453495657,1.0898377214686301e-16,7.075396971258049e-17,33,33,,576,False
1,0,2.0,0.02,0.04,1,110955892888.65843,541473983604.4877,4.880083152932164,7.532944111013969,3537.7018453495657,1.0898377214686301e-16,7.075396971258049e-17,33,33,,576,False
1,0,2.0,0.04,0.08,0,12524909091.172745,49767249830.83382,3.9734619603673274,7.532944111013969,255.94005925678357,1.0325107248614493e-16,8.169524169438472e-17,33,33,,576,False
1,0,2.0,0.04,0.08,1,76745286261.6286,200786254949.4419,2.616268239132646,7.532944111013969,255.94005925678357,1.0325107248614493e-16,8.169524169438472e-17,33,33,,576,False
1,0,2.0,0.08,0.16,0,15297319819.17572,31650883304.497,2.0690476291684456,7.532944111013969,85.63804025430305,9.736935244725675e-17,9.140159504981081e-17,33,33,,576,False
1,0,2.0,0.08,0.16,1,47899263146.35076,69812399090.91075,1.4574837796065232,7.532944111013969,85.63804025430305,9.736935244725675e-17,9.140159504981081e-17,33,33,,576,False
1,0,3.0,0.02,0.04,0,16062978164.316065,2521082666959.913,156.94989068468652,7.532944111013969,34625.38397200474,9.26076559205371e-17,7.007764771863891e-17,33,33,,576,False
1,0,3.0,0.02,0.04,1,119970310758.74585,3023419113904.3247,25.201394368180523,7.532944111013969,34625.38397200474,9.26076559205371e-17,7.007764771863891e-17,33,33,,576,False
1,0,3.0,0.04,0.08,0,12796699219.264263,62695492079.583435,4.899348730897816,7.532944111013969,392.8366053661003,1.0775086452217061e-16,8.3112507405042e-17,33,33,,576,False
1,0,3.0,0.04,0.08,1,79108960909.17923,262056940220.7159,3.312607537868807,7.532944111013969,392.8366053661003,1.0775086452217061e-16,8.3112507405042e-17,33,33,,576,False
1,0,3.0,0.08,0.16,0,14760210871.106861,34174464275.797848,2.3153100300683658,7.532944111013969,102.9204963369495,1.0419600196682856e-16,6.293504850553805e-17,33,33,,576,False
1,0,3.0,0.08,0.16,1,45926060350.01401,73051135162.74345,1.590624900241877,7.532944111013969,102.9204963369495,1.0419600196682856e-16,6.293504850553805e-17,33,33,,576,False
2,0,2.0,0.02,0.04,0,32698286363.840614,,,8.001791905161301,2518796196705.1206,,,33,33,condition*gamma_n exceeds 1% roundoff budget; no inverse mobility,576,False
2,0,2.0,0.02,0.04,1,92125773485.72522,,,8.001791905161301,2518796196705.1206,,,33,33,condition*gamma_n exceeds 1% roundoff budget; no inverse mobility,576,False
2,0,2.0,0.04,0.08,0,14541686114.024345,273514180100.58875,18.808972904235997,8.001791905161301,3914.6592693733705,1.0968180938206379e-16,6.68653539949042e-17,33,33,,576,False
2,0,2.0,0.04,0.08,1,107993592688.34488,2241520851178.2026,20.756054089680422,8.001791905161301,3914.6592693733705,1.0968180938206379e-16,6.68653539949042e-17,33,33,,576,False
2,0,2.0,0.08,0.16,0,18002406240.336807,64737903671.32861,3.596069481327149,8.001791905161301,283.47735066147385,1.1499259199562536e-16,8.526111086263088e-17,33,33,,576,False
2,0,2.0,0.08,0.16,1,54664436723.33831,123109977240.65585,2.252103645807724,8.001791905161301,283.47735066147385,1.1499259199562536e-16,8.526111086263088e-17,33,33,,576,False
2,0,3.0,0.02,0.04,0,36138543184.834404,,,8.001791905161301,40795060495575.86,,,33,33,condition*gamma_n exceeds 1% roundoff budget; no inverse mobility,576,False
2,0,3.0,0.02,0.04,1,81901267831.42645,,,8.001791905161301,40795060495575.86,,,33,33,condition*gamma_n exceeds 1% roundoff budget; no inverse mobility,576,False
2,0,3.0,0.04,0.08,0,15074156299.607695,2056154884135.9631,136.40265121766546,8.001791905161301,27548.372464717093,1.1623051371321288e-16,9.904810588797854e-17,33,33,,576,False
2,0,3.0,0.04,0.08,1,115044871861.0117,17924989623874.766,155.80867998645215,8.001791905161301,27548.372464717093,1.1623051371321288e-16,9.904810588797854e-17,33,33,,576,False
