case,radius,ring,shear_MPa,free_rows,energy_eV_per_row_repeat,maximum_force_eV_L0,minimum_H_eV_L0sq,eigenpair_residual,stable_fixed_boundary,method,iterations,elapsed_seconds,winding,energy_replay_error_eV,affine_bulk_error_eV_L0cubed,reciprocal_modes,last_mode_envelope,material_accepted,actual_yield_calibrated
newton_plus_R4r5,4.0,5,0.0,72,0.8606322377166119,4.94944913101078e-08,0.5937886038064178,5.429404222117608e-09,True,newton_cg,10,148.97902470000554,1.0000000000000002,0.0,1.9884982549456254e-11,9,1.5371351409056317e-14,False,False
pilot_R2r3,2.0,3,0.0,18,0.7091308139848375,1.1911037844924977e-07,-2.1787420372365633,4.938108957318909e-10,False,lbfgs,39,13.370659899985185,1.0,0.0,5.711444650557951e-09,9,8.413516733669964e-15,False,False
plus_50MPa_R4r5,4.0,5,50.0,72,0.8599130178463981,7.803217924248762e-10,0.5987609730911817,3.42185179818483e-09,True,newton_cg,6,111.12570239999332,1.0000000000000002,0.0,1.9884982549456254e-11,9,1.5684209924135842e-14,False,False
plus_unload50_R4r5,4.0,5,0.0,72,0.8606322377166069,3.5231496366139314e-10,0.5937886006493489,5.429420481898528e-09,True,newton_cg,7,105.68724269999075,1.0000000000000002,0.0,1.9884982549456254e-11,9,1.537134751865015e-14,False,False
stable_minus_R2r3,2.0,3,0.0,18,0.6887805288405354,9.048858053140041e-08,1.582682341681356,7.380205028025716e-10,True,lbfgs,63,22.2470129999856,1.0,0.0,5.711444650557951e-09,9,8.392445684297874e-15,False,False
stable_plus_R10r5,10.0,5,0.0,444,1.018715897748778,2.7149580076235493e-10,0.14884606288611604,1.8890430914257795e-13,True,newton_cg,11,339.0947484000062,1.0,0.0,1.9884982549456254e-11,9,1.559201897035465e-14,False,False
stable_plus_R10r7,10.0,7,0.0,444,1.0598800675210711,2.2948975077034806e-10,0.14884548557917732,1.8411062055124297e-13,True,newton_cg,2,377.2585468000034,1.0,0.0,1.99969485414897e-11,9,1.559196943101693e-14,False,False
stable_plus_R2r3,2.0,3,0.0,18,0.6887805288405338,1.4135988320174153e-07,1.5826823285096114,5.874603904391949e-10,True,lbfgs,63,23.97196689998964,1.0,0.0,5.711444650557951e-09,9,8.392445066268621e-15,False,False
stable_plus_R3r4,3.0,4,0.0,40,0.7934038194940431,1.4111721270693156e-09,0.9091255721526394,2.142425150169571e-09,True,lbfgs,101,86.35149820000515,1.0,0.0,2.226760997814381e-10,9,8.683849835398827e-15,False,False
stable_plus_R4r5,4.0,5,0.0,72,0.8606322377166581,3.288698104345761e-07,0.5937885681199201,5.429365685248537e-09,True,lbfgs,142,251.02353989999392,1.0000000000000002,0.0,1.9884982549456254e-11,9,1.5371368221834797e-14,False,False
stable_plus_R4r7,4.0,7,0.0,72,0.924555443316446,5.214223245883498e-10,0.5937827023639535,5.429741676644315e-09,True,newton_cg,2,87.98231200000737,0.9999999999999997,0.0,1.99969485414897e-11,9,1.5371269976042042e-14,False,False
stable_plus_R6r5,6.0,5,0.0,158,0.921491491264409,4.0269343935805946e-10,0.3463741552086572,2.2483676361044024e-09,True,newton_cg,11,154.52524930000072,1.0,0.0,1.9884982549456254e-11,9,1.5399404706392597e-14,False,False
stable_plus_R6r7,6.0,7,0.0,158,0.9753250015359998,3.408887560250873e-10,0.3463720755985632,2.248232780740683e-09,True,newton_cg,2,148.84319410001626,1.0000000000000002,0.0,1.99969485414897e-11,9,1.539932675495181e-14,False,False
stable_plus_R8r5,8.0,5,0.0,286,0.9739906442209206,2.9076921447858395e-10,0.21626923731586295,2.050921595616733e-09,True,newton_cg,11,428.41896290000295,1.0000000000000002,0.0,1.9884982549456254e-11,9,1.5684889229696397e-14,False,False
stable_plus_R8r7,8.0,7,0.0,286,1.020400509938073,3.009278516478975e-10,0.2162682241072277,2.032100461866135e-09,True,newton_cg,2,195.27677440000116,1.0,0.0,1.99969485414897e-11,9,1.5684846720154138e-14,False,False
translated_j1_R4r5,4.0,5,0.0,72,0.8773629949042789,4.369677211214784e-10,0.5298245438556711,5.181562528039164e-09,True,newton_cg,11,135.32242409998435,1.0000000000000002,0.0,1.9884982549456254e-11,9,1.3527836572547775e-14,False,False
