case,j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
newton_plus_R4r5,-14,0,-11.980018085684733,0.9889623474982353,0.0,0.0,0.9889623474982353,0.0,0.0,False
newton_plus_R4r5,-13,0,-11.113992681900296,0.9881139213492505,0.0,0.0,0.9881139213492505,0.0,0.0,False
newton_plus_R4r5,-12,0,-10.247967278115857,0.9871242666958682,0.0,0.0,0.9871242666958682,0.0,0.0,False
newton_plus_R4r5,-11,0,-9.381941874331417,0.9859549394558582,0.0,0.0,0.9859549394558582,0.0,0.0,False
newton_plus_R4r5,-10,0,-8.51591647054698,0.9845521598119251,0.0,0.0,0.9845521598119251,0.0,0.0,False
newton_plus_R4r5,-9,0,-7.649891066762541,0.9828383249644312,0.0,0.0,0.9828383249644312,0.0,0.0,False
newton_plus_R4r5,-8,0,-6.783865662978103,0.9806971903212367,0.0,0.0,0.9806971903212367,0.0,0.0,False
newton_plus_R4r5,-7,0,-5.917840259193664,0.9779464345120836,0.0,0.0,0.9779464345120836,0.0,0.0,False
newton_plus_R4r5,-6,0,-5.0518148554092255,0.9742830319368372,0.0,0.0,0.9742830319368372,0.0,0.0,False
newton_plus_R4r5,-5,0,-4.185789451624787,0.9691638671258577,0.0,0.0,0.9691638671258577,0.0,0.0,False
newton_plus_R4r5,-4,0,-3.319764047840348,0.9633659887377913,0.0024735825481512377,0.00035081431852352,0.9633659887377913,0.0024735825481512377,0.00035081431852352,True
newton_plus_R4r5,-3,0,-2.4537386440559095,0.9564503736975198,0.006110911130346346,0.0013151176930046259,0.9564503736975198,0.006110911130346346,0.0013151176930046259,True
newton_plus_R4r5,-2,0,-1.5877132402714706,0.9444658986241073,0.011095362772248686,0.004856306966145118,0.9444658986241073,0.011095362772248686,0.004856306966145118,True
newton_plus_R4r5,-1,0,-0.7216878364870323,0.9047190184728389,0.016088717608293196,0.0078777503490222,0.9047190184728389,0.016088717608293196,0.0078777503490222,True
newton_plus_R4r5,0,0,0.14433756729740643,0.7428152771052137,0.014773983736296913,0.01819206614711994,0.7428152771052137,0.014773983736296913,0.01819206614711994,True
newton_plus_R4r5,1,0,1.010362971081845,0.24183929261676712,0.015181268650798637,0.01651350878546753,0.24183929261676712,0.015181268650798637,0.01651350878546753,True
newton_plus_R4r5,2,0,1.8763883748662837,0.0844119105573197,0.01521397472742293,0.006584570108300254,0.0844119105573197,0.01521397472742293,0.006584570108300254,True
newton_plus_R4r5,3,0,2.7424137786507226,0.048049918258427395,0.008770893455951743,0.003480448815078345,0.048049918258427395,0.008770893455951743,0.003480448815078345,True
newton_plus_R4r5,4,0,3.608439182435161,0.03773711641991663,0.0031674870691216998,0.0010327035098450428,0.03773711641991663,0.0031674870691216998,0.0010327035098450428,True
newton_plus_R4r5,5,0,4.474464586219599,0.03083613287414235,0.0,0.0,0.03083613287414235,0.0,0.0,False
newton_plus_R4r5,6,0,5.340489990004038,0.02571696806316287,0.0,0.0,0.02571696806316287,0.0,0.0,False
newton_plus_R4r5,7,0,6.206515393788477,0.022053565487916392,0.0,0.0,0.022053565487916392,0.0,0.0,False
newton_plus_R4r5,8,0,7.072540797572915,0.019302809678763293,0.0,0.0,0.019302809678763293,0.0,0.0,False
newton_plus_R4r5,9,0,7.938566201357354,0.017161675035568747,0.0,0.0,0.017161675035568747,0.0,0.0,False
newton_plus_R4r5,10,0,8.804591605141791,0.015447840188074886,0.0,0.0,0.015447840188074886,0.0,0.0,False
newton_plus_R4r5,11,0,9.670617008926232,0.014045060544141884,0.0,0.0,0.014045060544141884,0.0,0.0,False
newton_plus_R4r5,12,0,10.53664241271067,0.012875733304131824,0.0,0.0,0.012875733304131824,0.0,0.0,False
newton_plus_R4r5,13,0,11.402667816495107,0.01188607865074953,0.0,0.0,0.01188607865074953,0.0,0.0,False
newton_plus_R4r5,14,0,12.268693220279548,0.011037652501764757,0.0,0.0,0.011037652501764757,0.0,0.0,False
pilot_R2r3,-8,0,-6.783865662978103,0.9806971903212367,0.0,0.0,0.9806971903212367,0.0,0.0,False
pilot_R2r3,-7,0,-5.917840259193664,0.9779464345120836,0.0,0.0,0.9779464345120836,0.0,0.0,False
pilot_R2r3,-6,0,-5.0518148554092255,0.9742830319368372,0.0,0.0,0.9742830319368372,0.0,0.0,False
pilot_R2r3,-5,0,-4.185789451624787,0.9691638671258577,0.0,0.0,0.9691638671258577,0.0,0.0,False
pilot_R2r3,-4,0,-3.319764047840348,0.9615104466925904,0.0,0.0,0.9615104466925904,0.0,0.0,False
pilot_R2r3,-3,0,-2.4537386440559095,0.9488399622751797,0.0,0.0,0.9488399622751797,0.0,0.0,False
pilot_R2r3,-2,0,-1.5877132402714706,0.9265463965815548,0.013491256415592463,-2.0004088532505525e-05,0.9265463965815548,0.013491256415592463,-2.0004088532505525e-05,True
pilot_R2r3,-1,0,-0.7216878364870323,0.8207686867968655,0.023736212731119217,0.008597483817079712,0.8207686867968655,0.023736212731119217,0.008597483817079712,True
pilot_R2r3,0,0,0.14433756729740643,0.5000000000146728,0.011108423931766425,0.0466970351364171,0.5000000000146728,0.011108423931766425,0.0466970351364171,True
pilot_R2r3,1,0,1.010362971081845,0.1792313131768447,0.02373621195367988,0.008597483788477467,0.1792313131768447,0.02373621195367988,0.008597483788477467,True
pilot_R2r3,2,0,1.8763883748662837,0.07345360338429477,0.013491257203702749,-2.0003033164576572e-05,0.07345360338429477,0.013491257203702749,-2.0003033164576572e-05,True
pilot_R2r3,3,0,2.7424137786507226,0.05116003772482029,0.0,0.0,0.05116003772482029,0.0,0.0,False
