case,minimum_H_eV_L0sq,step_over_L0,curvature,eigenvalue_error,plus_energy_change,minus_energy_change
newton_plus_R4r5,0.5937886038064178,0.002,0.593789267699929,6.638935111658029e-07,1.1876025002299784e-06,1.18755457068076e-06
newton_plus_R4r5,0.5937886038064178,0.001,0.5937887770368633,1.7323044543271493e-07,2.9689438818536473e-07,2.9689438896252085e-07
pilot_R2r3,-2.1787420372365633,0.002,-2.178281605036414,0.00046043220014935216,-4.356563209406694e-06,-4.356563210849984e-06
pilot_R2r3,-2.1787420372365633,0.001,-2.1786269310819506,0.00011510615461274298,-1.0893134644307523e-06,-1.0893134667622206e-06
plus_50MPa_R4r5,0.5987609730911817,0.002,0.598761494829958,5.217387762934678e-07,1.1975360307836524e-06,1.1975099484251572e-06
plus_50MPa_R4r5,0.5987609730911817,0.001,0.5987610935953569,1.205041751939362e-07,2.99382303392548e-07,2.993787902028089e-07
plus_unload50_R4r5,0.5937886006493489,0.002,0.5937892672003287,6.665509797443292e-07,1.1876100219909702e-06,1.1875470469213667e-06
plus_unload50_R4r5,0.5937886006493489,0.001,0.5937887741502834,1.7350093450829718e-07,2.968981417383887e-07,2.9689063252291703e-07
stable_minus_R2r3,1.582682341681356,0.002,1.582693150481429,1.0808800072981128e-05,3.1656250290001964e-06,3.1651475728144973e-06
stable_minus_R2r3,1.582682341681356,0.001,1.5826850436884143,2.7020070583194666e-06,7.914220141458372e-07,7.912630294315548e-07
stable_plus_R10r5,0.14884606288611604,0.002,0.14884606835963154,5.4735155019525195e-09,2.9769254616951457e-07,2.976917272690116e-07
stable_plus_R10r5,0.14884606288611604,0.001,0.14884606081011498,2.076001065498545e-09,7.442309568617134e-08,7.442296512394364e-08
stable_plus_R10r7,0.14884548557917732,0.002,0.1488454933751271,7.795949774624944e-09,2.976910495888774e-07,2.97690923911631e-07
stable_plus_R10r7,0.14884548557917732,0.001,0.14884552435034948,3.877117216166681e-08,7.4422656926032e-08,7.442286742431747e-08
stable_plus_R2r3,1.5826823285096114,0.002,1.5826931392126653,1.0810703053865112e-05,3.16572176939367e-06,3.1650507873459688e-06
stable_plus_R2r3,1.5826823285096114,0.001,1.5826850479072618,2.719397650396971e-06,7.914704043265886e-07,7.912146436916956e-07
stable_plus_R3r4,0.9091255721526394,0.002,0.9091280186446227,2.4464919832212217e-06,1.818400983455426e-06,1.818111091234087e-06
stable_plus_R3r4,0.9091255721526394,0.001,0.909126184556186,6.124035465404631e-07,4.545812652967385e-07,4.545449191484252e-07
stable_plus_R4r5,0.5937885681199201,0.002,0.5937892277319001,6.596119800361677e-07,1.1875322553089873e-06,1.1876246556186132e-06
stable_plus_R4r5,0.5937885681199201,0.001,0.5937887423979049,1.7427798482128054e-07,2.968592797136793e-07,2.969294625732033e-07
stable_plus_R4r7,0.5937827023639535,0.002,0.5937833639224621,6.615585086411357e-07,1.1875980656661511e-06,1.1875353900236973e-06
stable_plus_R4r7,0.5937827023639535,0.001,0.5937828466695549,1.443056014682753e-07,2.96895104057171e-07,2.9688774261238393e-07
stable_plus_R6r5,0.3463741552086572,0.002,0.34637412527072087,2.993793635219788e-08,6.927579205839862e-07,6.927385806099196e-07
stable_plus_R6r5,0.3463741552086572,0.001,0.34637418377947427,2.857081704554787e-08,1.7318816070144294e-07,1.7318602307803133e-07
stable_plus_R6r7,0.3463720755985632,0.002,0.3463720417706817,3.38278814959736e-08,6.927537217205071e-07,6.927344453622197e-07
stable_plus_R6r7,0.3463720755985632,0.001,0.34637207702026274,1.4216995358751205e-09,1.7318708800395655e-07,1.731849890163062e-07
stable_plus_R8r5,0.21626923731586295,0.002,0.21626922563910966,1.1676753286504749e-08,4.3253884862703984e-07,4.325380539293988e-07
stable_plus_R8r5,0.21626923731586295,0.001,0.21626922985795716,7.457905792929154e-09,1.0813474737858542e-07,1.0813448259039404e-07
stable_plus_R8r7,0.2162682241072277,0.002,0.2162682088968637,1.5210363996098764e-08,4.3253719894664755e-07,4.325356364187627e-07
stable_plus_R8r7,0.2162682241072277,0.001,0.21626817581221758,4.829501012992843e-08,1.0813441186918737e-07,1.081337637209856e-07
translated_j1_R4r5,0.5298245438556711,0.002,0.5298254946439762,9.507883050874355e-07,1.0598947652873392e-06,1.0594072132885657e-06
translated_j1_R4r5,0.5298245438556711,0.001,0.5298247840457293,2.4019005817610406e-07,2.6494282390210344e-07,2.6488196003260356e-07
