case,winding,y_reference,z_reference,y_displaced,z_displaced,all_rows_free
newton_plus_R4r5,1.0,0.38490017945975047,0.2721655269759087,0.3760889180137211,0.26917888318464295,True
pilot_R2r3,1.0,0.38490017945975047,0.2721655269759087,0.38140117801215173,0.273801476617381,True
plus_50MPa_R4r5,1.0,0.38490017945975047,0.2721655269759087,0.37647505959331623,0.2684953683841687,True
plus_unload50_R4r5,1.0,0.38490017945975047,0.2721655269759087,0.3760889180900331,0.26917888114847055,True
stable_minus_R2r3,1.0000000000000002,-0.09622504486493766,0.5443310539518174,-0.08638028853153666,0.5465568466368815,True
stable_plus_R10r5,1.0,0.38490017945975047,0.2721655269759087,0.3770329268834611,0.2676944142194478,True
stable_plus_R10r7,1.0000000000000002,0.38490017945975047,0.2721655269759087,0.3770329327606808,0.26769437154123693,True
stable_plus_R2r3,1.0,0.38490017945975047,0.2721655269759087,0.3750554221404954,0.2699397353744149,True
stable_plus_R3r4,1.0,0.38490017945975047,0.2721655269759087,0.37527928793115145,0.27034391834446553,True
stable_plus_R4r5,1.0,0.38490017945975047,0.2721655269759087,0.3760889145577116,0.26917886086203674,True
stable_plus_R4r7,1.0,0.38490017945975047,0.2721655269759087,0.3760888432268262,0.2691788888791751,True
stable_plus_R6r5,1.0000000000000002,0.38490017945975047,0.2721655269759087,0.37665430838509434,0.2684169584547562,True
stable_plus_R6r7,1.0000000000000002,0.38490017945975047,0.2721655269759087,0.37665437851049344,0.268416912004331,True
stable_plus_R8r5,1.0,0.38490017945975047,0.2721655269759087,0.3769328293500595,0.2680584989605556,True
stable_plus_R8r7,1.0,0.38490017945975047,0.2721655269759087,0.3769328755703467,0.2680584532321813,True
translated_j1_R4r5,1.0,1.2509255832441892,0.2721655269759087,1.2366451590762135,0.27226347599722317,True
