first,second,study,common_rows,comparison_radius_over_L0,maximum_vector_change_over_L0,rms_vector_change_over_L0,maximum_screw_change_over_L0,maximum_transverse_change_over_L0
stable_plus_R2r3,stable_plus_R3r4,combined_domain_ring,4,1.0,0.0051115706737598415,0.0033953936601462363,0.005025152767623053,0.0019033707181852972
stable_plus_R2r3,stable_plus_R3r4,combined_domain_ring,10,1.5,0.011409958470193965,0.006501037474968402,0.011112293402706752,0.0059375472357336805
stable_plus_R2r3,stable_plus_R3r4,combined_domain_ring,18,2.0,0.011652561751674503,0.006736920578812387,0.011112293402706752,0.005937647855675025
stable_plus_R3r4,stable_plus_R4r5,combined_domain_ring,4,1.0,0.003340295886805585,0.0026997482256932463,0.002363925070150985,0.0028982898238964568
stable_plus_R3r4,stable_plus_R4r5,combined_domain_ring,10,1.5,0.006715109942068137,0.004121706900565512,0.006308579846421747,0.004543233226577704
stable_plus_R3r4,stable_plus_R4r5,combined_domain_ring,18,2.0,0.009393875012192751,0.00495580774415639,0.007134731725805171,0.007251836786309185
stable_plus_R4r5,newton_plus_R4r5,independent_minimizer,4,1.0,7.103665707129752e-08,4.4712962836785416e-08,6.810674568757946e-08,3.914547348260634e-08
stable_plus_R4r5,newton_plus_R4r5,independent_minimizer,10,1.5,7.103665707129752e-08,3.859475731585743e-08,6.810674568757946e-08,3.914547348260634e-08
stable_plus_R4r5,newton_plus_R4r5,independent_minimizer,18,2.0,7.103665707129752e-08,3.542363239848538e-08,6.810674568757946e-08,3.914547348260634e-08
stable_plus_R4r5,stable_plus_R6r5,domain,4,1.0,0.0029193616769936626,0.0020529112243692135,0.0014110024519387587,0.0025557278183957815
stable_plus_R4r5,stable_plus_R6r5,domain,10,1.5,0.00492156697440862,0.00325138971907921,0.003930641476285135,0.003215725208950811
stable_plus_R4r5,stable_plus_R6r5,domain,18,2.0,0.006648529260011084,0.003804771070273493,0.00406091112806603,0.005322201015327126
stable_plus_R6r5,stable_plus_R8r5,domain,4,1.0,0.0016632725825145914,0.0013344167965583537,0.0012975691538976153,0.0014943895810123203
stable_plus_R6r5,stable_plus_R8r5,domain,10,1.5,0.0031274230952132377,0.0020181253729734706,0.00224645346670177,0.00217582674825381
stable_plus_R6r5,stable_plus_R8r5,domain,18,2.0,0.003738175543740452,0.002321512590694869,0.00224645346670177,0.0031020111238063783
stable_plus_R8r5,stable_plus_R10r5,domain,4,1.0,0.0010247897730918988,0.0008267879234600101,0.0005551772813749967,0.0010246684310964973
stable_plus_R8r5,stable_plus_R10r5,domain,10,1.5,0.0016345202558034763,0.0011714334780176961,0.001131996878515673,0.0013201474748162749
stable_plus_R8r5,stable_plus_R10r5,domain,18,2.0,0.0020809350857048997,0.001366947964094167,0.00117590695510017,0.0018578186249219406
stable_plus_R4r5,stable_plus_R4r7,ring,4,1.0,2.1242241004539512e-07,1.5481542838894648e-07,1.2788160758114842e-07,2.1241237927766583e-07
stable_plus_R4r5,stable_plus_R4r7,ring,10,1.5,3.2661211450748193e-07,1.8556839435805166e-07,1.2788160758114842e-07,3.232074741450447e-07
stable_plus_R4r5,stable_plus_R4r7,ring,18,2.0,3.2661211450748193e-07,1.8024040903731075e-07,1.2788160758114842e-07,3.232074741450447e-07
stable_plus_R6r5,stable_plus_R6r7,ring,4,1.0,1.3938634591758897e-07,1.0786106458674234e-07,9.785377003135309e-08,1.1047174771426775e-07
stable_plus_R6r5,stable_plus_R6r7,ring,10,1.5,2.366124903586045e-07,1.4785193200986675e-07,9.785377003135309e-08,2.2798128905344423e-07
stable_plus_R6r5,stable_plus_R6r7,ring,18,2.0,3.0307389158671516e-07,1.7505016153571607e-07,9.785377003135309e-08,3.027421660156291e-07
stable_plus_R8r5,stable_plus_R8r7,ring,4,1.0,1.8151674131468765e-07,1.2640229573414893e-07,8.744472435040507e-08,1.5906523052127044e-07
stable_plus_R8r5,stable_plus_R8r7,ring,10,1.5,1.8725260233262907e-07,1.3486750793988798e-07,9.038280851525471e-08,1.858520148632911e-07
stable_plus_R8r5,stable_plus_R8r7,ring,18,2.0,3.1635942605660863e-07,1.751562444934611e-07,1.3335848303430708e-07,2.9564318656440165e-07
stable_plus_R10r5,stable_plus_R10r7,ring,4,1.0,2.5352132242148416e-07,1.6949796534681992e-07,9.082853891229092e-08,2.3669228428784192e-07
stable_plus_R10r5,stable_plus_R10r7,ring,10,1.5,2.6140322783256907e-07,1.9713668056576044e-07,1.1899041790774945e-07,2.433181751168726e-07
stable_plus_R10r5,stable_plus_R10r7,ring,18,2.0,4.1206017302035096e-07,2.3636167590650778e-07,1.395830848127666e-07,3.8769852801334386e-07
stable_plus_R4r5,plus_50MPa_R4r5,static_50MPa,4,1.0,0.002284964510017611,0.0019606681650808336,0.002225502283630776,0.0009383904122461108
stable_plus_R4r5,plus_50MPa_R4r5,static_50MPa,10,1.5,0.004432739058201821,0.002983233512643951,0.004424123520891721,0.0009383904122461108
stable_plus_R4r5,plus_50MPa_R4r5,static_50MPa,18,2.0,0.004432739058201821,0.0028934163851840463,0.004424123520891721,0.0009383904122461108
stable_plus_R4r5,plus_unload50_R4r5,static_return,4,1.0,8.240160977619207e-08,4.990409864804155e-08,8.034670179180026e-08,4.079579661622298e-08
stable_plus_R4r5,plus_unload50_R4r5,static_return,10,1.5,8.240160977619207e-08,4.1831010834059376e-08,8.034670179180026e-08,4.079579661622298e-08
stable_plus_R4r5,plus_unload50_R4r5,static_return,18,2.0,8.240160977619207e-08,3.780969487294984e-08,8.034670179180026e-08,4.079579661622298e-08
stable_plus_R4r5,translated_j1_R4r5,lattice_translated_seed,4,1.0,0.23779268235152426,0.13105836431803972,0.23624404978265467,0.027094440799239398
stable_plus_R4r5,translated_j1_R4r5,lattice_translated_seed,10,1.5,0.24719762694404152,0.12074236341189439,0.2455758092799672,0.028269925066308547
stable_plus_R4r5,translated_j1_R4r5,lattice_translated_seed,18,2.0,0.24719762694404152,0.0963213736136415,0.2455758092799672,0.028269925066308547
