seed,axis,parts,block,plane,start_ps,end_ps,duration_ps,signed_loss_A2_eV
35461,0,1,0,0,100.0,2000.0000000000002,1900.0,-9.456661926779589e-06
35461,0,1,0,1,100.0,2000.0000000000002,1900.0,3.487419039195126e-06
35461,0,1,0,2,100.0,2000.0000000000002,1900.0,3.7881329745651207e-06
35461,0,1,0,3,100.0,2000.0000000000002,1900.0,-2.7590228125485787e-06
35461,0,1,0,4,100.0,2000.0000000000002,1900.0,8.674329809068122e-07
35461,0,1,0,5,100.0,2000.0000000000002,1900.0,4.072699744661176e-06
35461,0,2,0,0,100.0,1050.0,950.0,-1.4146102151106471e-06
35461,0,2,0,1,100.0,1050.0,950.0,1.4332208411967696e-06
35461,0,2,0,2,100.0,1050.0,950.0,1.0574326659011783e-06
35461,0,2,0,3,100.0,1050.0,950.0,-1.2239654777960778e-05
35461,0,2,0,4,100.0,1050.0,950.0,-4.759656236645452e-06
35461,0,2,0,5,100.0,1050.0,950.0,1.592326772261909e-05
35461,0,2,1,0,1050.0,2000.0000000000002,950.0,-1.749871363851824e-05
35461,0,2,1,1,1050.0,2000.0000000000002,950.0,5.5416172372154625e-06
35461,0,2,1,2,1050.0,2000.0000000000002,950.0,6.51883328325501e-06
35461,0,2,1,3,1050.0,2000.0000000000002,950.0,6.7216091528903895e-06
35461,0,2,1,4,1050.0,2000.0000000000002,950.0,6.4945221984849514e-06
35461,0,2,1,5,1050.0,2000.0000000000002,950.0,-7.777868233327585e-06
35461,0,4,0,0,100.0,575.0,475.0,-6.441409190441706e-06
35461,0,4,0,1,100.0,575.0,475.0,1.8032337119282325e-05
35461,0,4,0,2,100.0,575.0,475.0,8.110920894775628e-06
35461,0,4,0,3,100.0,575.0,475.0,-4.414550697650223e-06
35461,0,4,0,4,100.0,575.0,475.0,-1.9264878803260906e-05
35461,0,4,0,5,100.0,575.0,475.0,3.9775806772949326e-06
35461,0,4,1,0,575.0,1050.0,475.0,3.612188760218365e-06
35461,0,4,1,1,575.0,1050.0,475.0,-1.51658954368802e-05
35461,0,4,1,2,575.0,1050.0,475.0,-5.996055562969905e-06
35461,0,4,1,3,575.0,1050.0,475.0,-2.0064758858260155e-05
35461,0,4,1,4,575.0,1050.0,475.0,9.745566329964438e-06
35461,0,4,1,5,575.0,1050.0,475.0,2.7868954767927417e-05
35461,0,4,2,0,1050.0,1525.0,475.0,-2.369172943139212e-05
35461,0,4,2,1,1050.0,1525.0,475.0,2.014594482761877e-06
35461,0,4,2,2,1050.0,1525.0,475.0,7.581424524635571e-06
35461,0,4,2,3,1050.0,1525.0,475.0,6.903505651319444e-06
35461,0,4,2,4,1050.0,1525.0,475.0,9.423874476642892e-06
35461,0,4,2,5,1050.0,1525.0,475.0,-2.231669703967635e-06
35461,0,4,3,0,1525.0,2000.0000000000002,475.0,-1.1305697845644426e-05
35461,0,4,3,1,1525.0,2000.0000000000002,475.0,9.06863999166904e-06
35461,0,4,3,2,1525.0,2000.0000000000002,475.0,5.45624204187443e-06
35461,0,4,3,3,1525.0,2000.0000000000002,475.0,6.539712654461344e-06
35461,0,4,3,4,1525.0,2000.0000000000002,475.0,3.565169920327016e-06
35461,0,4,3,5,1525.0,2000.0000000000002,475.0,-1.3324066762687435e-05
35461,0,5,0,0,100.0,480.0,380.0,-4.0508665983542264e-06
35461,0,5,0,1,100.0,480.0,380.0,1.5642467911205733e-05
35461,0,5,0,2,100.0,480.0,380.0,1.1324954266596417e-05
35461,0,5,0,3,100.0,480.0,380.0,-8.765033696090148e-06
35461,0,5,0,4,100.0,480.0,380.0,-2.37474339643117e-05
35461,0,5,0,5,100.0,480.0,380.0,9.595912080954036e-06
35461,0,5,1,0,480.0,860.0,380.0,4.790952611333267e-06
35461,0,5,1,1,480.0,860.0,380.0,-1.6284101527605758e-06
35461,0,5,1,2,480.0,860.0,380.0,-1.039375442239147e-05
35461,0,5,1,3,480.0,860.0,380.0,-1.697574449793797e-05
35461,0,5,1,4,480.0,860.0,380.0,1.0071768777806977e-05
35461,0,5,1,5,480.0,860.0,380.0,1.4135187683949919e-05
35461,0,5,2,0,860.0,1240.0,380.0,-1.1294644046366947e-05
35461,0,5,2,1,860.0,1240.0,380.0,-9.180416698325964e-06
35461,0,5,2,2,860.0,1240.0,380.0,2.2434397533868222e-06
35461,0,5,2,3,860.0,1240.0,380.0,3.443997588183837e-06
35461,0,5,2,4,860.0,1240.0,380.0,-1.6726473477081551e-06
