case,seed,axis,sign,block,start_ps,end_ps,mean_temperature_K,temperature_linear_trend_K_ns,internal_energy_change_eV,internal_energy_range_eV,work_eV,max_work_residual_eV,endpoint_work_residual_eV
seed35461_null,35461,,0,0,100.0,200.0,293.09938164396027,0.16843156551965946,-0.0005721151869693131,0.0034377785932520055,,,
seed35461_null,35461,,0,1,200.0,300.0,293.0685402932862,0.014677466299657846,0.000859123443660792,0.003335962384880986,,,
seed35461_null,35461,,0,2,300.0,400.0,293.10896520117836,-0.5748579763145135,-0.00032799330710986396,0.003494246063837636,,,
seed35461_null,35461,,0,3,400.0,500.00000000000006,293.11195612383534,0.31011333294994026,-0.00022267292206379352,0.0037100088948136545,,,
seed35461_null,35461,,0,4,500.00000000000006,600.0,293.1403676736674,0.055750006724753366,0.0011408695413592795,0.0036071788008484873,,,
seed35461_null,35461,,0,5,600.0,700.0,293.0910627816035,0.7993421620348272,-0.001430806647931604,0.004139351801768498,,,
seed35461_null,35461,,0,6,700.0,800.0,293.08713193698634,0.5860123105115507,0.0004455465209503018,0.0038892791585567466,,,
seed35461_null,35461,,0,7,800.0,900.0,293.0915066525702,1.689521237428436,0.0003774046231228567,0.004221158646487311,,,
seed35461_null,35461,,0,8,900.0,1000.0000000000001,293.12400227403515,-0.27890195086629554,5.528022802536725e-05,0.003441737203502271,,,
seed35461_null,35461,,0,9,1000.0000000000001,1100.0,293.1115506701516,-1.6306394498600434,-0.00016764158090154524,0.003671093999855657,,,
seed35461_null,35461,,0,10,1100.0,1200.0,293.0735405405385,0.49404580891752575,-0.00016021321334847016,0.0032923994217526342,,,
seed35461_null,35461,,0,11,1200.0,1300.0,293.11602530649685,0.3567414756400384,-0.00022532060802404885,0.003340033620588656,,,
seed35461_null,35461,,0,12,1300.0,1400.0,293.1232741946394,-1.0001732826599927,0.00038465881152660586,0.00370830251085863,,,
seed35461_null,35461,,0,13,1400.0,1500.0,293.0763197168171,-1.161038634377034,0.0005160930008969444,0.0040146841975001735,,,
seed35461_null,35461,,0,14,1500.0,1600.0,293.0945696420889,-0.2282463840155146,-0.0008255595685113803,0.0035409713427725364,,,
seed35461_null,35461,,0,15,1600.0,1700.0,293.08305233102914,-0.6305591305756033,-0.0001879860083136009,0.0036773753136003506,,,
seed35461_null,35461,,0,16,1700.0,1800.0,293.1191966270568,0.8052581741578495,-0.00013802634975945693,0.0036403335129762127,,,
seed35461_null,35461,,0,17,1800.0,1900.0,293.0714149215499,-0.16538909465775997,0.0008989521520561539,0.0035046552361563954,,,
seed35461_null,35461,,0,18,1900.0,2000.0000000000002,293.1352201919271,-0.21191427639813765,-0.00020700852019217564,0.003648701582733338,,,
seed35461_axis0_sign-1,35461,0,-1,0,100.0,200.0,293.2135053225953,0.21690441867780214,0.021300758451161528,0.1525752820134585,0.020977380372637397,0.001853509028755104,0.0003233780785241308
seed35461_axis0_sign-1,35461,0,-1,1,200.0,300.0,293.235215678194,-0.35126249045706603,0.0212051381386118,0.15638591292827186,0.020832931665324683,0.0023755362271121808,0.00037220647328711776
seed35461_axis0_sign-1,35461,0,-1,2,300.0,400.0,293.1822843991029,1.1620051706195116,0.015848491671022202,0.1600384672015025,0.01643136423591035,0.0026603176541495806,-0.0005828725648881483
seed35461_axis0_sign-1,35461,0,-1,3,400.0,500.00000000000006,293.2773386341882,-0.3424871206517241,-0.03182481891099087,0.16064874567564402,-0.031002805301667713,0.0022054534863904865,-0.0008220136093231578
seed35461_axis0_sign-1,35461,0,-1,4,500.00000000000006,600.0,293.2929391924231,0.5641564669062114,0.04588486925104007,0.15410960925510153,0.045069824227622256,0.002764164671897683,0.0008150450234178166
seed35461_axis0_sign-1,35461,0,-1,5,600.0,700.0,293.29127427876085,0.12758521694270247,-0.009315043369497289,0.15249789717790918,-0.008688560114993304,0.0018149194859472528,-0.0006264832545039845
seed35461_axis0_sign-1,35461,0,-1,6,700.0,800.0,293.36245278199556,0.8102880355490208,0.001600208046966145,0.14273466625900255,0.0009014078715756518,0.002439657546976809,0.0006988001753904932
seed35461_axis0_sign-1,35461,0,-1,7,800.0,900.0,293.4102139763709,-0.42546962175156927,0.010448595979141828,0.15842539826553548,0.010268917894043494,0.002683003469790335,0.00017967808509833372
seed35461_axis0_sign-1,35461,0,-1,8,900.0,1000.0000000000001,293.3574384874429,-0.0826676924839371,-0.011510948781051411,0.17806100608595443,-0.010311868377875427,0.0022667877926922236,-0.0011990804031759839
seed35461_axis0_sign-1,35461,0,-1,9,1000.0000000000001,1100.0,293.3597186627993,-0.6648013473690544,0.005324543249116687,0.15386814209523436,0.004057234641825766,0.0023124912154466465,0.0012673086072909207
seed35461_axis0_sign-1,35461,0,-1,10,1100.0,1200.0,293.33886414866913,0.674389159845323,0.01151902026776952,0.15749011947309555,0.011545354888328724,0.0025308008878757865,-2.6334620559204103e-05
seed35461_axis0_sign-1,35461,0,-1,11,1200.0,1300.0,293.3599676953159,1.077274746132115,0.02517038603355104,0.1731280428257378,0.02480537885829702,0.002179637741434551,0.00036500717525402016
seed35461_axis0_sign-1,35461,0,-1,12,1300.0,1400.0,293.3679638571676,-0.42489309378323076,-0.04290309820771654,0.15637636043720704,-0.041732294057870906,0.002819191674072942,-0.0011708041498456334
seed35461_axis0_sign-1,35461,0,-1,13,1400.0,1500.0,293.41874829469873,1.3020887457119612,-0.01695683214938981,0.15245046264726625,-0.016744456064523468,0.002332260760134014,-0.00021237608486634335
seed35461_axis0_sign-1,35461,0,-1,14,1500.0,1600.0,293.46693393126793,0.4080333327400957,0.05966355197779194,0.1584945813228842,0.059415160603737034,0.002083601926368743,0.0002483913740549057
seed35461_axis0_sign-1,35461,0,-1,15,1600.0,1700.0,293.4823441659374,0.5996004193563169,-0.023680857956151158,0.18049473317432785,-0.0241769579032642,0.001994071419423371,0.0004960999471130406
seed35461_axis0_sign-1,35461,0,-1,16,1700.0,1800.0,293.4490520653809,-0.9638586237035764,0.002888453617288178,0.16549001187422618,0.002648345691673326,0.0020435784442434796,0.00024010792561485195
seed35461_axis0_sign-1,35461,0,-1,17,1800.0,1900.0,293.4709845270736,0.12304175041681904,-0.06293330615790182,0.1494311354895217,-0.06257074163210363,0.0021839405257832872,-0.00036256452579819243
seed35461_axis0_sign-1,35461,0,-1,18,1900.0,2000.0000000000002,293.45655056420503,1.0907975681396282,0.053133400705974054,0.16092799654052214,0.05352347615364818,0.0016650025083742026,-0.0003900754476741236
seed35461_axis0_sign+1,35461,0,1,0,100.0,200.0,293.18126880256887,0.6113617903951922,-0.02322047498819302,0.16553140537780564,-0.024003334289553632,0.002186565580327815,0.0007828593013606139
seed35461_axis0_sign+1,35461,0,1,1,200.0,300.0,293.25659824937526,1.184942284798111,0.01863473526918824,0.1619833353033755,0.01933114999358866,0.0021608203786141894,-0.000696414724400421
seed35461_axis0_sign+1,35461,0,1,2,300.0,400.0,293.2977633489248,0.05108032029191178,-0.033242053525100346,0.15437377948455833,-0.03241585211837436,0.0017810176718807275,-0.0008262014067259849
seed35461_axis0_sign+1,35461,0,1,3,400.0,500.00000000000006,293.30614945838477,-0.4636571009736666,0.014576213818600081,0.1507899439625362,0.015033617904713123,0.002461612725197123,-0.00045740408611304184
seed35461_axis0_sign+1,35461,0,1,4,500.00000000000006,600.0,293.32215173855866,-0.4758036728046242,-0.02330066717831869,0.1756210511507561,-0.025545541069783424,0.0029519765734483394,0.0022448738914647333
seed35461_axis0_sign+1,35461,0,1,5,600.0,700.0,293.2064071924507,-0.006520059966226139,-0.03075875127888139,0.1445328621985027,-0.030064713749947576,0.0024402652037008553,-0.0006940375289338149
seed35461_axis0_sign+1,35461,0,1,6,700.0,800.0,293.1529854673213,0.8845887860175486,-0.008367258645193942,0.15223681027782732,-0.009244888827647176,0.001978679885622933,0.0008776301824532338
seed35461_axis0_sign+1,35461,0,1,7,800.0,900.0,293.2620205329339,2.370075860555847,0.0853316323036779,0.17598519754392328,0.08588771491274139,0.002885718869640029,-0.0005560826090634796
seed35461_axis0_sign+1,35461,0,1,8,900.0,1000.0000000000001,293.3254579540118,0.9805560378292408,0.013258639332889288,0.1881665193545814,0.013501513440937016,0.0021331335744000923,-0.00024287410804772758
seed35461_axis0_sign+1,35461,0,1,9,1000.0000000000001,1100.0,293.2851996059243,0.11065996812327378,-0.0281462657198972,0.15653412855226634,-0.028210089816665895,0.0019344391007387607,6.382409676869427e-05
seed35461_axis0_sign+1,35461,0,1,10,1100.0,1200.0,293.40630169439424,0.6627484025090175,0.01055518675411804,0.15273198173872515,0.01143344381256678,0.0024153408062074916,-0.0008782570584487392
seed35461_axis0_sign+1,35461,0,1,11,1200.0,1300.0,293.51518226279865,0.5930837899825636,0.048910088236880256,0.17381396938890248,0.04840518580213779,0.002316590788409234,0.0005049024347424658
seed35461_axis0_sign+1,35461,0,1,12,1300.0,1400.0,293.47960532994296,-0.6122773733103749,-0.03455303017517508,0.15910821480701998,-0.035186216063348624,0.002061153460816506,0.000633185888173543
seed35461_axis0_sign+1,35461,0,1,13,1400.0,1500.0,293.4372953207315,-0.6758605935677936,0.0075950731247758085,0.14546583988794737,0.007901884851573504,0.002178874439101433,-0.00030681172679769553
seed35461_axis0_sign+1,35461,0,1,14,1500.0,1600.0,293.36992931556154,-0.9698258036889604,-0.005292552862556477,0.1802452234478551,-0.005010767780113751,0.001860177724179235,-0.00028178508244272593
seed35461_axis0_sign+1,35461,0,1,15,1600.0,1700.0,293.3496408336045,0.7289563883386563,-0.0030770608877901395,0.17768927087263364,-0.0027651774447654126,0.002070248783384049,-0.0003118834430247269
seed35461_axis0_sign+1,35461,0,1,16,1700.0,1800.0,293.4439662696451,2.2554919775927935,-0.007672359877687995,0.17946628903564488,-0.008039556140792478,0.0023482318446102213,0.00036719626310448283
seed35461_axis0_sign+1,35461,0,1,17,1800.0,1900.0,293.6406652323569,0.14065510746455018,0.07219244138832437,0.18701976330521575,0.07314184496272547,0.0022027436588563654,-0.0009494035744010976
seed35461_axis0_sign+1,35461,0,1,18,1900.0,2000.0000000000002,293.6289037028434,1.0246575478878523,0.02546466214926113,0.15336045506637674,0.025251235194550692,0.0028807939270601157,0.00021342695471043838
seed35461_axis1_sign-1,35461,1,-1,0,100.0,200.0,293.1315795747831,0.7903304211537311,-0.009540252231090562,0.14794947982727535,-0.010264060733800786,0.0020628457522053056,0.0007238085027102235
seed35461_axis1_sign-1,35461,1,-1,1,200.0,300.0,293.25877622264085,2.577572363758213,0.03820186721122809,0.1680149253925265,0.038866204204027976,0.0024090898278217483,-0.0006643369927998855
seed35461_axis1_sign-1,35461,1,-1,2,300.0,400.0,293.2632213694153,-1.2644352411427624,-0.030366358856099396,0.16424730468361304,-0.03091760567027973,0.0021146432116389627,0.0005512468141803326
seed35461_axis1_sign-1,35461,1,-1,3,400.0,500.00000000000006,293.3066566826207,1.489830493888008,0.019702806286204577,0.18755223591324466,0.0195865508580823,0.001892379932476089,0.00011625542812227635
seed35461_axis1_sign-1,35461,1,-1,4,500.00000000000006,600.0,293.3180296089299,-0.17872024781596343,0.043854808213836804,0.1702583825272086,0.04405585557652342,0.0019563241932280817,-0.00020104736268661272
seed35461_axis1_sign-1,35461,1,-1,5,600.0,700.0,293.3126364522436,-0.14973485619963017,-0.02656765673555128,0.1595341533266037,-0.02664428179013391,0.0019020522910749432,7.662505458262692e-05
seed35461_axis1_sign-1,35461,1,-1,6,700.0,800.0,293.3574389939199,1.1136780154367627,0.009358446823171107,0.1628561358756997,0.010033026624096233,0.0021571251593397525,-0.0006745798009251264
seed35461_axis1_sign-1,35461,1,-1,7,800.0,900.0,293.38969427145616,-0.20833491431410558,0.014262221345234138,0.15474127200195653,0.014152467312433886,0.002285292677386766,0.0001097540328002522
seed35461_axis1_sign-1,35461,1,-1,8,900.0,1000.0000000000001,293.43760395103567,-0.31931244447942236,0.047316792972651456,0.18599119593545765,0.04786261174167408,0.0025472203729277054,-0.0005458187690226268
